Plasmanyl-PE,[M+H]+,MH-head,head
Plasmanyl-PE(24:0)+H,566.41805,425.39894,142.02639
Plasmanyl-PE(26:0)+H,594.44935,453.43024,142.02639
Plasmanyl-PE(28:0)+H,622.48065,481.46154,142.02639
Plasmanyl-PE(29:0)+H,636.49635,495.47724,142.02639
Plasmanyl-PE(30:0)+H,650.51195,509.49284,142.02639
Plasmanyl-PE(30:1)+H,648.49635,507.47724,142.02639
Plasmanyl-PE(31:0)+H,664.52765,523.50854,142.02639
Plasmanyl-PE(31:1)+H,662.51195,521.49284,142.02639
Plasmanyl-PE(32:0)+H,678.54325,537.52414,142.02639
Plasmanyl-PE(32:1)+H,676.52765,535.50854,142.02639
Plasmanyl-PE(33:0)+H,692.55895,551.53984,142.02639
Plasmanyl-PE(33:1)+H,690.54325,549.52414,142.02639
Plasmanyl-PE(33:2)+H,688.52765,547.50854,142.02639
Plasmanyl-PE(34:0)+H,706.57455,565.55544,142.02639
Plasmanyl-PE(34:1)+H,704.55895,563.53984,142.02639
Plasmanyl-PE(34:2)+H,702.54325,561.52414,142.02639
Plasmanyl-PE(34:3)+H,700.52765,559.50854,142.02639
Plasmanyl-PE(34:4)+H,698.51195,557.49284,142.02639
Plasmanyl-PE(35:0)+H,720.59025,579.57114,142.02639
Plasmanyl-PE(35:1)+H,718.57455,577.55544,142.02639
Plasmanyl-PE(35:2)+H,716.55895,575.53984,142.02639
Plasmanyl-PE(36:0)+H,734.60585,593.58674,142.02639
Plasmanyl-PE(36:1)+H,732.59025,591.57114,142.02639
Plasmanyl-PE(36:2)+H,730.57455,589.55544,142.02639
Plasmanyl-PE(36:3)+H,728.55895,587.53984,142.02639
Plasmanyl-PE(36:4)+H,726.54325,585.52414,142.02639
Plasmanyl-PE(36:5)+H,724.52765,583.50854,142.02639
Plasmanyl-PE(37:0)+H,748.62155,607.60244,142.02639
Plasmanyl-PE(37:1)+H,746.60585,605.58674,142.02639
Plasmanyl-PE(37:2)+H,744.59025,603.57114,142.02639
Plasmanyl-PE(38:0)+H,762.63715,621.61804,142.02639
Plasmanyl-PE(38:1)+H,760.62155,619.60244,142.02639
Plasmanyl-PE(38:2)+H,758.60585,617.58674,142.02639
Plasmanyl-PE(38:3)+H,756.59025,615.57114,142.02639
Plasmanyl-PE(38:4)+H,754.57455,613.55544,142.02639
Plasmanyl-PE(38:5)+H,752.55895,611.53984,142.02639
Plasmanyl-PE(38:6)+H,750.54325,609.52414,142.02639
Plasmanyl-PE(39:0)+H,776.65285,635.63374,142.02639
Plasmanyl-PE(40:0)+H,790.66845,649.64934,142.02639
Plasmanyl-PE(40:1)+H,788.65285,647.63374,142.02639
Plasmanyl-PE(40:2)+H,786.63715,645.61804,142.02639
Plasmanyl-PE(40:3)+H,784.62155,643.60244,142.02639
Plasmanyl-PE(40:4)+H,782.60585,641.58674,142.02639
Plasmanyl-PE(40:5)+H,780.59025,639.57114,142.02639
Plasmanyl-PE(40:6)+H,778.57455,637.55544,142.02639
Plasmanyl-PE(41:0)+H,804.68415,663.66504,142.02639
Plasmanyl-PE(42:0)+H,818.69975,677.68064,142.02639
Plasmanyl-PE(42:1)+H,816.68415,675.66504,142.02639
Plasmanyl-PE(42:2)+H,814.66845,673.64934,142.02639
Plasmanyl-PE(42:3)+H,812.65285,671.63374,142.02639
Plasmanyl-PE(42:4)+H,810.63715,669.61804,142.02639
Plasmanyl-PE(42:5)+H,808.62155,667.60244,142.02639
Plasmanyl-PE(42:6)+H,806.60585,665.58674,142.02639
Plasmanyl-PE(43:0)+H,832.71545,691.69634,142.02639
Plasmanyl-PE(44:0)+H,846.73105,705.71194,142.02639
Plasmanyl-PE(44:1)+H,844.71545,703.69634,142.02639
Plasmanyl-PE(45:0)+H,860.74675,719.72764,142.02639
Plasmanyl-PE(46:0)+H,874.76235,733.74324,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
,-42.04690764,,142.02639
