Plasmanyl-PS,[M+H]+,NL_head,NL_T2_RCOOH,T2_RCO+
Plasmanyl-PS(O-16:0/10:0)+H,638.43919,453.43024,299.29449,155.14305
Plasmanyl-PS(O-16:0/12:0)+H,666.47049,481.46154,299.29449,183.17435
Plasmanyl-PS(O-16:0/13:0)+H,680.48619,495.47724,299.29449,197.19005
Plasmanyl-PS(O-16:0/14:0)+H,694.50179,509.49284,299.29449,211.20565
Plasmanyl-PS(O-16:0/14:1)+H,692.48619,507.47724,299.29449,209.19005
Plasmanyl-PS(O-16:0/15:0)+H,708.51749,523.50854,299.29449,225.22135
Plasmanyl-PS(O-16:0/15:1)+H,706.50179,521.49284,299.29449,223.20565
Plasmanyl-PS(O-16:0/16:0)+H,722.53309,537.52414,299.29449,239.23695
Plasmanyl-PS(O-16:0/16:1)+H,720.51749,535.50854,299.29449,237.22135
Plasmanyl-PS(O-16:0/17:0)+H,736.54879,551.53984,299.29449,253.25265
Plasmanyl-PS(O-16:0/17:1)+H,734.53309,549.52414,299.29449,251.23695
Plasmanyl-PS(O-16:0/17:2)+H,732.51749,547.50854,299.29449,249.22135
Plasmanyl-PS(O-16:0/18:0)+H,750.56439,565.55544,299.29449,267.26825
Plasmanyl-PS(O-16:0/18:1)+H,748.54879,563.53984,299.29449,265.25265
Plasmanyl-PS(O-16:0/18:2)+H,746.53309,561.52414,299.29449,263.23695
Plasmanyl-PS(O-16:0/18:3)+H,744.51749,559.50854,299.29449,261.22135
Plasmanyl-PS(O-16:0/18:4)+H,742.50179,557.49284,299.29449,259.20565
Plasmanyl-PS(O-16:0/19:0)+H,764.58009,579.57114,299.29449,281.28395
Plasmanyl-PS(O-16:0/20:0)+H,778.59569,593.58674,299.29449,295.29955
Plasmanyl-PS(O-16:0/20:1)+H,776.58009,591.57114,299.29449,293.28395
Plasmanyl-PS(O-16:0/20:2)+H,774.56439,589.55544,299.29449,291.26825
Plasmanyl-PS(O-16:0/20:3)+H,772.54879,587.53984,299.29449,289.25265
Plasmanyl-PS(O-16:0/20:4)+H,770.53309,585.52414,299.29449,287.23695
Plasmanyl-PS(O-16:0/20:5)+H,768.51749,583.50854,299.29449,285.22135
Plasmanyl-PS(O-16:0/21:0)+H,792.61139,607.60244,299.29449,309.31525
Plasmanyl-PS(O-16:0/22:0)+H,806.62699,621.61804,299.29449,323.33085
Plasmanyl-PS(O-16:0/22:1)+H,804.61139,619.60244,299.29449,321.31525
Plasmanyl-PS(O-16:0/22:2)+H,802.59569,617.58674,299.29449,319.29955
Plasmanyl-PS(O-16:0/22:3)+H,800.58009,615.57114,299.29449,317.28395
Plasmanyl-PS(O-16:0/22:4)+H,798.56439,613.55544,299.29449,315.26825
Plasmanyl-PS(O-16:0/22:5)+H,796.54879,611.53984,299.29449,313.25265
Plasmanyl-PS(O-16:0/22:6)+H,794.53309,609.52414,299.29449,311.23695
Plasmanyl-PS(O-16:0/23:0)+H,820.64269,635.63374,299.29449,337.34655
Plasmanyl-PS(O-16:0/24:0)+H,834.65829,649.64934,299.29449,351.36215
Plasmanyl-PS(O-16:0/24:1)+H,832.64269,647.63374,299.29449,349.34655
Plasmanyl-PS(O-16:0/25:0)+H,848.67399,663.66504,299.29449,365.37785
Plasmanyl-PS(O-16:0/26:0)+H,862.68959,677.68064,299.29449,379.39345
Plasmanyl-PS(O-16:0/8:0)+H,610.40789,425.39894,299.29449,127.11175
Plasmanyl-PS(O-18:0/10:0)+H,666.47049,481.46154,327.32579,155.14305
Plasmanyl-PS(O-18:0/12:0)+H,694.50179,509.49284,327.32579,183.17435
Plasmanyl-PS(O-18:0/13:0)+H,708.51749,523.50854,327.32579,197.19005
Plasmanyl-PS(O-18:0/14:0)+H,722.53309,537.52414,327.32579,211.20565
Plasmanyl-PS(O-18:0/14:1)+H,720.51749,535.50854,327.32579,209.19005
Plasmanyl-PS(O-18:0/15:0)+H,736.54879,551.53984,327.32579,225.22135
Plasmanyl-PS(O-18:0/15:1)+H,734.53309,549.52414,327.32579,223.20565
Plasmanyl-PS(O-18:0/16:0)+H,750.56439,565.55544,327.32579,239.23695
Plasmanyl-PS(O-18:0/16:1)+H,748.54879,563.53984,327.32579,237.22135
Plasmanyl-PS(O-18:0/17:0)+H,764.58009,579.57114,327.32579,253.25265
Plasmanyl-PS(O-18:0/17:1)+H,762.56439,577.55544,327.32579,251.23695
Plasmanyl-PS(O-18:0/17:2)+H,760.54879,575.53984,327.32579,249.22135
Plasmanyl-PS(O-18:0/18:0)+H,778.59569,593.58674,327.32579,267.26825
Plasmanyl-PS(O-18:0/18:1)+H,776.58009,591.57114,327.32579,265.25265
Plasmanyl-PS(O-18:0/18:2)+H,774.56439,589.55544,327.32579,263.23695
Plasmanyl-PS(O-18:0/18:3)+H,772.54879,587.53984,327.32579,261.22135
Plasmanyl-PS(O-18:0/18:4)+H,770.53309,585.52414,327.32579,259.20565
Plasmanyl-PS(O-18:0/19:0)+H,792.61139,607.60244,327.32579,281.28395
Plasmanyl-PS(O-18:0/20:0)+H,806.62699,621.61804,327.32579,295.29955
Plasmanyl-PS(O-18:0/20:1)+H,804.61139,619.60244,327.32579,293.28395
Plasmanyl-PS(O-18:0/20:2)+H,802.59569,617.58674,327.32579,291.26825
Plasmanyl-PS(O-18:0/20:3)+H,800.58009,615.57114,327.32579,289.25265
Plasmanyl-PS(O-18:0/20:4)+H,798.56439,613.55544,327.32579,287.23695
Plasmanyl-PS(O-18:0/20:5)+H,796.54879,611.53984,327.32579,285.22135
Plasmanyl-PS(O-18:0/21:0)+H,820.64269,635.63374,327.32579,309.31525
Plasmanyl-PS(O-18:0/22:0)+H,834.65829,649.64934,327.32579,323.33085
Plasmanyl-PS(O-18:0/22:1)+H,832.64269,647.63374,327.32579,321.31525
Plasmanyl-PS(O-18:0/22:2)+H,830.62699,645.61804,327.32579,319.29955
Plasmanyl-PS(O-18:0/22:3)+H,828.61139,643.60244,327.32579,317.28395
Plasmanyl-PS(O-18:0/22:4)+H,826.59569,641.58674,327.32579,315.26825
Plasmanyl-PS(O-18:0/22:5)+H,824.58009,639.57114,327.32579,313.25265
Plasmanyl-PS(O-18:0/22:6)+H,822.56439,637.55544,327.32579,311.23695
