ether-TG,[M+NH4],NL R2COOH,NL R3COOH,RCO_2,RCO_3,RCO2+74.0368,RCO3+74.0368,RCO2+74-H2O,RCO3+74-H2O
plasmanyl-TG(O-16:0_8:0_8:0)+NH4,586.54055,425.39885,425.39885,127.11174,127.11174,201.1485364,201.1485364,183.1379714,183.1379714
plasmanyl-TG(O-16:0_8:0_10:0)+NH4,614.57185,453.43015,425.39885,127.11174,155.14304,201.1485364,229.1798364,183.1379714,211.1692714
plasmanyl-TG(O-16:0_8:0_12:0)+NH4,642.60315,481.46145,425.39885,127.11174,183.17434,201.1485364,257.2111364,183.1379714,239.2005714
plasmanyl-TG(O-16:0_8:0_13:0)+NH4,656.61885,495.47715,425.39885,127.11174,197.19004,201.1485364,271.2268364,183.1379714,253.2162714
plasmanyl-TG(O-16:0_8:0_14:0)+NH4,670.63445,509.49275,425.39885,127.11174,211.20564,201.1485364,285.2424364,183.1379714,267.2318714
plasmanyl-TG(O-16:0_8:0_14:1)+NH4,668.61885,507.47715,425.39885,127.11174,209.19004,201.1485364,283.2268364,183.1379714,265.2162714
plasmanyl-TG(O-16:0_8:0_15:0)+NH4,684.65015,523.50845,425.39885,127.11174,225.22134,201.1485364,299.2581364,183.1379714,281.2475714
plasmanyl-TG(O-16:0_8:0_15:1)+NH4,682.63445,521.49275,425.39885,127.11174,223.20564,201.1485364,297.2424364,183.1379714,279.2318714
plasmanyl-TG(O-16:0_8:0_16:0)+NH4,698.66575,537.52405,425.39885,127.11174,239.23694,201.1485364,313.2737364,183.1379714,295.2631714
plasmanyl-TG(O-16:0_8:0_16:1)+NH4,696.65015,535.50845,425.39885,127.11174,237.22134,201.1485364,311.2581364,183.1379714,293.2475714
plasmanyl-TG(O-16:0_8:0_17:0)+NH4,712.68145,551.53975,425.39885,127.11174,253.25264,201.1485364,327.2894364,183.1379714,309.2788714
plasmanyl-TG(O-16:0_8:0_17:1)+NH4,710.66575,549.52405,425.39885,127.11174,251.23694,201.1485364,325.2737364,183.1379714,307.2631714
plasmanyl-TG(O-16:0_8:0_17:2)+NH4,708.65015,547.50845,425.39885,127.11174,249.22134,201.1485364,323.2581364,183.1379714,305.2475714
plasmanyl-TG(O-16:0_8:0_18:0)+NH4,726.69705,565.55535,425.39885,127.11174,267.26824,201.1485364,341.3050364,183.1379714,323.2944714
plasmanyl-TG(O-16:0_8:0_18:1)+NH4,724.68145,563.53975,425.39885,127.11174,265.25264,201.1485364,339.2894364,183.1379714,321.2788714
plasmanyl-TG(O-16:0_8:0_18:2)+NH4,722.66575,561.52405,425.39885,127.11174,263.23694,201.1485364,337.2737364,183.1379714,319.2631714
plasmanyl-TG(O-16:0_8:0_18:3)+NH4,720.65015,559.50845,425.39885,127.11174,261.22134,201.1485364,335.2581364,183.1379714,317.2475714
plasmanyl-TG(O-16:0_8:0_18:4)+NH4,718.63445,557.49275,425.39885,127.11174,259.20564,201.1485364,333.2424364,183.1379714,315.2318714
plasmanyl-TG(O-16:0_8:0_19:0)+NH4,740.71275,579.57105,425.39885,127.11174,281.28394,201.1485364,355.3207364,183.1379714,337.3101714
plasmanyl-TG(O-16:0_8:0_20:0)+NH4,754.72835,593.58665,425.39885,127.11174,295.29954,201.1485364,369.3363364,183.1379714,351.3257714
plasmanyl-TG(O-16:0_8:0_20:1)+NH4,752.71275,591.57105,425.39885,127.11174,293.28394,201.1485364,367.3207364,183.1379714,349.3101714
plasmanyl-TG(O-16:0_8:0_20:2)+NH4,750.69705,589.55535,425.39885,127.11174,291.26824,201.1485364,365.3050364,183.1379714,347.2944714
plasmanyl-TG(O-16:0_8:0_20:3)+NH4,748.68145,587.53975,425.39885,127.11174,289.25264,201.1485364,363.2894364,183.1379714,345.2788714
plasmanyl-TG(O-16:0_8:0_20:4)+NH4,746.66575,585.52405,425.39885,127.11174,287.23694,201.1485364,361.2737364,183.1379714,343.2631714
plasmanyl-TG(O-16:0_8:0_20:5)+NH4,744.65015,583.50845,425.39885,127.11174,285.22134,201.1485364,359.2581364,183.1379714,341.2475714
plasmanyl-TG(O-16:0_8:0_21:0)+NH4,768.74405,607.60235,425.39885,127.11174,309.31524,201.1485364,383.3520364,183.1379714,365.3414714
plasmanyl-TG(O-16:0_8:0_22:0)+NH4,782.75965,621.61795,425.39885,127.11174,323.33084,201.1485364,397.3676364,183.1379714,379.3570714
