Plasmanyl-TG,[M+NH4],NL R2COOH,NL R3COOH
plasmanyl-TG(O-16:0_8:0_8:0)+NH4,586.54055,425.39885,425.39885
plasmanyl-TG(O-16:0_8:0_10:0)+NH4,614.57185,453.43015,425.39885
plasmanyl-TG(O-16:0_8:0_12:0)+NH4,642.60315,481.46145,425.39885
plasmanyl-TG(O-16:0_8:0_13:0)+NH4,656.61885,495.47715,425.39885
plasmanyl-TG(O-16:0_8:0_14:0)+NH4,670.63445,509.49275,425.39885
plasmanyl-TG(O-16:0_8:0_14:1)+NH4,668.61885,507.47715,425.39885
plasmanyl-TG(O-16:0_8:0_15:0)+NH4,684.65015,523.50845,425.39885
plasmanyl-TG(O-16:0_8:0_15:1)+NH4,682.63445,521.49275,425.39885
plasmanyl-TG(O-16:0_8:0_16:0)+NH4,698.66575,537.52405,425.39885
plasmanyl-TG(O-16:0_8:0_16:1)+NH4,696.65015,535.50845,425.39885
plasmanyl-TG(O-16:0_8:0_17:0)+NH4,712.68145,551.53975,425.39885
plasmanyl-TG(O-16:0_8:0_17:1)+NH4,710.66575,549.52405,425.39885
plasmanyl-TG(O-16:0_8:0_17:2)+NH4,708.65015,547.50845,425.39885
plasmanyl-TG(O-16:0_8:0_18:0)+NH4,726.69705,565.55535,425.39885
plasmanyl-TG(O-16:0_8:0_18:1)+NH4,724.68145,563.53975,425.39885
plasmanyl-TG(O-16:0_8:0_18:2)+NH4,722.66575,561.52405,425.39885
plasmanyl-TG(O-16:0_8:0_18:3)+NH4,720.65015,559.50845,425.39885
plasmanyl-TG(O-16:0_8:0_18:4)+NH4,718.63445,557.49275,425.39885
plasmanyl-TG(O-16:0_8:0_19:0)+NH4,740.71275,579.57105,425.39885
plasmanyl-TG(O-16:0_8:0_20:0)+NH4,754.72835,593.58665,425.39885
plasmanyl-TG(O-16:0_8:0_20:1)+NH4,752.71275,591.57105,425.39885
plasmanyl-TG(O-16:0_8:0_20:2)+NH4,750.69705,589.55535,425.39885
plasmanyl-TG(O-16:0_8:0_20:3)+NH4,748.68145,587.53975,425.39885
plasmanyl-TG(O-16:0_8:0_20:4)+NH4,746.66575,585.52405,425.39885
plasmanyl-TG(O-16:0_8:0_20:5)+NH4,744.65015,583.50845,425.39885
plasmanyl-TG(O-16:0_8:0_21:0)+NH4,768.74405,607.60235,425.39885
plasmanyl-TG(O-16:0_8:0_22:0)+NH4,782.75965,621.61795,425.39885
plasmanyl-TG(O-16:0_8:0_22:1)+NH4,780.74405,619.60235,425.39885
plasmanyl-TG(O-16:0_8:0_22:2)+NH4,778.72835,617.58665,425.39885
plasmanyl-TG(O-16:0_8:0_22:3)+NH4,776.71275,615.57105,425.39885
plasmanyl-TG(O-16:0_8:0_22:4)+NH4,774.69705,613.55535,425.39885
plasmanyl-TG(O-16:0_8:0_22:5)+NH4,772.68145,611.53975,425.39885
plasmanyl-TG(O-16:0_8:0_22:6)+NH4,770.66575,609.52405,425.39885
plasmanyl-TG(O-16:0_8:0_23:0)+NH4,796.77535,635.63365,425.39885
plasmanyl-TG(O-16:0_8:0_24:0)+NH4,810.79095,649.64925,425.39885
plasmanyl-TG(O-16:0_8:0_24:1)+NH4,808.77535,647.63365,425.39885
plasmanyl-TG(O-16:0_8:0_25:0)+NH4,824.80665,663.66495,425.39885
plasmanyl-TG(O-16:0_8:0_26:0)+NH4,838.82225,677.68055,425.39885
plasmanyl-TG(O-16:0_10:0_10:0)+NH4,642.60315,453.43015,453.43015
plasmanyl-TG(O-16:0_10:0_12:0)+NH4,670.63445,481.46145,453.43015
plasmanyl-TG(O-16:0_10:0_13:0)+NH4,684.65015,495.47715,453.43015
plasmanyl-TG(O-16:0_10:0_14:0)+NH4,698.66575,509.49275,453.43015
plasmanyl-TG(O-16:0_10:0_14:1)+NH4,696.65015,507.47715,453.43015
plasmanyl-TG(O-16:0_10:0_15:0)+NH4,712.68145,523.50845,453.43015
plasmanyl-TG(O-16:0_10:0_15:1)+NH4,710.66575,521.49275,453.43015
plasmanyl-TG(O-16:0_10:0_16:0)+NH4,726.69705,537.52405,453.43015
plasmanyl-TG(O-16:0_10:0_16:1)+NH4,724.68145,535.50845,453.43015
plasmanyl-TG(O-16:0_10:0_17:0)+NH4,740.71275,551.53975,453.43015
plasmanyl-TG(O-16:0_10:0_17:1)+NH4,738.69705,549.52405,453.43015
plasmanyl-TG(O-16:0_10:0_17:2)+NH4,736.68145,547.50845,453.43015
plasmanyl-TG(O-16:0_10:0_18:0)+NH4,754.72835,565.55535,453.43015
plasmanyl-TG(O-16:0_10:0_18:1)+NH4,752.71275,563.53975,453.43015
plasmanyl-TG(O-16:0_10:0_18:2)+NH4,750.69705,561.52405,453.43015
plasmanyl-TG(O-16:0_10:0_18:3)+NH4,748.68145,559.50845,453.43015
plasmanyl-TG(O-16:0_10:0_18:4)+NH4,746.66575,557.49275,453.43015
plasmanyl-TG(O-16:0_10:0_19:0)+NH4,768.74405,579.57105,453.43015
plasmanyl-TG(O-16:0_10:0_20:0)+NH4,782.75965,593.58665,453.43015
plasmanyl-TG(O-16:0_10:0_20:1)+NH4,780.74405,591.57105,453.43015
plasmanyl-TG(O-16:0_10:0_20:2)+NH4,778.72835,589.55535,453.43015
plasmanyl-TG(O-16:0_10:0_20:3)+NH4,776.71275,587.53975,453.43015
plasmanyl-TG(O-16:0_10:0_20:4)+NH4,774.69705,585.52405,453.43015
plasmanyl-TG(O-16:0_10:0_20:5)+NH4,772.68145,583.50845,453.43015
