Plasmenyl-LPC,[M+H]+,MH-PC,NL_sn1_ether,NL_sn1_59,PC_Head
Plasmenyl-LPC(P-16:0)+H,480.34486,297.27882,210.125485,151.051985,184.07332
Plasmenyl-LPC(P-16:1)+H,478.32921,295.26317,210.125485,151.051985,184.07332
Plasmenyl-LPC(P-18:0)+H,508.37616,325.31012,210.125485,151.051985,184.07332
Plasmenyl-LPC(P-18:1)+H,506.36051,323.29447,210.125485,151.051985,184.07332
Plasmenyl-LPC(P-20:0)+H,536.40746,353.34142,210.125485,151.051985,184.07332
Plasmenyl-LPC(P-20:1)+H,534.39181,351.32577,210.125485,151.051985,184.07332
Plasmenyl-LPC(P-22:0)+H,564.43876,381.37272,210.125485,151.051985,184.07332
Plasmenyl-LPC(P-22:1)+H,562.42316,379.35712,210.125485,151.051985,184.07332
Plasmenyl-LPC(P-24:0)+H,592.47006,409.40402,210.125485,151.051985,184.07332
Plasmenyl-LPC(P-24:1)+H,590.45446,407.38842,210.125485,151.051985,184.07332
Plasmenyl-LPC(P-24:2)+H,588.43886,405.37282,210.125485,151.051985,184.07332
