Plasmenyl-LPE,[M-H]-,NL(RCH=CH2),NL(RCH=CHOH), Glycerol-3-phosphate_NLH2O,H2PO4-,PO3-,EthanolaminePhosphate,EthanolaminePhosphate_NLH2O
Plasmenyl-LPE(P-16:0)-H,436.2834,214.0486,196.038,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-LPE(P-16:1)-H,434.26775,214.0486,196.038,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-LPE(P-18:0)-H,464.3147,214.0486,196.038,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-LPE(P-18:1)-H,462.29905,214.0486,196.038,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-LPE(P-20:0)-H,492.346,214.0486,196.038,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-LPE(P-20:1)-H,490.33035,214.0486,196.038,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-LPE(P-22:0)-H,520.3773,214.0486,196.038,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-LPE(P-22:1)-H,518.3617,214.0486,196.038,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-LPE(P-24:0)-H,548.4086,214.0486,196.038,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-LPE(P-24:1)-H,546.393,214.0486,196.038,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-LPE(P-24:2)-H,544.3774,214.0486,196.038,152.99586,96.96964,78.95852,140.01128,122.0007
