ether-TG,[M+NH4]+,NL R2COOH,NL R3COOH,RCO_2,RCO_3,RCO2+74.0368,RCO3+74.0368,RCO2+74-H2O,RCO3+74-H2O
plasmenyl-TG(P-16:0_8:0_8:0)+NH4,584.5249,423.3832,423.3832,127.11174,127.11174,201.1485364,201.1485364,183.1379714,183.1379714
plasmenyl-TG(P-16:0_8:0_10:0)+NH4,612.5562,451.4145,423.3832,127.11174,155.14304,201.1485364,229.1798364,183.1379714,211.1692714
plasmenyl-TG(P-16:0_8:0_12:0)+NH4,640.5875,479.4458,423.3832,127.11174,183.17434,201.1485364,257.2111364,183.1379714,239.2005714
plasmenyl-TG(P-16:0_8:0_13:0)+NH4,654.6032,493.4615,423.3832,127.11174,197.19004,201.1485364,271.2268364,183.1379714,253.2162714
plasmenyl-TG(P-16:0_8:0_14:0)+NH4,668.6188,507.4771,423.3832,127.11174,211.20564,201.1485364,285.2424364,183.1379714,267.2318714
plasmenyl-TG(P-16:0_8:0_14:1)+NH4,666.6032,505.4615,423.3832,127.11174,209.19004,201.1485364,283.2268364,183.1379714,265.2162714
plasmenyl-TG(P-16:0_8:0_15:0)+NH4,682.6345,521.4928,423.3832,127.11174,225.22134,201.1485364,299.2581364,183.1379714,281.2475714
plasmenyl-TG(P-16:0_8:0_15:1)+NH4,680.6188,519.4771,423.3832,127.11174,223.20564,201.1485364,297.2424364,183.1379714,279.2318714
plasmenyl-TG(P-16:0_8:0_16:0)+NH4,696.6501,535.5084,423.3832,127.11174,239.23694,201.1485364,313.2737364,183.1379714,295.2631714
plasmenyl-TG(P-16:0_8:0_16:1)+NH4,694.6345,533.4928,423.3832,127.11174,237.22134,201.1485364,311.2581364,183.1379714,293.2475714
plasmenyl-TG(P-16:0_8:0_17:0)+NH4,710.6658,549.5241,423.3832,127.11174,253.25264,201.1485364,327.2894364,183.1379714,309.2788714
plasmenyl-TG(P-16:0_8:0_17:1)+NH4,708.6501,547.5084,423.3832,127.11174,251.23694,201.1485364,325.2737364,183.1379714,307.2631714
plasmenyl-TG(P-16:0_8:0_17:2)+NH4,706.6345,545.4928,423.3832,127.11174,249.22134,201.1485364,323.2581364,183.1379714,305.2475714
plasmenyl-TG(P-16:0_8:0_18:0)+NH4,724.6814,563.5397,423.3832,127.11174,267.26824,201.1485364,341.3050364,183.1379714,323.2944714
plasmenyl-TG(P-16:0_8:0_18:1)+NH4,722.6658,561.5241,423.3832,127.11174,265.25264,201.1485364,339.2894364,183.1379714,321.2788714
plasmenyl-TG(P-16:0_8:0_18:2)+NH4,720.6501,559.5084,423.3832,127.11174,263.23694,201.1485364,337.2737364,183.1379714,319.2631714
plasmenyl-TG(P-16:0_8:0_18:3)+NH4,718.6345,557.4928,423.3832,127.11174,261.22134,201.1485364,335.2581364,183.1379714,317.2475714
plasmenyl-TG(P-16:0_8:0_18:4)+NH4,716.6188,555.4771,423.3832,127.11174,259.20564,201.1485364,333.2424364,183.1379714,315.2318714
plasmenyl-TG(P-16:0_8:0_19:0)+NH4,738.6971,577.5554,423.3832,127.11174,281.28394,201.1485364,355.3207364,183.1379714,337.3101714
plasmenyl-TG(P-16:0_8:0_20:0)+NH4,752.7127,591.571,423.3832,127.11174,295.29954,201.1485364,369.3363364,183.1379714,351.3257714
plasmenyl-TG(P-16:0_8:0_20:1)+NH4,750.6971,589.5554,423.3832,127.11174,293.28394,201.1485364,367.3207364,183.1379714,349.3101714
plasmenyl-TG(P-16:0_8:0_20:2)+NH4,748.6814,587.5397,423.3832,127.11174,291.26824,201.1485364,365.3050364,183.1379714,347.2944714
plasmenyl-TG(P-16:0_8:0_20:3)+NH4,746.6658,585.5241,423.3832,127.11174,289.25264,201.1485364,363.2894364,183.1379714,345.2788714
plasmenyl-TG(P-16:0_8:0_20:4)+NH4,744.6501,583.5084,423.3832,127.11174,287.23694,201.1485364,361.2737364,183.1379714,343.2631714
plasmenyl-TG(P-16:0_8:0_20:5)+NH4,742.6345,581.4928,423.3832,127.11174,285.22134,201.1485364,359.2581364,183.1379714,341.2475714
plasmenyl-TG(P-16:0_8:0_21:0)+NH4,766.7284,605.5867,423.3832,127.11174,309.31524,201.1485364,383.3520364,183.1379714,365.3414714
plasmenyl-TG(P-16:0_8:0_22:0)+NH4,780.744,619.6023,423.3832,127.11174,323.33084,201.1485364,397.3676364,183.1379714,379.3570714
plasmenyl-TG(P-16:0_8:0_22:1)+NH4,778.7284,617.5867,423.3832,127.11174,321.31524,201.1485364,395.3520364,183.1379714,377.3414714
plasmenyl-TG(P-16:0_8:0_22:2)+NH4,776.7127,615.571,423.3832,127.11174,319.29954,201.1485364,393.3363364,183.1379714,375.3257714
plasmenyl-TG(P-16:0_8:0_22:3)+NH4,774.6971,613.5554,423.3832,127.11174,317.28394,201.1485364,391.3207364,183.1379714,373.3101714
plasmenyl-TG(P-16:0_8:0_22:4)+NH4,772.6814,611.5397,423.3832,127.11174,315.26824,201.1485364,389.3050364,183.1379714,371.2944714
plasmenyl-TG(P-16:0_8:0_22:5)+NH4,770.6658,609.5241,423.3832,127.11174,313.25264,201.1485364,387.2894364,183.1379714,369.2788714
plasmenyl-TG(P-16:0_8:0_22:6)+NH4,768.6501,607.5084,423.3832,127.11174,311.23694,201.1485364,385.2737364,183.1379714,367.2631714
plasmenyl-TG(P-16:0_8:0_23:0)+NH4,794.7597,633.618,423.3832,127.11174,337.34654,201.1485364,411.3833364,183.1379714,393.3727714
plasmenyl-TG(P-16:0_8:0_24:0)+NH4,808.7753,647.6336,423.3832,127.11174,351.36214,201.1485364,425.3989364,183.1379714,407.3883714
plasmenyl-TG(P-16:0_8:0_24:1)+NH4,806.7597,645.618,423.3832,127.11174,349.34654,201.1485364,423.3833364,183.1379714,405.3727714
plasmenyl-TG(P-16:0_8:0_25:0)+NH4,822.791,661.6493,423.3832,127.11174,365.37784,201.1485364,439.4146364,183.1379714,421.4040714
plasmenyl-TG(P-16:0_8:0_26:0)+NH4,836.8066,675.6649,423.3832,127.11174,379.39344,201.1485364,453.4302364,183.1379714,435.4196714
plasmenyl-TG(P-16:0_10:0_10:0)+NH4,640.5875,451.4145,451.4145,155.14304,155.14304,229.1798364,229.1798364,211.1692714,211.1692714
plasmenyl-TG(P-16:0_10:0_12:0)+NH4,668.6188,479.4458,451.4145,155.14304,183.17434,229.1798364,257.2111364,211.1692714,239.2005714
plasmenyl-TG(P-16:0_10:0_13:0)+NH4,682.6345,493.4615,451.4145,155.14304,197.19004,229.1798364,271.2268364,211.1692714,253.2162714
plasmenyl-TG(P-16:0_10:0_14:0)+NH4,696.6501,507.4771,451.4145,155.14304,211.20564,229.1798364,285.2424364,211.1692714,267.2318714
plasmenyl-TG(P-16:0_10:0_14:1)+NH4,694.6345,505.4615,451.4145,155.14304,209.19004,229.1798364,283.2268364,211.1692714,265.2162714
plasmenyl-TG(P-16:0_10:0_15:0)+NH4,710.6658,521.4928,451.4145,155.14304,225.22134,229.1798364,299.2581364,211.1692714,281.2475714
plasmenyl-TG(P-16:0_10:0_15:1)+NH4,708.6501,519.4771,451.4145,155.14304,223.20564,229.1798364,297.2424364,211.1692714,279.2318714
plasmenyl-TG(P-16:0_10:0_16:0)+NH4,724.6814,535.5084,451.4145,155.14304,239.23694,229.1798364,313.2737364,211.1692714,295.2631714
plasmenyl-TG(P-16:0_10:0_16:1)+NH4,722.6658,533.4928,451.4145,155.14304,237.22134,229.1798364,311.2581364,211.1692714,293.2475714
plasmenyl-TG(P-16:0_10:0_17:0)+NH4,738.6971,549.5241,451.4145,155.14304,253.25264,229.1798364,327.2894364,211.1692714,309.2788714
plasmenyl-TG(P-16:0_10:0_17:1)+NH4,736.6814,547.5084,451.4145,155.14304,251.23694,229.1798364,325.2737364,211.1692714,307.2631714
plasmenyl-TG(P-16:0_10:0_17:2)+NH4,734.6658,545.4928,451.4145,155.14304,249.22134,229.1798364,323.2581364,211.1692714,305.2475714
plasmenyl-TG(P-16:0_10:0_18:0)+NH4,752.7127,563.5397,451.4145,155.14304,267.26824,229.1798364,341.3050364,211.1692714,323.2944714
plasmenyl-TG(P-16:0_10:0_18:1)+NH4,750.6971,561.5241,451.4145,155.14304,265.25264,229.1798364,339.2894364,211.1692714,321.2788714
plasmenyl-TG(P-16:0_10:0_18:2)+NH4,748.6814,559.5084,451.4145,155.14304,263.23694,229.1798364,337.2737364,211.1692714,319.2631714
plasmenyl-TG(P-16:0_10:0_18:3)+NH4,746.6658,557.4928,451.4145,155.14304,261.22134,229.1798364,335.2581364,211.1692714,317.2475714
plasmenyl-TG(P-16:0_10:0_18:4)+NH4,744.6501,555.4771,451.4145,155.14304,259.20564,229.1798364,333.2424364,211.1692714,315.2318714
plasmenyl-TG(P-16:0_10:0_19:0)+NH4,766.7284,577.5554,451.4145,155.14304,281.28394,229.1798364,355.3207364,211.1692714,337.3101714
plasmenyl-TG(P-16:0_10:0_20:0)+NH4,780.744,591.571,451.4145,155.14304,295.29954,229.1798364,369.3363364,211.1692714,351.3257714
plasmenyl-TG(P-16:0_10:0_20:1)+NH4,778.7284,589.5554,451.4145,155.14304,293.28394,229.1798364,367.3207364,211.1692714,349.3101714
plasmenyl-TG(P-16:0_10:0_20:2)+NH4,776.7127,587.5397,451.4145,155.14304,291.26824,229.1798364,365.3050364,211.1692714,347.2944714
plasmenyl-TG(P-16:0_10:0_20:3)+NH4,774.6971,585.5241,451.4145,155.14304,289.25264,229.1798364,363.2894364,211.1692714,345.2788714
plasmenyl-TG(P-16:0_10:0_20:4)+NH4,772.6814,583.5084,451.4145,155.14304,287.23694,229.1798364,361.2737364,211.1692714,343.2631714
plasmenyl-TG(P-16:0_10:0_20:5)+NH4,770.6658,581.4928,451.4145,155.14304,285.22134,229.1798364,359.2581364,211.1692714,341.2475714
plasmenyl-TG(P-16:0_10:0_21:0)+NH4,794.7597,605.5867,451.4145,155.14304,309.31524,229.1798364,383.3520364,211.1692714,365.3414714
plasmenyl-TG(P-16:0_10:0_22:0)+NH4,808.7753,619.6023,451.4145,155.14304,323.33084,229.1798364,397.3676364,211.1692714,379.3570714
plasmenyl-TG(P-16:0_10:0_22:1)+NH4,806.7597,617.5867,451.4145,155.14304,321.31524,229.1798364,395.3520364,211.1692714,377.3414714
plasmenyl-TG(P-16:0_10:0_22:2)+NH4,804.744,615.571,451.4145,155.14304,319.29954,229.1798364,393.3363364,211.1692714,375.3257714
plasmenyl-TG(P-16:0_10:0_22:3)+NH4,802.7284,613.5554,451.4145,155.14304,317.28394,229.1798364,391.3207364,211.1692714,373.3101714
plasmenyl-TG(P-16:0_10:0_22:4)+NH4,800.7127,611.5397,451.4145,155.14304,315.26824,229.1798364,389.3050364,211.1692714,371.2944714
plasmenyl-TG(P-16:0_10:0_22:5)+NH4,798.6971,609.5241,451.4145,155.14304,313.25264,229.1798364,387.2894364,211.1692714,369.2788714
plasmenyl-TG(P-16:0_10:0_22:6)+NH4,796.6814,607.5084,451.4145,155.14304,311.23694,229.1798364,385.2737364,211.1692714,367.2631714
plasmenyl-TG(P-16:0_10:0_23:0)+NH4,822.791,633.618,451.4145,155.14304,337.34654,229.1798364,411.3833364,211.1692714,393.3727714
plasmenyl-TG(P-16:0_10:0_24:0)+NH4,836.8066,647.6336,451.4145,155.14304,351.36214,229.1798364,425.3989364,211.1692714,407.3883714
plasmenyl-TG(P-16:0_10:0_24:1)+NH4,834.791,645.618,451.4145,155.14304,349.34654,229.1798364,423.3833364,211.1692714,405.3727714
plasmenyl-TG(P-16:0_10:0_25:0)+NH4,850.8223,661.6493,451.4145,155.14304,365.37784,229.1798364,439.4146364,211.1692714,421.4040714
plasmenyl-TG(P-16:0_10:0_26:0)+NH4,864.8379,675.6649,451.4145,155.14304,379.39344,229.1798364,453.4302364,211.1692714,435.4196714
plasmenyl-TG(P-16:0_12:0_12:0)+NH4,696.6501,479.4458,479.4458,183.17434,183.17434,257.2111364,257.2111364,239.2005714,239.2005714
plasmenyl-TG(P-16:0_12:0_13:0)+NH4,710.6658,493.4615,479.4458,183.17434,197.19004,257.2111364,271.2268364,239.2005714,253.2162714
plasmenyl-TG(P-16:0_12:0_14:0)+NH4,724.6814,507.4771,479.4458,183.17434,211.20564,257.2111364,285.2424364,239.2005714,267.2318714
plasmenyl-TG(P-16:0_12:0_14:1)+NH4,722.6658,505.4615,479.4458,183.17434,209.19004,257.2111364,283.2268364,239.2005714,265.2162714
plasmenyl-TG(P-16:0_12:0_15:0)+NH4,738.6971,521.4928,479.4458,183.17434,225.22134,257.2111364,299.2581364,239.2005714,281.2475714
plasmenyl-TG(P-16:0_12:0_15:1)+NH4,736.6814,519.4771,479.4458,183.17434,223.20564,257.2111364,297.2424364,239.2005714,279.2318714
plasmenyl-TG(P-16:0_12:0_16:0)+NH4,752.7127,535.5084,479.4458,183.17434,239.23694,257.2111364,313.2737364,239.2005714,295.2631714
plasmenyl-TG(P-16:0_12:0_16:1)+NH4,750.6971,533.4928,479.4458,183.17434,237.22134,257.2111364,311.2581364,239.2005714,293.2475714
plasmenyl-TG(P-16:0_12:0_17:0)+NH4,766.7284,549.5241,479.4458,183.17434,253.25264,257.2111364,327.2894364,239.2005714,309.2788714
plasmenyl-TG(P-16:0_12:0_17:1)+NH4,764.7127,547.5084,479.4458,183.17434,251.23694,257.2111364,325.2737364,239.2005714,307.2631714
plasmenyl-TG(P-16:0_12:0_17:2)+NH4,762.6971,545.4928,479.4458,183.17434,249.22134,257.2111364,323.2581364,239.2005714,305.2475714
plasmenyl-TG(P-16:0_12:0_18:0)+NH4,780.744,563.5397,479.4458,183.17434,267.26824,257.2111364,341.3050364,239.2005714,323.2944714
