Plasmenyl-TG,[M+NH4]+,NL R2COOH,NL R3COOH
plasmenyl-TG(P-16:0_8:0_8:0)+NH4,584.5249,423.3832,423.3832
plasmenyl-TG(P-16:0_8:0_10:0)+NH4,612.5562,451.4145,423.3832
plasmenyl-TG(P-16:0_8:0_12:0)+NH4,640.5875,479.4458,423.3832
plasmenyl-TG(P-16:0_8:0_13:0)+NH4,654.6032,493.4615,423.3832
plasmenyl-TG(P-16:0_8:0_14:0)+NH4,668.6188,507.4771,423.3832
plasmenyl-TG(P-16:0_8:0_14:1)+NH4,666.6032,505.4615,423.3832
plasmenyl-TG(P-16:0_8:0_15:0)+NH4,682.6345,521.4928,423.3832
plasmenyl-TG(P-16:0_8:0_15:1)+NH4,680.6188,519.4771,423.3832
plasmenyl-TG(P-16:0_8:0_16:0)+NH4,696.6501,535.5084,423.3832
plasmenyl-TG(P-16:0_8:0_16:1)+NH4,694.6345,533.4928,423.3832
plasmenyl-TG(P-16:0_8:0_17:0)+NH4,710.6658,549.5241,423.3832
plasmenyl-TG(P-16:0_8:0_17:1)+NH4,708.6501,547.5084,423.3832
plasmenyl-TG(P-16:0_8:0_17:2)+NH4,706.6345,545.4928,423.3832
plasmenyl-TG(P-16:0_8:0_18:0)+NH4,724.6814,563.5397,423.3832
plasmenyl-TG(P-16:0_8:0_18:1)+NH4,722.6658,561.5241,423.3832
plasmenyl-TG(P-16:0_8:0_18:2)+NH4,720.6501,559.5084,423.3832
plasmenyl-TG(P-16:0_8:0_18:3)+NH4,718.6345,557.4928,423.3832
plasmenyl-TG(P-16:0_8:0_18:4)+NH4,716.6188,555.4771,423.3832
plasmenyl-TG(P-16:0_8:0_19:0)+NH4,738.6971,577.5554,423.3832
plasmenyl-TG(P-16:0_8:0_20:0)+NH4,752.7127,591.571,423.3832
plasmenyl-TG(P-16:0_8:0_20:1)+NH4,750.6971,589.5554,423.3832
plasmenyl-TG(P-16:0_8:0_20:2)+NH4,748.6814,587.5397,423.3832
plasmenyl-TG(P-16:0_8:0_20:3)+NH4,746.6658,585.5241,423.3832
plasmenyl-TG(P-16:0_8:0_20:4)+NH4,744.6501,583.5084,423.3832
