Sulfatide,[M+H]+,[M-SO3+H]+,[M-H2SO4+H]+,[M-C6H12O9S+H]+,[M-C6H10O8S+H]+,[M-C6H10O8S-H2O+H]+,[M-FA-H2SO4+H]+,[Sph-H2O+H]+,[Sph-2H2O+H]+,[FAA+H]+,[Sph-CH4O2+H]+
SHexCer(d14:0/12:0)+H,670.419503,590.4621,572.4515,428.4093,410.3987,392.3882,390.285,228.2322,210.2216,200.2009,198.2216
SHexCer(d14:0/12:1)+H,668.403803,588.4464,570.4359,426.3936,408.383,390.3724,390.285,228.2322,210.2216,198.1853,198.2216
SHexCer(d14:1/12:0)+H,668.403803,588.4464,570.4359,426.3936,408.383,390.3724,388.2693,226.2166,208.206,200.2009,196.206
SHexCer(d14:1/12:1)+H,666.388203,586.4308,568.4202,424.378,406.3674,388.3568,388.2694,226.2166,208.206,198.1853,196.206
SHexCer(d14:0/13:0)+H,684.435203,604.4778,586.4672,442.425,424.4144,406.4038,390.2851,228.2322,210.2216,214.2166,198.2216
SHexCer(d15:0/12:0)+H,684.435203,604.4778,586.4672,442.425,424.4144,406.4038,404.3007,242.2478,224.2373,200.2009,212.2373
SHexCer(d14:0/13:1)+H,682.419503,602.4621,584.4515,440.4093,422.3987,404.3882,390.285,228.2322,210.2216,212.2009,198.2216
SHexCer(d14:1/13:0)+H,682.419503,602.4621,584.4515,440.4093,422.3987,404.3882,388.2694,226.2166,208.206,214.2166,196.206
SHexCer(d15:0/12:1)+H,682.419503,602.4621,584.4515,440.4093,422.3987,404.3882,404.3007,242.2478,224.2373,198.1853,212.2373
SHexCer(d15:1/12:0)+H,682.419503,602.4621,584.4515,440.4093,422.3987,404.3882,402.285,240.2322,222.2216,200.2009,210.2216
SHexCer(d14:1/13:1)+H,680.403803,600.4464,582.4359,438.3936,420.383,402.3724,388.2693,226.2166,208.206,212.2009,196.206
SHexCer(d15:1/12:1)+H,680.403803,600.4464,582.4359,438.3936,420.383,402.3724,402.285,240.2322,222.2216,198.1853,210.2216
SHexCer(d14:0/14:0)+H,698.450803,618.4934,600.4828,456.4406,438.43,420.4195,390.285,228.2322,210.2216,228.2322,198.2216
SHexCer(d15:0/13:0)+H,698.450803,618.4934,600.4828,456.4406,438.43,420.4195,404.3007,242.2478,224.2373,214.2166,212.2373
SHexCer(d16:0/12:0)+H,698.450803,618.4934,600.4828,456.4406,438.43,420.4195,418.3163,256.2635,238.2529,200.2009,226.2529
SHexCer(d14:0/14:1)+H,696.435203,616.4778,598.4672,454.425,436.4144,418.4038,390.2851,228.2322,210.2216,226.2166,198.2216
SHexCer(d14:1/14:0)+H,696.435203,616.4778,598.4672,454.425,436.4144,418.4038,388.2694,226.2166,208.206,228.2322,196.206
SHexCer(d15:0/13:1)+H,696.435203,616.4778,598.4672,454.425,436.4144,418.4038,404.3007,242.2478,224.2373,212.2009,212.2373
SHexCer(d15:1/13:0)+H,696.435203,616.4778,598.4672,454.425,436.4144,418.4038,402.2851,240.2322,222.2216,214.2166,210.2216
SHexCer(d16:0/12:1)+H,696.435203,616.4778,598.4672,454.425,436.4144,418.4038,418.3164,256.2635,238.2529,198.1853,226.2529
SHexCer(d16:1/12:0)+H,696.435203,616.4778,598.4672,454.425,436.4144,418.4038,416.3007,254.2478,236.2373,200.2009,224.2373
SHexCer(d14:1/14:1)+H,694.419503,614.4621,596.4515,452.4093,434.3987,416.3882,388.2694,226.2166,208.206,226.2166,196.206
SHexCer(d15:1/13:1)+H,694.419503,614.4621,596.4515,452.4093,434.3987,416.3882,402.285,240.2322,222.2216,212.2009,210.2216
SHexCer(d16:1/12:1)+H,694.419503,614.4621,596.4515,452.4093,434.3987,416.3882,416.3007,254.2478,236.2373,198.1853,224.2373
SHexCer(d14:0/15:0)+H,712.466403,632.509,614.4984,470.4562,452.4456,434.4351,390.285,228.2322,210.2216,242.2478,198.2216
SHexCer(d15:0/14:0)+H,712.466403,632.509,614.4984,470.4562,452.4456,434.4351,404.3006,242.2478,224.2373,228.2322,212.2373
SHexCer(d16:0/13:0)+H,712.466403,632.509,614.4984,470.4562,452.4456,434.4351,418.3163,256.2635,238.2529,214.2166,226.2529
SHexCer(d17:0/12:0)+H,712.466403,632.509,614.4984,470.4562,452.4456,434.4351,432.3319,270.2791,252.2686,200.2009,240.2686
SHexCer(d14:0/15:1)+H,710.450803,630.4934,612.4828,468.4406,450.43,432.4195,390.285,228.2322,210.2216,240.2322,198.2216
SHexCer(d14:1/15:0)+H,710.450803,630.4934,612.4828,468.4406,450.43,432.4195,388.2694,226.2166,208.206,242.2478,196.206
SHexCer(d15:0/14:1)+H,710.450803,630.4934,612.4828,468.4406,450.43,432.4195,404.3007,242.2478,224.2373,226.2166,212.2373
SHexCer(d15:1/14:0)+H,710.450803,630.4934,612.4828,468.4406,450.43,432.4195,402.285,240.2322,222.2216,228.2322,210.2216
SHexCer(d16:0/13:1)+H,710.450803,630.4934,612.4828,468.4406,450.43,432.4195,418.3163,256.2635,238.2529,212.2009,226.2529
SHexCer(d16:1/13:0)+H,710.450803,630.4934,612.4828,468.4406,450.43,432.4195,416.3007,254.2478,236.2373,214.2166,224.2373
SHexCer(d17:0/12:1)+H,710.450803,630.4934,612.4828,468.4406,450.43,432.4195,432.332,270.2791,252.2686,198.1853,240.2686
SHexCer(d17:1/12:0)+H,710.450803,630.4934,612.4828,468.4406,450.43,432.4195,430.3163,268.2635,250.2529,200.2009,238.2529
SHexCer(d14:1/15:1)+H,708.435203,628.4778,610.4672,466.425,448.4144,430.4038,388.2694,226.2166,208.206,240.2322,196.206
SHexCer(d15:1/14:1)+H,708.435203,628.4778,610.4672,466.425,448.4144,430.4038,402.2851,240.2322,222.2216,226.2166,210.2216
SHexCer(d16:1/13:1)+H,708.435203,628.4778,610.4672,466.425,448.4144,430.4038,416.3007,254.2478,236.2373,212.2009,224.2373
SHexCer(d17:1/12:1)+H,708.435203,628.4778,610.4672,466.425,448.4144,430.4038,430.3164,268.2635,250.2529,198.1853,238.2529
SHexCer(d14:0/16:0)+H,726.482103,646.5247,628.5142,484.4719,466.4613,448.4507,390.285,228.2322,210.2216,256.2635,198.2216
SHexCer(d15:0/15:0)+H,726.482103,646.5247,628.5142,484.4719,466.4613,448.4507,404.3007,242.2478,224.2373,242.2478,212.2373
SHexCer(d16:0/14:0)+H,726.482103,646.5247,628.5142,484.4719,466.4613,448.4507,418.3163,256.2635,238.2529,228.2322,226.2529
SHexCer(d17:0/13:0)+H,726.482103,646.5247,628.5142,484.4719,466.4613,448.4507,432.332,270.2791,252.2686,214.2166,240.2686
SHexCer(d18:0/12:0)+H,726.482103,646.5247,628.5142,484.4719,466.4613,448.4507,446.3476,284.2948,266.2842,200.2009,254.2842
SHexCer(d14:0/16:1)+H,724.466403,644.509,626.4984,482.4562,464.4456,446.4351,390.285,228.2322,210.2216,254.2478,198.2216
SHexCer(d14:1/16:0)+H,724.466403,644.509,626.4984,482.4562,464.4456,446.4351,388.2693,226.2166,208.206,256.2635,196.206
SHexCer(d15:0/15:1)+H,724.466403,644.509,626.4984,482.4562,464.4456,446.4351,404.3006,242.2478,224.2373,240.2322,212.2373
SHexCer(d15:1/15:0)+H,724.466403,644.509,626.4984,482.4562,464.4456,446.4351,402.285,240.2322,222.2216,242.2478,210.2216
SHexCer(d16:0/14:1)+H,724.466403,644.509,626.4984,482.4562,464.4456,446.4351,418.3163,256.2635,238.2529,226.2166,226.2529
