SM,[M+C2H3O2]-,[M-CH3]-,Sph-C-H,[C4H11NO4P]-,[PO3]-
SM(d14:0/12:0)+C2H3O2,651.4713,577.4346,395.2676,168.0431,78.95905
SM(d14:0/12:1)+C2H3O2,649.4557,575.4189,395.2676,168.0431,78.95905
SM(d14:0/13:0)+C2H3O2,665.487,591.4502,395.2676,168.0431,78.95905
SM(d14:0/13:1)+C2H3O2,663.4713,589.4346,395.2676,168.0431,78.95905
SM(d14:0/14:0)+C2H3O2,679.5026,605.4658,395.2676,168.0431,78.95905
SM(d14:0/14:1)+C2H3O2,677.487,603.4502,395.2676,168.0431,78.95905
SM(d14:0/15:0)+C2H3O2,693.5182,619.4815,395.2676,168.0431,78.95905
SM(d14:0/15:1)+C2H3O2,691.5026,617.4658,395.2676,168.0431,78.95905
SM(d14:0/16:0)+C2H3O2,707.5339,633.4971,395.2676,168.0431,78.95905
SM(d14:0/16:1)+C2H3O2,705.5182,631.4815,395.2676,168.0431,78.95905
SM(d14:0/16:2)+C2H3O2,703.5026,629.4658,395.2676,168.0431,78.95905
SM(d14:0/17:0)+C2H3O2,721.5496,647.5128,395.2676,168.0431,78.95905
SM(d14:0/18:0)+C2H3O2,735.5652,661.5284,395.2676,168.0431,78.95905
SM(d14:0/18:1)+C2H3O2,733.5496,659.5128,395.2676,168.0431,78.95905
SM(d14:0/18:2)+C2H3O2,731.5339,657.4971,395.2676,168.0431,78.95905
SM(d14:0/19:0)+C2H3O2,749.5809,675.5441,395.2677,168.0431,78.95905
SM(d14:0/19:1)+C2H3O2,747.5652,673.5284,395.2676,168.0431,78.95905
SM(d14:0/20:0)+C2H3O2,763.5966,689.5598,395.2677,168.0431,78.95905
SM(d14:0/20:1)+C2H3O2,761.5809,687.5441,395.2677,168.0431,78.95905
SM(d14:0/20:2)+C2H3O2,759.5652,685.5284,395.2676,168.0431,78.95905
SM(d14:0/21:0)+C2H3O2,777.6122,703.5754,395.2677,168.0431,78.95905
SM(d14:0/21:1)+C2H3O2,775.5966,701.5598,395.2677,168.0431,78.95905
SM(d14:0/22:0)+C2H3O2,791.6278,717.5911,395.2677,168.0431,78.95905
SM(d14:0/22:1)+C2H3O2,789.6122,715.5754,395.2677,168.0431,78.95905
SM(d14:0/22:2)+C2H3O2,787.5966,713.5598,395.2677,168.0431,78.95905
SM(d14:0/23:0)+C2H3O2,805.6435,731.6067,395.2677,168.0431,78.95905
