SM,[M+HCO2]-,M-CH3,FA-H,(P-Cho)-CH3-H
SM(d10:0/10:0)+HCO2,553.3623,493.3365,171.139,168.0431
SM(d10:0/12:0)+HCO2,581.3936,521.3678,199.1703,168.0431
SM(d10:0/13:0)+HCO2,595.4093,535.3835,213.186,168.0431
SM(d10:0/14:0)+HCO2,609.4249,549.3991,227.2016,168.0431
SM(d10:0/14:1)+HCO2,607.4093,547.3835,225.186,168.0431
SM(d10:0/15:0)+HCO2,623.4406,563.4148,241.2173,168.0431
SM(d10:0/15:1)+HCO2,621.4249,561.3991,239.2016,168.0431
SM(d10:0/16:0)+HCO2,637.4562,577.4304,255.2329,168.0431
SM(d10:0/16:1)+HCO2,635.4406,575.4148,253.2173,168.0431
SM(d10:0/17:0)+HCO2,651.4719,591.4461,269.2486,168.0431
SM(d10:0/17:1)+HCO2,649.4562,589.4304,267.2329,168.0431
SM(d10:0/17:2)+HCO2,647.4406,587.4148,265.2173,168.0431
SM(d10:0/18:0)+HCO2,665.4875,605.4617,283.2642,168.0431
SM(d10:0/18:1)+HCO2,663.4719,603.4461,281.2486,168.0431
SM(d10:0/18:2)+HCO2,661.4562,601.4304,279.2329,168.0431
SM(d10:0/18:3)+HCO2,659.4406,599.4148,277.2173,168.0431
SM(d10:0/18:4)+HCO2,657.4249,597.3991,275.2016,168.0431
SM(d10:0/19:0)+HCO2,679.5032,619.4774,297.2799,168.0431
SM(d10:0/20:0)+HCO2,693.5188,633.493,311.2955,168.0431
SM(d10:0/20:1)+HCO2,691.5032,631.4774,309.2799,168.0431
SM(d10:0/20:2)+HCO2,689.4875,629.4617,307.2642,168.0431
SM(d10:0/20:3)+HCO2,687.4719,627.4461,305.2486,168.0431
SM(d10:0/20:4)+HCO2,685.4562,625.4304,303.2329,168.0431
SM(d10:0/20:5)+HCO2,683.4406,623.4148,301.2173,168.0431
SM(d10:0/21:0)+HCO2,707.5345,647.5087,325.3112,168.0431
SM(d10:0/22:0)+HCO2,721.5501,661.5243,339.3268,168.0431
SM(d10:0/22:1)+HCO2,719.5345,659.5087,337.3112,168.0431
