SM,[M+HCO2]-,M-CH3,(P-Cho)-CH3-H
SM(16:0)+HCO2,497.2997,437.2739,168.0431
SM(18:0)+HCO2,525.331,465.3052,168.0431
SM(20:0)+HCO2,553.3623,493.3365,168.0431
SM(21:0)+HCO2,567.378,507.3522,168.0431
SM(22:0)+HCO2,581.3936,521.3678,168.0431
SM(22:1)+HCO2,579.378,519.3522,168.0431
SM(23:0)+HCO2,595.4093,535.3835,168.0431
SM(23:1)+HCO2,593.3936,533.3678,168.0431
SM(24:0)+HCO2,609.4249,549.3991,168.0431
SM(24:1)+HCO2,607.4093,547.3835,168.0431
SM(25:0)+HCO2,623.4406,563.4148,168.0431
SM(25:1)+HCO2,621.4249,561.3991,168.0431
SM(25:2)+HCO2,619.4093,559.3835,168.0431
SM(26:0)+HCO2,637.4562,577.4304,168.0431
SM(26:1)+HCO2,635.4406,575.4148,168.0431
SM(26:2)+HCO2,633.4249,573.3991,168.0431
SM(26:3)+HCO2,631.4093,571.3835,168.0431
SM(26:4)+HCO2,629.3936,569.3678,168.0431
SM(27:0)+HCO2,651.4719,591.4461,168.0431
SM(27:1)+HCO2,649.4562,589.4304,168.0431
SM(27:2)+HCO2,647.4406,587.4148,168.0431
SM(28:0)+HCO2,665.4875,605.4617,168.0431
SM(28:1)+HCO2,663.4719,603.4461,168.0431
SM(28:2)+HCO2,661.4562,601.4304,168.0431
SM(28:3)+HCO2,659.4406,599.4148,168.0431
SM(28:4)+HCO2,657.4249,597.3991,168.0431
SM(28:5)+HCO2,655.4093,595.3835,168.0431
SM(29:0)+HCO2,679.5032,619.4774,168.0431
SM(29:1)+HCO2,677.4875,617.4617,168.0431
SM(29:2)+HCO2,675.4719,615.4461,168.0431
SM(30:0)+HCO2,693.5188,633.493,168.0431
SM(30:1)+HCO2,691.5032,631.4774,168.0431
SM(30:2)+HCO2,689.4875,629.4617,168.0431
SM(30:3)+HCO2,687.4719,627.4461,168.0431
SM(30:4)+HCO2,685.4562,625.4304,168.0431
SM(30:5)+HCO2,683.4406,623.4148,168.0431
SM(30:6)+HCO2,681.4249,621.3991,168.0431
SM(31:0)+HCO2,707.5345,647.5087,168.0431
SM(31:1)+HCO2,705.5189,645.4931,168.0431
SM(31:2)+HCO2,703.5032,643.4774,168.0431
SM(31:3)+HCO2,701.4876,641.4618,168.0431
SM(31:4)+HCO2,699.4719,639.4461,168.0431
SM(32:0)+HCO2,721.5501,661.5243,168.0431
SM(32:1)+HCO2,719.5345,659.5087,168.0431
SM(32:2)+HCO2,717.5188,657.493,168.0431
SM(32:3)+HCO2,715.5032,655.4774,168.0431
SM(32:4)+HCO2,713.4875,653.4617,168.0431
SM(32:5)+HCO2,711.4719,651.4461,168.0431
