SQDG,[M-H]-,C6H9O7S
SQDG(24:0)-H,681.3884,225.0069
SQDG(25:0)-H,695.4041,225.0069
SQDG(25:1)-H,693.3884,225.0069
SQDG(26:0)-H,709.4197,225.0069
SQDG(26:1)-H,707.4041,225.0069
SQDG(27:0)-H,723.4353,225.0069
SQDG(27:1)-H,721.4197,225.0069
SQDG(28:0)-H,737.451,225.0069
SQDG(28:1)-H,735.4353,225.0069
SQDG(28:2)-H,733.4197,225.0069
SQDG(28:3)-H,731.4041,225.0069
SQDG(28:4)-H,729.3884,225.0069
SQDG(29:0)-H,751.4666,225.0069
SQDG(29:1)-H,749.451,225.0069
SQDG(29:2)-H,747.4353,225.0069
SQDG(30:0)-H,765.4823,225.0069
SQDG(30:1)-H,763.4666,225.0069
SQDG(30:2)-H,761.451,225.0069
SQDG(30:3)-H,759.4353,225.0069
SQDG(30:4)-H,757.4197,225.0069
SQDG(30:5)-H,755.4041,225.0069
SQDG(31:0)-H,779.4979,225.0069
SQDG(31:1)-H,777.4823,225.0069
SQDG(31:2)-H,775.4666,225.0069
SQDG(32:0)-H,793.5135,225.0069
SQDG(32:1)-H,791.4979,225.0069
SQDG(32:2)-H,789.4823,225.0069
SQDG(32:3)-H,787.4666,225.0069
SQDG(32:4)-H,785.451,225.0069
SQDG(32:5)-H,783.4353,225.0069
SQDG(33:0)-H,807.5292,225.0069
SQDG(33:1)-H,805.5135,225.0069
SQDG(33:2)-H,803.4979,225.0069
SQDG(34:0)-H,821.5449,225.0069
SQDG(34:1)-H,819.5292,225.0069
SQDG(34:2)-H,817.5135,225.0069
SQDG(34:3)-H,815.4979,225.0069
SQDG(34:4)-H,813.4823,225.0069
SQDG(34:5)-H,811.4666,225.0069
SQDG(34:6)-H,809.451,225.0069
SQDG(35:0)-H,835.5605,225.0069
SQDG(36:0)-H,849.5762,225.0069
SQDG(36:1)-H,847.5605,225.0069
SQDG(36:2)-H,845.5449,225.0069
SQDG(36:4)-H,841.5135,225.0069
SQDG(37:0)-H,863.5919,225.0069
SQDG(38:0)-H,877.6075,225.0069
SQDG(38:1)-H,875.5919,225.0069
SQDG(38:2)-H,873.5762,225.0069
SQDG(38:4)-H,869.5449,225.0069
SQDG(39:0)-H,891.6231,225.0069
SQDG(29:3)-H,745.4197,225.0069
SQDG(29:4)-H,743.4041,225.0069
SQDG(31:3)-H,773.451,225.0069
SQDG(31:4)-H,771.4353,225.0069
SQDG(31:5)-H,769.4197,225.0069
SQDG(33:3)-H,801.4823,225.0069
SQDG(33:4)-H,799.4666,225.0069
SQDG(33:5)-H,797.451,225.0069
SQDG(35:1)-H,833.5449,225.0069
SQDG(35:2)-H,831.5292,225.0069
SQDG(35:3)-H,829.5135,225.0069
SQDG(35:4)-H,827.4979,225.0069
SQDG(35:5)-H,825.4823,225.0069
SQDG(35:6)-H,823.4666,225.0069
SQDG(37:1)-H,861.5762,225.0069
SQDG(37:2)-H,859.5605,225.0069
SQDG(37:4)-H,855.5292,225.0069
SQDG(39:1)-H,889.6075,225.0069
SQDG(39:2)-H,887.5919,225.0069
SQDG(39:4)-H,883.5605,225.0069
SQDG(40:0)-H,905.6388,225.0069
SQDG(26:2)-H,705.3884,225.0069
SQDG(27:2)-H,719.4041,225.0069
SQDG(29:5)-H,741.3884,225.0069
SQDG(31:6)-H,767.4041,225.0069
SQDG(33:6)-H,795.4353,225.0069
SQDG(35:7)-H,821.451,225.0069
SQDG(37:3)-H,857.5449,225.0069
SQDG(37:5)-H,853.5135,225.0069
SQDG(39:3)-H,885.5762,225.0069
SQDG(39:5)-H,881.5449,225.0069
SQDG(40:1)-H,903.6231,225.0069
SQDG(36:3)-H,843.5292,225.0069
SQDG(36:5)-H,839.4979,225.0069
SQDG(36:6)-H,837.4823,225.0069
SQDG(40:2)-H,901.6075,225.0069
SQDG(40:4)-H,897.5762,225.0069
SQDG(41:0)-H,919.6544,225.0069
SQDG(32:6)-H,781.4197,225.0069
SQDG(36:7)-H,835.4666,225.0069
SQDG(38:3)-H,871.5605,225.0069
SQDG(38:5)-H,867.5292,225.0069
SQDG(40:3)-H,899.5919,225.0069
SQDG(40:5)-H,895.5605,225.0069
SQDG(41:1)-H,917.6388,225.0069
SQDG(37:6)-H,851.4979,225.0069
SQDG(41:2)-H,915.6231,225.0069
SQDG(41:4)-H,911.5919,225.0069
SQDG(42:0)-H,933.6701,225.0069
SQDG(37:7)-H,849.4823,225.0069
SQDG(41:3)-H,913.6075,225.0069
SQDG(41:5)-H,909.5762,225.0069
SQDG(42:1)-H,931.6544,225.0069
SQDG(38:6)-H,865.5135,225.0069
SQDG(42:2)-H,929.6388,225.0069
SQDG(42:4)-H,925.6075,225.0069
SQDG(43:0)-H,947.6857,225.0069
SQDG(38:7)-H,863.4979,225.0069
SQDG(42:3)-H,927.6231,225.0069
SQDG(42:5)-H,923.5919,225.0069
SQDG(43:1)-H,945.6701,225.0069
SQDG(34:7)-H,807.4353,225.0069
SQDG(38:8)-H,861.4823,225.0069
SQDG(40:6)-H,893.5449,225.0069
SQDG(42:6)-H,921.5762,225.0069
SQDG(43:2)-H,943.6544,225.0069
SQDG(32:7)-H,779.4041,225.0069
SQDG(34:8)-H,805.4197,225.0069
SQDG(36:8)-H,833.451,225.0069
SQDG(38:9)-H,859.4666,225.0069
SQDG(40:7)-H,891.5292,225.0069
SQDG(42:7)-H,919.5605,225.0069
SQDG(43:3)-H,941.6388,225.0069
SQDG(32:8)-H,777.3884,225.0069
SQDG(34:9)-H,803.4041,225.0069
SQDG(36:9)-H,831.4353,225.0069
SQDG(38:10)-H,857.451,225.0069
SQDG(40:8)-H,889.5135,225.0069
SQDG(42:8)-H,917.5449,225.0069
SQDG(43:4)-H,939.6231,225.0069
SQDG(39:6)-H,879.5292,225.0069
SQDG(44:0)-H,961.7014,225.0069
SQDG(39:7)-H,877.5135,225.0069
SQDG(43:5)-H,937.6075,225.0069
SQDG(44:1)-H,959.6857,225.0069
SQDG(39:8)-H,875.4979,225.0069
SQDG(41:6)-H,907.5605,225.0069
SQDG(43:6)-H,935.5919,225.0069
SQDG(44:2)-H,957.6701,225.0069
SQDG(44:4)-H,953.6388,225.0069
SQDG(45:0)-H,975.717,225.0069
SQDG(44:3)-H,955.6544,225.0069
SQDG(44:5)-H,951.6231,225.0069
SQDG(45:1)-H,973.7014,225.0069
SQDG(44:6)-H,949.6075,225.0069
SQDG(45:2)-H,971.6857,225.0069
SQDG(40:9)-H,887.4979,225.0069
SQDG(44:7)-H,947.5919,225.0069
SQDG(45:3)-H,969.6701,225.0069
SQDG(40:10)-H,885.4823,225.0069
SQDG(44:8)-H,945.5762,225.0069
SQDG(45:4)-H,967.6544,225.0069
SQDG(36:10)-H,829.4197,225.0069
SQDG(40:11)-H,883.4666,225.0069
SQDG(42:9)-H,915.5292,225.0069
SQDG(44:9)-H,943.5605,225.0069
SQDG(45:5)-H,965.6388,225.0069
SQDG(46:0)-H,989.7327,225.0069
SQDG(41:7)-H,905.5449,225.0069
SQDG(46:1)-H,987.717,225.0069
SQDG(41:8)-H,903.5292,225.0069
SQDG(45:6)-H,963.6231,225.0069
SQDG(46:2)-H,985.7014,225.0069
SQDG(46:4)-H,981.6701,225.0069
SQDG(47:0)-H,1003.748,225.0069
SQDG(46:3)-H,983.6857,225.0069
SQDG(46:5)-H,979.6544,225.0069
SQDG(47:1)-H,1001.733,225.0069
SQDG(46:6)-H,977.6388,225.0069
SQDG(47:2)-H,999.717,225.0069
SQDG(46:7)-H,975.6231,225.0069
SQDG(47:3)-H,997.7014,225.0069
SQDG(42:10)-H,913.5135,225.0069
SQDG(46:8)-H,973.6075,225.0069
SQDG(47:4)-H,995.6857,225.0069
SQDG(42:11)-H,911.4979,225.0069
SQDG(46:9)-H,971.5919,225.0069
SQDG(47:5)-H,993.6701,225.0069
SQDG(48:0)-H,1017.764,225.0069
SQDG(43:7)-H,933.5762,225.0069
SQDG(48:1)-H,1015.748,225.0069
SQDG(43:8)-H,931.5605,225.0069
SQDG(47:6)-H,991.6544,225.0069
SQDG(48:2)-H,1013.733,225.0069
SQDG(48:4)-H,1009.701,225.0069
SQDG(49:0)-H,1031.78,225.0069
