ether-OxPC,[M+HCO2]-,[M-CH3]-,NL of SN2+CH3+H2O,NL of SN2+CH3,HCO2 SN2,HCO2 SN2-H2O,HCO2 SN2-2H2O,C7H15NO5P
OxPC(16:0e/18:0(1O))+HCO2,822.6224,748.5856,466.3292,448.3186,299.2592,281.2486,0.01,224.0693
OxPC(16:0e/18:0(1O(1Cyc)))+HCO2,820.6068,746.57,466.3292,448.3186,297.2435,0.01,0.01,224.0693
OxPC(16:0e/18:0(2O))+HCO2,838.6173,764.5806,466.3292,448.3186,315.2541,297.2435,279.233,224.0693
OxPC(16:0e/18:1(1O))+HCO2,820.6068,746.57,466.3292,448.3186,297.2435,279.233,0.01,224.0693
OxPC(16:0e/18:1(1O(1Cyc)))+HCO2,818.5911,744.5543,466.3292,448.3186,295.2279,0.01,0.01,224.0693
OxPC(16:0e/18:1(2O))+HCO2,836.6017,762.5649,466.3292,448.3186,313.2384,295.2279,277.2173,224.0693
OxPC(16:0e/18:1(3O))+HCO2,852.5966,778.5598,466.3292,448.3186,329.2333,311.2228,293.2122,224.0693
OxPC(16:0e/18:2(1O))+HCO2,818.5911,744.5543,466.3292,448.3186,295.2279,277.2173,0.01,224.0693
OxPC(16:0e/18:2(2O))+HCO2,834.5861,760.5493,466.3292,448.3186,311.2228,293.2122,275.2017,224.0693
OxPC(16:0e/18:3(1O))+HCO2,816.5755,742.5387,466.3292,448.3186,293.2122,275.2017,0.01,224.0693
OxPC(16:0e/20:3(1O))+HCO2,844.6068,770.57,466.3292,448.3186,321.2435,303.233,0.01,224.0693
OxPC(16:0e/20:3(1O(1Cyc)))+HCO2,842.5911,768.5543,466.3292,448.3186,319.2279,0.01,0.01,224.0693
OxPC(16:0e/20:3(2O))+HCO2,860.6017,786.5649,466.3292,448.3186,337.2384,319.2279,301.2173,224.0693
OxPC(16:0e/20:3(2O(1Cyc)))+HCO2,858.5861,784.5493,466.3292,448.3186,335.2228,317.2122,0.01,224.0693
OxPC(16:0e/20:3(3O))+HCO2,876.5966,802.5598,466.3292,448.3186,353.2333,335.2228,317.2122,224.0693
OxPC(16:0e/20:3(4O(1Cyc)))+HCO2,892.5915,818.5547,466.3292,448.3186,369.2283,351.2177,333.2072,224.0693
OxPC(16:0e/20:4(1O))+HCO2,842.5911,768.5543,466.3292,448.3186,319.2279,301.2173,0.01,224.0693
OxPC(16:0e/20:4(1O(1Cyc)))+HCO2,840.5755,766.5387,466.3292,448.3186,317.2122,0.01,0.01,224.0693
OxPC(16:0e/20:4(2O))+HCO2,858.5861,784.5493,466.3292,448.3186,335.2228,317.2122,299.2017,224.0693
OxPC(16:0e/20:4(3O))+HCO2,874.5809,800.5442,466.3292,448.3186,351.2177,333.2072,315.1966,224.0693
OxPC(16:0e/20:4(3O(2Cyc)))+HCO2,874.5809,800.5442,466.3292,448.3186,351.2177,333.2072,0.01,224.0693
OxPC(16:0e/20:4(4O(1Cyc)))+HCO2,890.5759,816.5391,466.3292,448.3186,367.2126,349.2021,331.1915,224.0693
OxPC(16:0e/20:4(4O(2Cyc)))+HCO2,890.5759,816.5391,466.3292,448.3186,367.2126,349.2021,331.1915,224.0693
OxPC(16:0e/20:5(1O))+HCO2,840.5755,766.5387,466.3292,448.3186,317.2122,299.2017,0.01,224.0693
OxPC(16:0e/20:5(1O(1Cyc)))+HCO2,838.5598,764.523,466.3292,448.3186,315.1966,0.01,0.01,224.0693
OxPC(16:0e/20:5(2O))+HCO2,856.5704,782.5336,466.3292,448.3186,333.2071,315.1966,297.186,224.0693
OxPC(16:0e/20:5(3O))+HCO2,872.5653,798.5285,466.3292,448.3186,349.2021,331.1915,313.1809,224.0693
OxPC(16:0e/20:5(3O(2Cyc)))+HCO2,872.5653,798.5285,466.3292,448.3186,349.2021,331.1915,0.01,224.0693
OxPC(16:0e/20:5(4O(2Cyc)))+HCO2,888.5602,814.5234,466.3292,448.3186,365.197,347.1864,329.1758,224.0693
OxPC(16:0e/22:5(1O(1Cyc)))+HCO2,866.5911,792.5543,466.3292,448.3186,343.2279,0.01,0.01,224.0693
OxPC(16:0e/22:5(2O))+HCO2,884.6017,810.5649,466.3292,448.3186,361.2384,343.2279,325.2173,224.0693
OxPC(16:0e/22:6(1O))+HCO2,866.5911,792.5543,466.3292,448.3186,343.2279,325.2173,0.01,224.0693
OxPC(16:0e/22:6(2O))+HCO2,882.5861,808.5493,466.3292,448.3186,359.2228,341.2122,323.2017,224.0693
OxPC(16:0e/22:6(3O))+HCO2,898.5809,824.5442,466.3292,448.3186,375.2177,357.2072,339.1966,224.0693
OxPC(16:0e/22:6(4O))+HCO2,914.5759,840.5391,466.3292,448.3186,391.2126,373.2021,355.1915,224.0693
OxPC(18:0e/18:0(1O))+HCO2,850.6537,776.6169,494.3605,476.3499,299.2592,281.2486,0.01,224.0693
OxPC(18:0e/18:0(1O(1Cyc)))+HCO2,848.6381,774.6013,494.3605,476.3499,297.2435,0.01,0.01,224.0693
OxPC(18:0e/18:0(2O))+HCO2,866.6486,792.6119,494.3605,476.3499,315.2541,297.2435,279.233,224.0693
OxPC(18:0e/18:1(1O))+HCO2,848.6381,774.6013,494.3605,476.3499,297.2435,279.233,0.01,224.0693
OxPC(18:0e/18:1(1O(1Cyc)))+HCO2,846.6224,772.5856,494.3605,476.3499,295.2279,0.01,0.01,224.0693
OxPC(18:0e/18:1(2O))+HCO2,864.633,790.5962,494.3605,476.3499,313.2384,295.2279,277.2173,224.0693
OxPC(18:0e/18:1(3O))+HCO2,880.6279,806.5911,494.3605,476.3499,329.2333,311.2228,293.2122,224.0693
OxPC(18:0e/18:2(1O))+HCO2,846.6224,772.5856,494.3605,476.3499,295.2279,277.2173,0.01,224.0693
OxPC(18:0e/18:2(2O))+HCO2,862.6173,788.5806,494.3605,476.3499,311.2228,293.2122,275.2017,224.0693
OxPC(18:0e/18:3(1O))+HCO2,844.6068,770.57,494.3605,476.3499,293.2122,275.2017,0.01,224.0693
OxPC(18:0e/20:3(1O))+HCO2,872.6381,798.6013,494.3605,476.3499,321.2435,303.233,0.01,224.0693
OxPC(18:0e/20:3(1O(1Cyc)))+HCO2,870.6224,796.5856,494.3605,476.3499,319.2279,0.01,0.01,224.0693
OxPC(18:0e/20:3(2O))+HCO2,888.633,814.5962,494.3605,476.3499,337.2384,319.2279,301.2173,224.0693
OxPC(18:0e/20:3(2O(1Cyc)))+HCO2,886.6173,812.5806,494.3605,476.3499,335.2228,317.2122,0.01,224.0693
OxPC(18:0e/20:3(3O))+HCO2,904.6279,830.5911,494.3605,476.3499,353.2333,335.2228,317.2122,224.0693
OxPC(18:0e/20:3(4O(1Cyc)))+HCO2,920.6228,846.5861,494.3605,476.3499,369.2283,351.2177,333.2072,224.0693
OxPC(18:0e/20:4(1O))+HCO2,870.6224,796.5856,494.3605,476.3499,319.2279,301.2173,0.01,224.0693
OxPC(18:0e/20:4(1O(1Cyc)))+HCO2,868.6068,794.57,494.3605,476.3499,317.2122,0.01,0.01,224.0693
OxPC(18:0e/20:4(2O))+HCO2,886.6173,812.5806,494.3605,476.3499,335.2228,317.2122,299.2017,224.0693
OxPC(18:0e/20:4(3O))+HCO2,902.6122,828.5754,494.3605,476.3499,351.2177,333.2072,315.1966,224.0693
OxPC(18:0e/20:4(3O(2Cyc)))+HCO2,902.6122,828.5754,494.3605,476.3499,351.2177,333.2072,0.01,224.0693
OxPC(18:0e/20:4(4O(1Cyc)))+HCO2,918.6072,844.5704,494.3605,476.3499,367.2126,349.2021,331.1915,224.0693
OxPC(18:0e/20:4(4O(2Cyc)))+HCO2,918.6072,844.5704,494.3605,476.3499,367.2126,349.2021,331.1915,224.0693
