CE,[M+NH4]+,Cholesterol,Exper_CholFrag1,CholFrag2,CholFrag3,C13H19,C12H17,C11H15,C10H15
CE(8:0)+NH4,530.493105,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
CE(10:0)+NH4,558.524405,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
CE(12:0)+NH4,586.555705,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
CE(13:0)+NH4,600.571355,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
CE(14:0)+NH4,614.587005,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
CE(14:1)+NH4,612.571355,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
CE(15:0)+NH4,628.602655,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
CE(15:1)+NH4,626.587005,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
CE(16:0)+NH4,642.618305,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
CE(16:1)+NH4,640.602655,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
CE(17:0)+NH4,656.633955,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
CE(17:1)+NH4,654.618305,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
CE(17:2)+NH4,652.602655,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
CE(18:0)+NH4,670.649605,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
CE(18:1)+NH4,668.633955,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
CE(18:2)+NH4,666.618305,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
CE(18:3)+NH4,664.602655,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
CE(18:4)+NH4,662.587005,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
CE(19:0)+NH4,684.665255,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
CE(20:0)+NH4,698.680905,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
CE(20:1)+NH4,696.665255,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
CE(20:2)+NH4,694.649605,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
CE(20:3)+NH4,692.633955,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
CE(20:4)+NH4,690.618305,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
CE(20:5)+NH4,688.602655,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
CE(21:0)+NH4,712.696555,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
CE(22:0)+NH4,726.712205,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
CE(22:1)+NH4,724.696555,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
CE(22:2)+NH4,722.680905,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
CE(22:3)+NH4,720.665255,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
CE(22:4)+NH4,718.649605,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
CE(22:5)+NH4,716.633955,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
CE(22:6)+NH4,714.618305,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
CE(23:0)+NH4,740.727855,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
CE(24:0)+NH4,754.743505,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
CE(24:1)+NH4,752.727855,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
CE(25:0)+NH4,768.759155,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
CE(26:0)+NH4,782.774805,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
SPLASH_CE(18:1(d7))+NH4,675.677845,369.3511,313.2885,287.2728,243.2103,175.1487,161.133,147.1174,135.1174
