CL,[M-2H+3Na]+,SN1 acyl loss,SN2 acyl loss,SN3 acyl loss,SN4 acyl loss
CL(14:0_14:0_14:0_14:0)-2H+3Na,1307.800696,1079.591896,1079.591896,1079.591896,1079.591896
CL(14:0_14:0_14:0_16:0)-2H+3Na,1335.831996,1107.623196,1107.623196,1107.623196,1079.591916
CL(14:0_14:0_14:0_16:1)-2H+3Na,1333.816346,1105.607546,1105.607546,1105.607546,1079.591906
CL(14:0_14:0_14:0_18:0)-2H+3Na,1363.863296,1135.654496,1135.654496,1135.654496,1079.591936
CL(14:0_14:0_14:0_18:1)-2H+3Na,1361.847646,1133.638846,1133.638846,1133.638846,1079.591926
CL(14:0_14:0_14:0_18:2)-2H+3Na,1359.831996,1131.623196,1131.623196,1131.623196,1079.591916
CL(14:0_14:0_14:0_18:3)-2H+3Na,1357.816346,1129.607546,1129.607546,1129.607546,1079.591906
CL(14:0_14:0_14:0_20:0)-2H+3Na,1391.894596,1163.685796,1163.685796,1163.685796,1079.591956
CL(14:0_14:0_14:0_20:1)-2H+3Na,1389.878946,1161.670146,1161.670146,1161.670146,1079.591946
CL(14:0_14:0_14:0_20:2)-2H+3Na,1387.863296,1159.654496,1159.654496,1159.654496,1079.591936
CL(14:0_14:0_14:0_20:3)-2H+3Na,1385.847646,1157.638846,1157.638846,1157.638846,1079.591926
CL(14:0_14:0_14:0_20:4)-2H+3Na,1383.831996,1155.623196,1155.623196,1155.623196,1079.591916
CL(14:0_14:0_14:0_22:0)-2H+3Na,1419.925896,1191.717096,1191.717096,1191.717096,1079.591976
CL(14:0_14:0_14:0_22:5)-2H+3Na,1409.847646,1181.638846,1181.638846,1181.638846,1079.591926
CL(14:0_14:0_14:0_22:6)-2H+3Na,1407.831996,1179.623196,1179.623196,1179.623196,1079.591916
CL(14:0_14:0_16:0_16:0)-2H+3Na,1363.863296,1135.654496,1135.654496,1107.623216,1107.623216
CL(14:0_14:0_16:0_16:1)-2H+3Na,1361.847646,1133.638846,1133.638846,1105.607566,1107.623206
CL(14:0_14:0_16:0_18:0)-2H+3Na,1391.894596,1163.685796,1163.685796,1135.654516,1107.623236
