Cer-ADS,[M+C2H3O2]-,[M-H]-,[M-O-H]-,[M-CO-H]-,[M-CO-O-H]-,[Sph-H]-,[Sph+C=O-3H]-,[Sph-O-H]-,[Sph+C=O-O-3H]-,[Sph-CO-H]-,[FA-3H]-,[Sph-NCCO-3H]-,[FA-CO-3H]-
Cer-ADS(d14:0/12:0)+C2H3O2,502.4108,442.3896,424.3791,410.3634,394.3685,244.2282,240.1964,226.2176,222.1858,212.202,197.1547,183.1754,169.1598
Cer-ADS(d14:0/12:1)+C2H3O2,500.3951,440.374,422.3634,408.3478,392.3528,244.2282,238.1807,226.2176,220.1702,212.202,195.1391,183.1754,167.1441
Cer-ADS(d14:0/13:0)+C2H3O2,516.4264,456.4053,438.3947,424.3791,408.3842,244.2282,254.212,226.2176,236.2014,212.202,211.1704,183.1754,183.1754
Cer-ADS(d14:0/13:1)+C2H3O2,514.4108,454.3896,436.3791,422.3634,406.3685,244.2282,252.1964,226.2176,234.1858,212.202,209.1547,183.1754,181.1598
Cer-ADS(d14:0/14:0)+C2H3O2,530.4421,470.4209,452.4104,438.3947,422.3998,244.2282,268.2277,226.2176,250.2171,212.202,225.186,183.1754,197.1911
Cer-ADS(d14:0/14:1)+C2H3O2,528.4264,468.4053,450.3947,436.3791,420.3842,244.2282,266.212,226.2176,248.2014,212.202,223.1704,183.1754,195.1754
Cer-ADS(d14:0/15:0)+C2H3O2,544.4577,484.4366,466.426,452.4104,436.4154,244.2282,282.2433,226.2176,264.2328,212.202,239.2017,183.1754,211.2067
Cer-ADS(d14:0/15:1)+C2H3O2,542.4421,482.4209,464.4104,450.3947,434.3998,244.2282,280.2277,226.2176,262.2171,212.202,237.186,183.1754,209.1911
Cer-ADS(d14:0/16:0)+C2H3O2,558.4734,498.4522,480.4417,466.426,450.4311,244.2282,296.259,226.2176,278.2484,212.202,253.2173,183.1754,225.2224
Cer-ADS(d14:0/16:1)+C2H3O2,556.4577,496.4366,478.426,464.4104,448.4154,244.2282,294.2433,226.2176,276.2328,212.202,251.2017,183.1754,223.2067
Cer-ADS(d14:0/16:2)+C2H3O2,554.4421,494.4209,476.4104,462.3947,446.3998,244.2282,292.2277,226.2176,274.2171,212.202,249.186,183.1754,221.1911
Cer-ADS(d14:0/17:0)+C2H3O2,572.489,512.4679,494.4573,480.4417,464.4467,244.2282,310.2746,226.2176,292.264,212.202,267.233,183.1754,239.238
Cer-ADS(d14:0/18:0)+C2H3O2,586.5047,526.4835,508.473,494.4573,478.4624,244.2282,324.2903,226.2176,306.2797,212.202,281.2486,183.1754,253.2537
Cer-ADS(d14:0/18:1)+C2H3O2,584.489,524.4679,506.4573,492.4417,476.4467,244.2282,322.2746,226.2176,304.264,212.202,279.233,183.1754,251.238
Cer-ADS(d14:0/18:2)+C2H3O2,582.4734,522.4523,504.4417,490.426,474.4311,244.2282,320.259,226.2176,302.2484,212.202,277.2173,183.1754,249.2224
Cer-ADS(d14:0/19:0)+C2H3O2,600.5203,540.4992,522.4886,508.473,492.4781,244.2282,338.3059,226.2176,320.2953,212.202,295.2643,183.1754,267.2693
Cer-ADS(d14:0/19:1)+C2H3O2,598.5047,538.4835,520.473,506.4573,490.4624,244.2282,336.2903,226.2176,318.2797,212.202,293.2486,183.1754,265.2537
Cer-ADS(d14:0/20:0)+C2H3O2,614.5359,554.5148,536.5043,522.4886,506.4937,244.2282,352.3216,226.2176,334.311,212.202,309.2799,183.1754,281.285
Cer-ADS(d14:0/20:1)+C2H3O2,612.5203,552.4992,534.4886,520.473,504.4781,244.2282,350.3059,226.2176,332.2953,212.202,307.2643,183.1754,279.2693
Cer-ADS(d14:0/20:2)+C2H3O2,610.5047,550.4835,532.473,518.4573,502.4624,244.2282,348.2903,226.2176,330.2797,212.202,305.2486,183.1754,277.2537
Cer-ADS(d14:0/21:0)+C2H3O2,628.5516,568.5305,550.5199,536.5043,520.5093,244.2282,366.3372,226.2176,348.3267,212.202,323.2956,183.1754,295.3006
Cer-ADS(d14:0/21:1)+C2H3O2,626.5359,566.5148,548.5043,534.4886,518.4937,244.2282,364.3216,226.2176,346.311,212.202,321.2799,183.1754,293.285
Cer-ADS(d14:0/22:0)+C2H3O2,642.5673,582.5461,564.5356,550.5199,534.525,244.2282,380.3529,226.2176,362.3423,212.202,337.3112,183.1754,309.3163
Cer-ADS(d14:0/22:1)+C2H3O2,640.5516,580.5305,562.5199,548.5043,532.5093,244.2282,378.3372,226.2176,360.3267,212.202,335.2956,183.1754,307.3006
Cer-ADS(d14:0/22:2)+C2H3O2,638.5359,578.5148,560.5043,546.4886,530.4937,244.2282,376.3216,226.2176,358.311,212.202,333.2799,183.1754,305.285
Cer-ADS(d14:0/23:0)+C2H3O2,656.5829,596.5618,578.5512,564.5356,548.5406,244.2282,394.3685,226.2176,376.3579,212.202,351.3269,183.1754,323.3319
Cer-ADS(d14:0/23:1)+C2H3O2,654.5673,594.5461,576.5356,562.5199,546.525,244.2282,392.3529,226.2176,374.3423,212.202,349.3112,183.1754,321.3163
Cer-ADS(d14:0/24:0)+C2H3O2,670.5986,610.5775,592.5669,578.5512,562.5563,244.2282,408.3842,226.2176,390.3736,212.202,365.3425,183.1754,337.3476
Cer-ADS(d14:0/24:1)+C2H3O2,668.5829,608.5618,590.5512,576.5356,560.5406,244.2282,406.3685,226.2176,388.3579,212.202,363.3269,183.1754,335.3319
Cer-ADS(d14:0/24:2)+C2H3O2,666.5673,606.5461,588.5356,574.5199,558.525,244.2282,404.3529,226.2176,386.3423,212.202,361.3112,183.1754,333.3163
Cer-ADS(d14:0/25:0)+C2H3O2,684.6142,624.5931,606.5825,592.5669,576.572,244.2282,422.3998,226.2176,404.3893,212.202,379.3582,183.1754,351.3633
Cer-ADS(d14:0/25:1)+C2H3O2,682.5986,622.5775,604.5669,590.5512,574.5563,244.2282,420.3842,226.2176,402.3736,212.202,377.3425,183.1754,349.3476
Cer-ADS(d14:0/26:0)+C2H3O2,698.6299,638.6088,620.5981,606.5825,590.5876,244.2282,436.4155,226.2176,418.4049,212.202,393.3738,183.1754,365.3789
Cer-ADS(d14:0/26:1)+C2H3O2,696.6142,636.5931,618.5825,604.5669,588.572,244.2282,434.3998,226.2176,416.3893,212.202,391.3582,183.1754,363.3633
Cer-ADS(d14:0/26:2)+C2H3O2,694.5986,634.5775,616.5669,602.5512,586.5563,244.2282,432.3842,226.2176,414.3736,212.202,389.3425,183.1754,361.3476
