Cer-AP,[M+HCO2]-,[M-H]-,[FA+NC(C)CO-H]-,[FA+O-H]-,[FA-CO-3H]-,[Sph-NC(CO)CO-H]-
Cer-AP(t14:0/12:0)+HCO2,504.39,458.3846,270.2064,215.1653,169.1598,169.1587
Cer-AP(t14:0/12:1)+HCO2,502.3744,456.3689,268.1907,213.1496,167.1441,169.1587
Cer-AP(t14:0/13:0)+HCO2,518.4057,472.4002,284.222,229.1809,183.1754,169.1587
Cer-AP(t14:0/13:1)+HCO2,516.39,470.3846,282.2064,227.1653,181.1598,169.1587
Cer-AP(t14:0/14:0)+HCO2,532.4213,486.4159,298.2377,243.1966,197.1911,169.1587
Cer-AP(t14:0/14:1)+HCO2,530.4057,484.4002,296.222,241.1809,195.1754,169.1587
Cer-AP(t14:0/15:0)+HCO2,546.437,500.4315,312.2533,257.2122,211.2067,169.1587
Cer-AP(t14:0/15:1)+HCO2,544.4213,498.4159,310.2377,255.1966,209.1911,169.1587
Cer-AP(t14:0/16:0)+HCO2,560.4526,514.4471,326.269,271.2279,225.2224,169.1587
Cer-AP(t14:0/16:1)+HCO2,558.437,512.4315,324.2533,269.2122,223.2067,169.1587
Cer-AP(t14:0/16:2)+HCO2,556.4213,510.4159,322.2377,267.1966,221.1911,169.1587
Cer-AP(t14:0/17:0)+HCO2,574.4683,528.4628,340.2846,285.2435,239.238,169.1587
Cer-AP(t14:0/18:0)+HCO2,588.4839,542.4785,354.3003,299.2592,253.2537,169.1587
Cer-AP(t14:0/18:1)+HCO2,586.4683,540.4628,352.2846,297.2435,251.238,169.1587
Cer-AP(t14:0/18:2)+HCO2,584.4526,538.4471,350.269,295.2279,249.2224,169.1587
Cer-AP(t14:0/19:0)+HCO2,602.4996,556.4941,368.3159,313.2748,267.2693,169.1587
Cer-AP(t14:0/19:1)+HCO2,600.4839,554.4785,366.3003,311.2592,265.2537,169.1587
Cer-AP(t14:0/20:0)+HCO2,616.5153,570.5098,382.3316,327.2905,281.285,169.1587
Cer-AP(t14:0/20:1)+HCO2,614.4996,568.4941,380.3159,325.2748,279.2693,169.1587
Cer-AP(t14:0/20:2)+HCO2,612.4839,566.4785,378.3003,323.2592,277.2537,169.1587
Cer-AP(t14:0/21:0)+HCO2,630.5309,584.5254,396.3472,341.3061,295.3006,169.1587
Cer-AP(t14:0/21:1)+HCO2,628.5153,582.5098,394.3316,339.2905,293.285,169.1587
Cer-AP(t14:0/22:0)+HCO2,644.5465,598.5411,410.3629,355.3218,309.3163,169.1587
Cer-AP(t14:0/22:1)+HCO2,642.5309,596.5254,408.3472,353.3061,307.3006,169.1587
Cer-AP(t14:0/22:2)+HCO2,640.5153,594.5098,406.3316,351.2905,305.285,169.1587
Cer-AP(t14:0/23:0)+HCO2,658.5622,612.5567,424.3785,369.3374,323.3319,169.1587
Cer-AP(t14:0/23:1)+HCO2,656.5465,610.5411,422.3629,367.3218,321.3163,169.1587
Cer-AP(t14:0/24:0)+HCO2,672.5778,626.5723,438.3942,383.3531,337.3476,169.1587
Cer-AP(t14:0/24:1)+HCO2,670.5622,624.5567,436.3785,381.3374,335.3319,169.1587
Cer-AP(t14:0/24:2)+HCO2,668.5465,622.5411,434.3629,379.3218,333.3163,169.1587
Cer-AP(t14:0/25:0)+HCO2,686.5935,640.588,452.4099,397.3687,351.3633,169.1587
Cer-AP(t14:0/25:1)+HCO2,684.5778,638.5723,450.3942,395.3531,349.3476,169.1587
Cer-AP(t14:0/26:0)+HCO2,700.6091,654.6036,466.4255,411.3844,365.3789,169.1587
Cer-AP(t14:0/26:1)+HCO2,698.5935,652.588,464.4099,409.3687,363.3633,169.1587
Cer-AP(t14:0/26:2)+HCO2,696.5778,650.5723,462.3942,407.3531,361.3476,169.1587
Cer-AP(t14:0/27:0)+HCO2,714.6248,668.6193,480.4411,425.4,379.3945,169.1587
Cer-AP(t14:0/27:1)+HCO2,712.6091,666.6036,478.4255,423.3844,377.3789,169.1587
Cer-AP(t14:0/28:0)+HCO2,728.6404,682.6349,494.4568,439.4157,393.4102,169.1587
Cer-AP(t14:0/28:1)+HCO2,726.6248,680.6193,492.4411,437.4,391.3945,169.1587
Cer-AP(t14:0/28:2)+HCO2,724.6091,678.6036,490.4255,435.3844,389.3789,169.1587
Cer-AP(t14:0/29:0)+HCO2,742.6561,696.6506,508.4724,453.4313,407.4258,169.1587
Cer-AP(t14:0/29:1)+HCO2,740.6404,694.6349,506.4568,451.4157,405.4102,169.1587
Cer-AP(t14:0/30:0)+HCO2,756.6718,710.6663,522.4881,467.447,421.4415,169.1587
Cer-AP(t14:0/30:1)+HCO2,754.6561,708.6506,520.4724,465.4313,419.4258,169.1587
Cer-AP(t14:0/30:2)+HCO2,752.6404,706.6349,518.4568,463.4157,417.4102,169.1587
Cer-AP(t14:0/31:0)+HCO2,770.6874,724.6819,536.5037,481.4626,435.4572,169.1587
Cer-AP(t14:0/31:1)+HCO2,768.6718,722.6663,534.4881,479.447,433.4415,169.1587
