Cer-EODS,[M+C2H3O2]-,[M-H]-,NL of EFA,[FAA+C2H2-H]-,[EFA-H]-,[FAA-H]-,[Sph-C2H8NO]-
Cer-EODS(d14:0/12:0-O-14:0)+C2H3O2,712.6091,652.588,442.3896,240.1969,227.2017,214.1813,183.1754
Cer-EODS(d14:0/12:1-O-14:0)+C2H3O2,710.5935,650.5723,440.374,238.1813,227.2017,212.1656,183.1754
Cer-EODS(d14:0/13:0-O-14:0)+C2H3O2,726.6248,666.6036,456.4053,254.2126,227.2017,228.1969,183.1754
Cer-EODS(d14:0/13:1-O-14:0)+C2H3O2,724.6091,664.588,454.3896,252.1969,227.2017,226.1813,183.1754
Cer-EODS(d14:0/14:0-O-14:0)+C2H3O2,740.6404,680.6193,470.4209,268.2282,227.2017,242.2126,183.1754
Cer-EODS(d14:0/14:1-O-14:0)+C2H3O2,738.6248,678.6036,468.4053,266.2126,227.2017,240.1969,183.1754
Cer-EODS(d14:0/15:0-O-14:0)+C2H3O2,754.6561,694.6349,484.4366,282.2439,227.2017,256.2282,183.1754
Cer-EODS(d14:0/15:1-O-14:0)+C2H3O2,752.6404,692.6193,482.4209,280.2282,227.2017,254.2126,183.1754
Cer-EODS(d14:0/16:0-O-14:0)+C2H3O2,768.6718,708.6506,498.4522,296.2595,227.2017,270.2439,183.1754
Cer-EODS(d14:0/16:1-O-14:0)+C2H3O2,766.6561,706.6349,496.4366,294.2439,227.2017,268.2282,183.1754
Cer-EODS(d14:0/16:2-O-14:0)+C2H3O2,764.6404,704.6193,494.4209,292.2282,227.2017,266.2126,183.1754
Cer-EODS(d14:0/17:0-O-14:0)+C2H3O2,782.6874,722.6663,512.4679,310.2751,227.2017,284.2595,183.1754
Cer-EODS(d14:0/18:0-O-14:0)+C2H3O2,796.7031,736.6819,526.4835,324.2908,227.2017,298.2751,183.1754
Cer-EODS(d14:0/18:1-O-14:0)+C2H3O2,794.6874,734.6663,524.4679,322.2751,227.2017,296.2595,183.1754
Cer-EODS(d14:0/18:2-O-14:0)+C2H3O2,792.6718,732.6506,522.4522,320.2595,227.2017,294.2439,183.1754
Cer-EODS(d14:0/19:0-O-14:0)+C2H3O2,810.7187,750.6976,540.4992,338.3065,227.2017,312.2908,183.1754
Cer-EODS(d14:0/19:1-O-14:0)+C2H3O2,808.7031,748.6819,538.4835,336.2908,227.2017,310.2751,183.1754
Cer-EODS(d14:0/20:0-O-14:0)+C2H3O2,824.7343,764.7132,554.5148,352.3221,227.2017,326.3065,183.1754
Cer-EODS(d14:0/20:1-O-14:0)+C2H3O2,822.7187,762.6976,552.4992,350.3065,227.2017,324.2908,183.1754
Cer-EODS(d14:0/20:2-O-14:0)+C2H3O2,820.7031,760.6819,550.4835,348.2908,227.2017,322.2751,183.1754
Cer-EODS(d14:0/21:0-O-14:0)+C2H3O2,838.75,778.7289,568.5305,366.3378,227.2017,340.3221,183.1754
Cer-EODS(d14:0/21:1-O-14:0)+C2H3O2,836.7343,776.7132,566.5148,364.3221,227.2017,338.3065,183.1754
Cer-EODS(d14:0/22:0-O-14:0)+C2H3O2,852.7656,792.7445,582.5461,380.3534,227.2017,354.3378,183.1754
Cer-EODS(d14:0/22:1-O-14:0)+C2H3O2,850.75,790.7289,580.5305,378.3378,227.2017,352.3221,183.1754
Cer-EODS(d14:0/22:2-O-14:0)+C2H3O2,848.7343,788.7132,578.5148,376.3221,227.2017,350.3065,183.1754
Cer-EODS(d14:0/23:0-O-14:0)+C2H3O2,866.7813,806.7601,596.5618,394.369,227.2017,368.3534,183.1754
Cer-EODS(d14:0/23:1-O-14:0)+C2H3O2,864.7656,804.7445,594.5461,392.3534,227.2017,366.3378,183.1754
Cer-EODS(d14:0/24:0-O-14:0)+C2H3O2,880.7969,820.7758,610.5775,408.3847,227.2017,382.369,183.1754
Cer-EODS(d14:0/24:1-O-14:0)+C2H3O2,878.7813,818.7601,608.5618,406.369,227.2017,380.3534,183.1754
Cer-EODS(d14:0/24:2-O-14:0)+C2H3O2,876.7656,816.7445,606.5461,404.3534,227.2017,378.3378,183.1754
Cer-EODS(d14:0/25:0-O-14:0)+C2H3O2,894.8126,834.7914,624.5931,422.4004,227.2017,396.3847,183.1754
Cer-EODS(d14:0/25:1-O-14:0)+C2H3O2,892.7969,832.7758,622.5775,420.3847,227.2017,394.369,183.1754
Cer-EODS(d14:0/26:0-O-14:0)+C2H3O2,908.8282,848.8071,638.6088,436.416,227.2017,410.4004,183.1754
