Cer-NS,[M+HCO2]-,[M-H]-,[M-CO-H]-,[M-CO-3H]-,[M-CO-O-3H]-,[FA+NCCO-3H]-,[FA+NCCO-O-3H]-,[Sph-N-O-5H]-,[FA+N-H]-,[Sph-NCC-3H]-,[FA-3H]-
Cer-NS(d14:1/12:0)+HCO2,470.3846,424.3791,394.3685,392.3528,376.3579,240.1964,224.2014,207.1754,198.1863,181.1598,181.1598
Cer-NS(d14:1/12:1)+HCO2,468.3689,422.3634,392.3528,390.3372,374.3423,238.1807,222.1858,207.1754,196.1707,181.1598,179.1441
Cer-NS(d14:1/13:0)+HCO2,484.4002,438.3947,408.3842,406.3685,390.3736,254.212,238.2171,207.1754,212.202,181.1598,195.1754
Cer-NS(d14:1/13:1)+HCO2,482.3846,436.3791,406.3685,404.3528,388.3579,252.1964,236.2014,207.1754,210.1863,181.1598,193.1598
Cer-NS(d14:1/14:0)+HCO2,498.4159,452.4104,422.3998,420.3842,404.3892,268.2277,252.2328,207.1754,226.2176,181.1598,209.1911
Cer-NS(d14:1/14:1)+HCO2,496.4002,450.3947,420.3842,418.3685,402.3736,266.212,250.2171,207.1754,224.202,181.1598,207.1754
Cer-NS(d14:1/15:0)+HCO2,512.4315,466.426,436.4154,434.3998,418.4049,282.2433,266.2484,207.1754,240.2333,181.1598,223.2067
Cer-NS(d14:1/15:1)+HCO2,510.4159,464.4104,434.3998,432.3842,416.3892,280.2277,264.2328,207.1754,238.2176,181.1598,221.1911
Cer-NS(d14:1/16:0)+HCO2,526.4471,480.4417,450.4311,448.4154,432.4205,296.259,280.264,207.1754,254.2489,181.1598,237.2224
Cer-NS(d14:1/16:1)+HCO2,524.4315,478.426,448.4154,446.3998,430.4049,294.2433,278.2484,207.1754,252.2333,181.1598,235.2067
Cer-NS(d14:1/16:2)+HCO2,522.4158,476.4104,446.3998,444.3842,428.3892,292.2277,276.2328,207.1754,250.2176,181.1598,233.1911
Cer-NS(d14:1/17:0)+HCO2,540.4628,494.4573,464.4467,462.4311,446.4362,310.2746,294.2797,207.1754,268.2646,181.1598,251.238
Cer-NS(d14:1/18:0)+HCO2,554.4785,508.473,478.4624,476.4467,460.4518,324.2903,308.2953,207.1754,282.2802,181.1598,265.2537
Cer-NS(d14:1/18:1)+HCO2,552.4628,506.4573,476.4467,474.4311,458.4362,322.2746,306.2797,207.1754,280.2646,181.1598,263.238
Cer-NS(d14:1/18:2)+HCO2,550.4471,504.4417,474.4311,472.4154,456.4205,320.259,304.264,207.1754,278.2489,181.1598,261.2224
Cer-NS(d14:1/19:0)+HCO2,568.4941,522.4886,492.4781,490.4624,474.4675,338.3059,322.311,207.1754,296.2959,181.1598,279.2693
Cer-NS(d14:1/19:1)+HCO2,566.4785,520.473,490.4624,488.4467,472.4518,336.2903,320.2953,207.1754,294.2802,181.1598,277.2537
Cer-NS(d14:1/20:0)+HCO2,582.5098,536.5043,506.4937,504.4781,488.4832,352.3216,336.3267,207.1754,310.3116,181.1598,293.285
Cer-NS(d14:1/20:1)+HCO2,580.4941,534.4886,504.4781,502.4624,486.4675,350.3059,334.311,207.1754,308.2959,181.1598,291.2693
Cer-NS(d14:1/20:2)+HCO2,578.4785,532.473,502.4624,500.4467,484.4518,348.2903,332.2953,207.1754,306.2802,181.1598,289.2537
Cer-NS(d14:1/21:0)+HCO2,596.5254,550.52,520.5093,518.4937,502.4988,366.3372,350.3423,207.1754,324.3272,181.1598,307.3006
Cer-NS(d14:1/21:1)+HCO2,594.5098,548.5043,518.4937,516.4781,500.4832,364.3216,348.3267,207.1754,322.3116,181.1598,305.285
Cer-NS(d14:1/22:0)+HCO2,610.5411,564.5356,534.525,532.5093,516.5145,380.3529,364.3579,207.1754,338.3428,181.1598,321.3163
Cer-NS(d14:1/22:1)+HCO2,608.5254,562.52,532.5093,530.4937,514.4988,378.3372,362.3423,207.1754,336.3272,181.1598,319.3006
Cer-NS(d14:1/22:2)+HCO2,606.5098,560.5043,530.4937,528.4781,512.4832,376.3216,360.3267,207.1754,334.3116,181.1598,317.285
Cer-NS(d14:1/23:0)+HCO2,624.5567,578.5512,548.5406,546.525,530.5301,394.3685,378.3736,207.1754,352.3585,181.1598,335.3319
Cer-NS(d14:1/23:1)+HCO2,622.5411,576.5356,546.525,544.5093,528.5145,392.3529,376.3579,207.1754,350.3428,181.1598,333.3163
Cer-NS(d14:1/24:0)+HCO2,638.5723,592.5669,562.5563,560.5406,544.5457,408.3842,392.3893,207.1754,366.3741,181.1598,349.3476
Cer-NS(d14:1/24:1)+HCO2,636.5567,590.5512,560.5406,558.525,542.5301,406.3685,390.3736,207.1754,364.3585,181.1598,347.3319
