DGDG,[M+NH4]+,DG [M+H]+,DG [M+H-H2O]+ 
DGDG(10:0)+NH4,602.30222,261.16972,243.15915
DGDG(11:0)+NH4,616.31785,275.18535,257.17478
DGDG(12:0)+NH4,630.33352,289.20102,271.19045
DGDG(13:0)+NH4,644.34917,303.21667,285.2061
DGDG(14:0)+NH4,658.36482,317.23232,299.22175
DGDG(15:0)+NH4,672.38048,331.24798,313.23741
DGDG(16:0)+NH4,686.39612,345.26362,327.25305
DGDG(16:1)+NH4,684.38048,343.24798,325.23741
DGDG(17:0)+NH4,700.41179,359.27929,341.26872
DGDG(17:1)+NH4,698.39612,357.26362,339.25305
DGDG(18:0)+NH4,714.42742,373.29492,355.28435
DGDG(18:1)+NH4,712.41179,371.27929,353.26872
DGDG(19:0)+NH4,728.44302,387.31052,369.29995
DGDG(19:1)+NH4,726.42742,385.29492,367.28435
DGDG(19:2)+NH4,724.41179,383.27929,365.26872
DGDG(20:0)+NH4,742.45872,401.32622,383.31565
DGDG(20:1)+NH4,740.44302,399.31052,381.29995
DGDG(20:2)+NH4,738.42742,397.29492,379.28435
DGDG(20:3)+NH4,736.41179,395.27929,377.26872
DGDG(20:4)+NH4,734.39612,393.26362,375.25305
DGDG(21:0)+NH4,756.47432,415.34182,397.33125
DGDG(21:1)+NH4,754.45872,413.32622,395.31565
DGDG(21:2)+NH4,752.44302,411.31052,393.29995
DGDG(21:3)+NH4,750.42742,409.29492,391.28435
DGDG(21:4)+NH4,748.41179,407.27929,389.26872
DGDG(22:0)+NH4,770.49002,429.35752,411.34695
DGDG(22:1)+NH4,768.47432,427.34182,409.33125
DGDG(22:2)+NH4,766.45872,425.32622,407.31565
DGDG(22:3)+NH4,764.44302,423.31052,405.29995
DGDG(22:4)+NH4,762.42742,421.29492,403.28435
DGDG(22:5)+NH4,760.41179,419.27929,401.26872
DGDG(23:0)+NH4,784.50566,443.37316,425.36259
DGDG(23:1)+NH4,782.49002,441.35752,423.34695
DGDG(23:2)+NH4,780.47432,439.34182,421.33125
DGDG(23:3)+NH4,778.45872,437.32622,419.31565
DGDG(23:4)+NH4,776.44302,435.31052,417.29995
DGDG(23:5)+NH4,774.42742,433.29492,415.28435
DGDG(24:0)+NH4,798.52132,457.38882,439.37825
DGDG(24:1)+NH4,796.50566,455.37316,437.36259
DGDG(24:2)+NH4,794.49002,453.35752,435.34695
DGDG(24:3)+NH4,792.47432,451.34182,433.33125
DGDG(24:4)+NH4,790.45872,449.32622,431.31565
DGDG(24:5)+NH4,788.44302,447.31052,429.29995
DGDG(24:6)+NH4,786.42742,445.29492,427.28435
DGDG(25:0)+NH4,812.53697,471.40447,453.3939
DGDG(25:1)+NH4,810.52132,469.38882,451.37825
DGDG(25:2)+NH4,808.50566,467.37316,449.36259
DGDG(25:3)+NH4,806.49002,465.35752,447.34695
DGDG(25:4)+NH4,804.47432,463.34182,445.33125
DGDG(25:5)+NH4,802.45872,461.32622,443.31565
DGDG(25:6)+NH4,800.44302,459.31052,441.29995
DGDG(26:0)+NH4,826.55262,485.42012,467.40955
DGDG(26:1)+NH4,824.53697,483.40447,465.3939
DGDG(26:2)+NH4,822.52132,481.38882,463.37825
DGDG(26:3)+NH4,820.50566,479.37316,461.36259
DGDG(26:4)+NH4,818.49002,477.35752,459.34695
DGDG(26:5)+NH4,816.47432,475.34182,457.33125
DGDG(26:6)+NH4,814.45872,473.32622,455.31565
DGDG(27:0)+NH4,840.56828,499.43578,481.42521
DGDG(27:1)+NH4,838.55262,497.42012,479.40955
DGDG(27:2)+NH4,836.53697,495.40447,477.3939
DGDG(27:3)+NH4,834.52132,493.38882,475.37825
DGDG(27:4)+NH4,832.50566,491.37316,473.36259
DGDG(27:5)+NH4,830.49002,489.35752,471.34695
DGDG(27:6)+NH4,828.47432,487.34182,469.33125
DGDG(28:0)+NH4,854.58392,513.45142,495.44085
DGDG(28:1)+NH4,852.56828,511.43578,493.42521
DGDG(28:2)+NH4,850.55262,509.42012,491.40955
DGDG(28:3)+NH4,848.53697,507.40447,489.3939
DGDG(28:4)+NH4,846.52132,505.38882,487.37825
DGDG(28:5)+NH4,844.50566,503.37316,485.36259
DGDG(28:6)+NH4,842.49002,501.35752,483.34695
DGDG(29:0)+NH4,868.59962,527.46712,509.45655
DGDG(29:1)+NH4,866.58392,525.45142,507.44085
DGDG(29:2)+NH4,864.56828,523.43578,505.42521
DGDG(29:3)+NH4,862.55262,521.42012,503.40955
DGDG(29:4)+NH4,860.53697,519.40447,501.3939
DGDG(29:5)+NH4,858.52132,517.38882,499.37825
DGDG(29:6)+NH4,856.50566,515.37316,497.36259
DGDG(30:0)+NH4,882.61522,541.48272,523.47215
DGDG(30:1)+NH4,880.59962,539.46712,521.45655
DGDG(30:2)+NH4,878.58392,537.45142,519.44085
DGDG(30:3)+NH4,876.56828,535.43578,517.42521
DGDG(30:4)+NH4,874.55262,533.42012,515.40955
DGDG(30:5)+NH4,872.53697,531.40447,513.3939
DGDG(30:6)+NH4,870.52132,529.38882,511.37825
DGDG(31:0)+NH4,896.63082,555.49832,537.48775
DGDG(31:1)+NH4,894.61522,553.48272,535.47215
DGDG(31:2)+NH4,892.59962,551.46712,533.45655
DGDG(31:3)+NH4,890.58392,549.45142,531.44085
DGDG(31:4)+NH4,888.56828,547.43578,529.42521
DGDG(31:5)+NH4,886.55262,545.42012,527.40955
DGDG(31:6)+NH4,884.53697,543.40447,525.3939
DGDG(32:0)+NH4,910.64652,569.51402,551.50345
DGDG(32:1)+NH4,908.63082,567.49832,549.48775
DGDG(32:2)+NH4,906.61522,565.48272,547.47215
DGDG(32:3)+NH4,904.59962,563.46712,545.45655
DGDG(32:4)+NH4,902.58392,561.45142,543.44085
DGDG(32:5)+NH4,900.56828,559.43578,541.42521
DGDG(32:6)+NH4,898.55262,557.42012,539.40955
