DGDG,[M+HCO2]-,T1_RCOO-,T2_RCOO-,M-FA1-FA2-H,M-FA1-FA2+H2O-H,M-FA1-FA2+2H2O-H
DGDG(8:0_8:0)+HCO2,713.36046,143.10775,143.10775,379.1246,397.1351,415.1457
DGDG(8:0_10:0)+HCO2,741.39176,143.10775,171.13905,379.1246,397.1351,415.1457
DGDG(8:0_12:0)+HCO2,769.42306,143.10775,199.17035,379.1246,397.1351,415.1457
DGDG(8:0_13:0)+HCO2,783.43876,143.10775,213.18605,379.1246,397.1351,415.1457
DGDG(8:0_14:0)+HCO2,797.45436,143.10775,227.20165,379.1246,397.1351,415.1457
DGDG(8:0_14:1)+HCO2,795.43876,143.10775,225.18605,379.1246,397.1351,415.1457
DGDG(8:0_15:0)+HCO2,811.47006,143.10775,241.21735,379.1246,397.1351,415.1457
DGDG(8:0_15:1)+HCO2,809.45436,143.10775,239.20165,379.1246,397.1351,415.1457
DGDG(8:0_16:0)+HCO2,825.48566,143.10775,255.23295,379.1246,397.1351,415.1457
DGDG(8:0_16:1)+HCO2,823.47006,143.10775,253.21735,379.1246,397.1351,415.1457
DGDG(8:0_17:0)+HCO2,839.50136,143.10775,269.24865,379.1246,397.1351,415.1457
DGDG(8:0_17:1)+HCO2,837.48566,143.10775,267.23295,379.1246,397.1351,415.1457
DGDG(8:0_17:2)+HCO2,835.47006,143.10775,265.21735,379.1246,397.1351,415.1457
DGDG(8:0_18:0)+HCO2,853.51696,143.10775,283.26425,379.1246,397.1351,415.1457
DGDG(8:0_18:1)+HCO2,851.50136,143.10775,281.24865,379.1246,397.1351,415.1457
DGDG(8:0_18:2)+HCO2,849.48566,143.10775,279.23295,379.1246,397.1351,415.1457
DGDG(8:0_18:3)+HCO2,847.47006,143.10775,277.21735,379.1246,397.1351,415.1457
DGDG(8:0_18:4)+HCO2,845.45436,143.10775,275.20165,379.1246,397.1351,415.1457
DGDG(8:0_19:0)+HCO2,867.53266,143.10775,297.27995,379.1246,397.1351,415.1457
DGDG(8:0_20:0)+HCO2,881.54826,143.10775,311.29555,379.1246,397.1351,415.1457
DGDG(8:0_20:1)+HCO2,879.53266,143.10775,309.27995,379.1246,397.1351,415.1457
DGDG(8:0_20:2)+HCO2,877.51696,143.10775,307.26425,379.1246,397.1351,415.1457
DGDG(8:0_20:3)+HCO2,875.50136,143.10775,305.24865,379.1246,397.1351,415.1457
DGDG(8:0_20:4)+HCO2,873.48566,143.10775,303.23295,379.1246,397.1351,415.1457
DGDG(8:0_20:5)+HCO2,871.47006,143.10775,301.21735,379.1246,397.1351,415.1457
DGDG(8:0_21:0)+HCO2,895.56396,143.10775,325.31125,379.1246,397.1351,415.1457
DGDG(8:0_22:0)+HCO2,909.57956,143.10775,339.32685,379.1246,397.1351,415.1457
DGDG(8:0_22:1)+HCO2,907.56396,143.10775,337.31125,379.1246,397.1351,415.1457
DGDG(8:0_22:2)+HCO2,905.54826,143.10775,335.29555,379.1246,397.1351,415.1457
DGDG(8:0_22:3)+HCO2,903.53266,143.10775,333.27995,379.1246,397.1351,415.1457
DGDG(8:0_22:4)+HCO2,901.51696,143.10775,331.26425,379.1246,397.1351,415.1457
DGDG(8:0_22:5)+HCO2,899.50136,143.10775,329.24865,379.1246,397.1351,415.1457
DGDG(8:0_22:6)+HCO2,897.48566,143.10775,327.23295,379.1246,397.1351,415.1457
DGDG(8:0_23:0)+HCO2,923.59526,143.10775,353.34255,379.1246,397.1351,415.1457
DGDG(8:0_24:0)+HCO2,937.61086,143.10775,367.35815,379.1246,397.1351,415.1457
DGDG(8:0_24:1)+HCO2,935.59526,143.10775,365.34255,379.1246,397.1351,415.1457
DGDG(8:0_25:0)+HCO2,951.62656,143.10775,381.37385,379.1246,397.1351,415.1457
DGDG(8:0_26:0)+HCO2,965.64216,143.10775,395.38945,379.1246,397.1351,415.1457
DGDG(10:0_10:0)+HCO2,769.42306,171.13905,171.13905,379.1246,397.1351,415.1457
DGDG(10:0_12:0)+HCO2,797.45436,171.13905,199.17035,379.1246,397.1351,415.1457
DGDG(10:0_13:0)+HCO2,811.47006,171.13905,213.18605,379.1246,397.1351,415.1457
DGDG(10:0_14:0)+HCO2,825.48566,171.13905,227.20165,379.1246,397.1351,415.1457
DGDG(10:0_14:1)+HCO2,823.47006,171.13905,225.18605,379.1246,397.1351,415.1457
DGDG(10:0_15:0)+HCO2,839.50136,171.13905,241.21735,379.1246,397.1351,415.1457
DGDG(10:0_15:1)+HCO2,837.48566,171.13905,239.20165,379.1246,397.1351,415.1457
DGDG(10:0_16:0)+HCO2,853.51696,171.13905,255.23295,379.1246,397.1351,415.1457
DGDG(10:0_16:1)+HCO2,851.50136,171.13905,253.21735,379.1246,397.1351,415.1457
DGDG(10:0_17:0)+HCO2,867.53266,171.13905,269.24865,379.1246,397.1351,415.1457
DGDG(10:0_17:1)+HCO2,865.51696,171.13905,267.23295,379.1246,397.1351,415.1457
DGDG(10:0_17:2)+HCO2,863.50136,171.13905,265.21735,379.1246,397.1351,415.1457
DGDG(10:0_18:0)+HCO2,881.54826,171.13905,283.26425,379.1246,397.1351,415.1457
DGDG(10:0_18:1)+HCO2,879.53266,171.13905,281.24865,379.1246,397.1351,415.1457
DGDG(10:0_18:2)+HCO2,877.51696,171.13905,279.23295,379.1246,397.1351,415.1457
DGDG(10:0_18:3)+HCO2,875.50136,171.13905,277.21735,379.1246,397.1351,415.1457
DGDG(10:0_18:4)+HCO2,873.48566,171.13905,275.20165,379.1246,397.1351,415.1457
DGDG(10:0_19:0)+HCO2,895.56396,171.13905,297.27995,379.1246,397.1351,415.1457
DGDG(10:0_20:0)+HCO2,909.57956,171.13905,311.29555,379.1246,397.1351,415.1457
DGDG(10:0_20:1)+HCO2,907.56396,171.13905,309.27995,379.1246,397.1351,415.1457
DGDG(10:0_20:2)+HCO2,905.54826,171.13905,307.26425,379.1246,397.1351,415.1457
