DGTS,[M+H]+,[M-H20]+,[M-(C3H9N-CHCOOH-CH2)]+,[M-(C3H9N-CHCOOH)]+,SN1 acyl loss,SN2 acyl loss,M-H2O SN1 loss ,M-H2O SN2 loss ,C10H21NO5H (236.14),C3H9N-CHCOOH-CH2-CH (144.1),C3H9N+ (59)
DGTS(8:0_8:0)+H,488.35817,470.34761,357.26355,371.2792,362.25377,362.25377,344.24321,344.24321,236.1492402,144.1018984,59.0729454
DGTS(8:0_10:0)+H,516.38947,498.37891,385.29485,399.3105,390.28507,362.25377,372.27451,344.24321,236.1492402,144.1018984,59.0729454
DGTS(8:0_12:0)+H,544.42077,526.41021,413.32615,427.3418,418.31637,362.25377,400.30581,344.24321,236.1492402,144.1018984,59.0729454
DGTS(8:0_13:0)+H,558.43647,540.42591,427.34185,441.3575,432.33207,362.25377,414.32151,344.24321,236.1492402,144.1018984,59.0729454
DGTS(8:0_14:0)+H,572.45207,554.44151,441.35745,455.3731,446.34767,362.25377,428.33711,344.24321,236.1492402,144.1018984,59.0729454
DGTS(8:0_14:1)+H,570.43647,552.42591,439.34185,453.3575,444.33207,362.25377,426.32151,344.24321,236.1492402,144.1018984,59.0729454
DGTS(8:0_15:0)+H,586.46777,568.45721,455.37315,469.3888,460.36337,362.25377,442.35281,344.24321,236.1492402,144.1018984,59.0729454
DGTS(8:0_15:1)+H,584.45207,566.44151,453.35745,467.3731,458.34767,362.25377,440.33711,344.24321,236.1492402,144.1018984,59.0729454
DGTS(8:0_16:0)+H,600.48337,582.47281,469.38875,483.4044,474.37897,362.25377,456.36841,344.24321,236.1492402,144.1018984,59.0729454
DGTS(8:0_16:1)+H,598.46777,580.45721,467.37315,481.3888,472.36337,362.25377,454.35281,344.24321,236.1492402,144.1018984,59.0729454
DGTS(8:0_17:0)+H,614.49907,596.48851,483.40445,497.4201,488.39467,362.25377,470.38411,344.24321,236.1492402,144.1018984,59.0729454
DGTS(8:0_17:1)+H,612.48337,594.47281,481.38875,495.4044,486.37897,362.25377,468.36841,344.24321,236.1492402,144.1018984,59.0729454
DGTS(8:0_17:2)+H,610.46777,592.45721,479.37315,493.3888,484.36337,362.25377,466.35281,344.24321,236.1492402,144.1018984,59.0729454
DGTS(8:0_18:0)+H,628.51467,610.50411,497.42005,511.4357,502.41027,362.25377,484.39971,344.24321,236.1492402,144.1018984,59.0729454
DGTS(8:0_18:1)+H,626.49907,608.48851,495.40445,509.4201,500.39467,362.25377,482.38411,344.24321,236.1492402,144.1018984,59.0729454
DGTS(8:0_18:2)+H,624.48337,606.47281,493.38875,507.4044,498.37897,362.25377,480.36841,344.24321,236.1492402,144.1018984,59.0729454
DGTS(8:0_18:3)+H,622.46777,604.45721,491.37315,505.3888,496.36337,362.25377,478.35281,344.24321,236.1492402,144.1018984,59.0729454
DGTS(8:0_18:4)+H,620.45207,602.44151,489.35745,503.3731,494.34767,362.25377,476.33711,344.24321,236.1492402,144.1018984,59.0729454
DGTS(8:0_19:0)+H,642.53037,624.51981,511.43575,525.4514,516.42597,362.25377,498.41541,344.24321,236.1492402,144.1018984,59.0729454
DGTS(8:0_20:0)+H,656.54597,638.53541,525.45135,539.467,530.44157,362.25377,512.43101,344.24321,236.1492402,144.1018984,59.0729454
