DGTS,[M+H]+,C10H21NO5H,C7H14NO2
DGTS(4:0)+H,320.1704,236.1492,144.1019
DGTS(5:0)+H,334.186,236.1492,144.1019
DGTS(6:0)+H,348.2017,236.1492,144.1019
DGTS(7:0)+H,362.2173,236.1492,144.1019
DGTS(8:0)+H,376.233,236.1492,144.1019
DGTS(9:0)+H,390.2486,236.1492,144.1019
DGTS(10:0)+H,404.2643,236.1492,144.1019
DGTS(11:0)+H,418.2799,236.1492,144.1019
DGTS(12:0)+H,432.2956,236.1492,144.1019
DGTS(13:0)+H,446.3112,236.1492,144.1019
DGTS(14:0)+H,460.3269,236.1492,144.1019
DGTS(15:0)+H,474.3425,236.1492,144.1019
DGTS(15:1)+H,472.3269,236.1492,144.1019
DGTS(16:0)+H,488.3582,236.1492,144.1019
DGTS(16:1)+H,486.3425,236.1492,144.1019
DGTS(17:0)+H,502.3738,236.1492,144.1019
DGTS(17:1)+H,500.3582,236.1492,144.1019
DGTS(18:0)+H,516.3895,236.1492,144.1019
DGTS(18:1)+H,514.3738,236.1492,144.1019
DGTS(18:2)+H,512.3582,236.1492,144.1019
DGTS(18:3)+H,510.3425,236.1492,144.1019
DGTS(18:4)+H,508.3269,236.1492,144.1019
DGTS(19:0)+H,530.4052,236.1492,144.1019
DGTS(19:1)+H,528.3895,236.1492,144.1019
DGTS(19:2)+H,526.3738,236.1492,144.1019
DGTS(20:0)+H,544.4208,236.1492,144.1019
DGTS(20:1)+H,542.4052,236.1492,144.1019
DGTS(20:2)+H,540.3895,236.1492,144.1019
DGTS(20:3)+H,538.3738,236.1492,144.1019
DGTS(20:4)+H,536.3582,236.1492,144.1019
DGTS(20:5)+H,534.3425,236.1492,144.1019
DGTS(21:0)+H,558.4364,236.1492,144.1019
DGTS(21:1)+H,556.4208,236.1492,144.1019
DGTS(21:2)+H,554.4052,236.1492,144.1019
DGTS(22:0)+H,572.4521,236.1492,144.1019
DGTS(22:1)+H,570.4364,236.1492,144.1019
DGTS(22:2)+H,568.4208,236.1492,144.1019
DGTS(22:3)+H,566.4052,236.1492,144.1019
DGTS(22:4)+H,564.3895,236.1492,144.1019
DGTS(22:5)+H,562.3738,236.1492,144.1019
DGTS(23:0)+H,586.4677,236.1492,144.1019
DGTS(23:1)+H,584.4521,236.1492,144.1019
DGTS(23:2)+H,582.4364,236.1492,144.1019
DGTS(24:0)+H,600.4834,236.1492,144.1019
DGTS(24:1)+H,598.4677,236.1492,144.1019
DGTS(24:2)+H,596.4521,236.1492,144.1019
DGTS(24:3)+H,594.4364,236.1492,144.1019
DGTS(24:4)+H,592.4208,236.1492,144.1019
DGTS(24:5)+H,590.4052,236.1492,144.1019
DGTS(24:6)+H,588.3895,236.1492,144.1019
DGTS(25:0)+H,614.499,236.1492,144.1019
DGTS(26:0)+H,628.5147,236.1492,144.1019
DGTS(26:1)+H,626.499,236.1492,144.1019
DGTS(26:2)+H,624.4834,236.1492,144.1019
DGTS(26:4)+H,620.4521,236.1492,144.1019
DGTS(27:0)+H,642.5303,236.1492,144.1019
DGTS(28:0)+H,656.546,236.1492,144.1019
DGTS(28:1)+H,654.5303,236.1492,144.1019
DGTS(28:2)+H,652.5147,236.1492,144.1019
DGTS(28:4)+H,648.4834,236.1492,144.1019
DGTS(29:0)+H,670.5616,236.1492,144.1019
DGTS(19:3)+H,524.3582,236.1492,144.1019
DGTS(19:4)+H,522.3425,236.1492,144.1019
DGTS(21:3)+H,552.3895,236.1492,144.1019
DGTS(21:4)+H,550.3738,236.1492,144.1019
DGTS(21:5)+H,548.3582,236.1492,144.1019
DGTS(23:3)+H,580.4208,236.1492,144.1019
DGTS(23:4)+H,578.4052,236.1492,144.1019
DGTS(23:5)+H,576.3895,236.1492,144.1019
DGTS(25:1)+H,612.4834,236.1492,144.1019
