GlcADG,[M+NH4]+,[M-C6H9O6-NH4+H+H]+,[DAG-H20],sn1 loss,sn2 loss
GlcADG(10:0_10:0)+NH4,594.38533,401.32669,383.31613,229.18045,229.18045
GlcADG(10:0_11:0)+NH4,608.40098,415.34234,397.33178,243.1961,229.18046
GlcADG(10:0_12:0)+NH4,622.41664,429.358,411.34744,257.21175,229.18047
GlcADG(10:0_13:0)+NH4,636.43229,443.37365,425.36309,271.2274,229.18048
GlcADG(10:0_14:0)+NH4,650.44794,457.3893,439.37874,285.24305,229.18049
GlcADG(10:0_14:1)+NH4,648.43229,455.37365,437.36309,283.2274,229.18048
GlcADG(10:0_15:0)+NH4,664.46359,471.40495,453.39439,299.2587,229.1805
GlcADG(10:0_15:1)+NH4,662.44794,469.3893,451.37874,297.24305,229.18049
GlcADG(10:0_16:0)+NH4,678.47924,485.4206,467.41004,313.27435,229.18051
GlcADG(10:0_16:1)+NH4,676.46359,483.40495,465.39439,311.2587,229.1805
GlcADG(10:0_17:0)+NH4,692.49489,499.43625,481.42569,327.29,229.18052
GlcADG(10:0_17:1)+NH4,690.47924,497.4206,479.41004,325.27435,229.18051
GlcADG(10:0_17:2)+NH4,688.46359,495.40495,477.39439,323.2587,229.1805
GlcADG(10:0_18:0)+NH4,706.51054,513.4519,495.44134,341.30565,229.18053
GlcADG(10:0_18:1)+NH4,704.49489,511.43625,493.42569,339.29,229.18052
GlcADG(10:0_18:2)+NH4,702.47924,509.4206,491.41004,337.27435,229.18051
GlcADG(10:0_18:3)+NH4,700.46359,507.40495,489.39439,335.2587,229.1805
GlcADG(10:0_18:4)+NH4,698.44794,505.3893,487.37874,333.24305,229.18049
GlcADG(10:0_19:0)+NH4,720.52619,527.46755,509.45699,355.3213,229.18054
GlcADG(10:0_2:0)+NH4,482.26013,289.20149,271.19093,117.05525,229.18037
GlcADG(10:0_20:0)+NH4,734.54184,541.4832,523.47264,369.33695,229.18055
GlcADG(10:0_20:1)+NH4,732.52619,539.46755,521.45699,367.3213,229.18054
GlcADG(10:0_20:2)+NH4,730.51054,537.4519,519.44134,365.30565,229.18053
GlcADG(10:0_20:3)+NH4,728.49489,535.43625,517.42569,363.29,229.18052
GlcADG(10:0_20:4)+NH4,726.47924,533.4206,515.41004,361.27435,229.18051
GlcADG(10:0_20:5)+NH4,724.46359,531.40495,513.39439,359.2587,229.1805
GlcADG(10:0_21:0)+NH4,748.55749,555.49885,537.48829,383.3526,229.18056
GlcADG(10:0_22:0)+NH4,762.57314,569.5145,551.50394,397.36825,229.18057
GlcADG(10:0_22:1)+NH4,760.55749,567.49885,549.48829,395.3526,229.18056
GlcADG(10:0_22:2)+NH4,758.54184,565.4832,547.47264,393.33695,229.18055
GlcADG(10:0_22:4)+NH4,754.51054,561.4519,543.44134,389.30565,229.18053
GlcADG(10:0_22:5)+NH4,752.49489,559.43625,541.42569,387.29,229.18052
GlcADG(10:0_22:6)+NH4,750.47924,557.4206,539.41004,385.27435,229.18051
GlcADG(10:0_23:0)+NH4,776.58879,583.53015,565.51959,411.3839,229.18058
GlcADG(10:0_24:0)+NH4,790.60444,597.5458,579.53524,425.39955,229.18059
GlcADG(10:0_24:1)+NH4,788.58879,595.53015,577.51959,423.3839,229.18058
GlcADG(10:0_24:4)+NH4,782.54184,589.4832,571.47264,417.33695,229.18055
GlcADG(10:0_25:0)+NH4,804.62009,611.56145,593.55089,439.4152,229.1806
GlcADG(10:0_26:0)+NH4,818.63574,625.5771,607.56654,453.43085,229.18061
GlcADG(10:0_26:1)+NH4,816.62009,623.56145,605.55089,451.4152,229.1806
GlcADG(10:0_26:2)+NH4,814.60444,621.5458,603.53524,449.39955,229.18059
GlcADG(10:0_3:0)+NH4,496.27578,303.21714,285.20658,131.0709,229.18038
GlcADG(10:0_4:0)+NH4,510.29143,317.23279,299.22223,145.08655,229.18039
GlcADG(10:0_5:0)+NH4,524.30708,331.24844,313.23788,159.1022,229.1804
GlcADG(10:0_6:0)+NH4,538.32273,345.26409,327.25353,173.11785,229.18041
GlcADG(10:0_7:0)+NH4,552.33838,359.27974,341.26918,187.1335,229.18042
GlcADG(10:0_8:0)+NH4,566.35403,373.29539,355.28483,201.14915,229.18043
GlcADG(10:0_9:0)+NH4,580.36968,387.31104,369.30048,215.1648,229.18044
GlcADG(11:0_11:0)+NH4,622.41664,429.358,411.34744,243.19611,243.19611
GlcADG(11:0_12:0)+NH4,636.43229,443.37365,425.36309,257.21176,243.19612
GlcADG(11:0_13:0)+NH4,650.44794,457.3893,439.37874,271.22741,243.19613
GlcADG(11:0_14:0)+NH4,664.46359,471.40495,453.39439,285.24306,243.19614
GlcADG(11:0_14:1)+NH4,662.44794,469.3893,451.37874,283.22741,243.19613
GlcADG(11:0_15:0)+NH4,678.47924,485.4206,467.41004,299.25871,243.19615
GlcADG(11:0_15:1)+NH4,676.46359,483.40495,465.39439,297.24306,243.19614
GlcADG(11:0_16:0)+NH4,692.49489,499.43625,481.42569,313.27436,243.19616
GlcADG(11:0_16:1)+NH4,690.47924,497.4206,479.41004,311.25871,243.19615
GlcADG(11:0_17:0)+NH4,706.51054,513.4519,495.44134,327.29001,243.19617
GlcADG(11:0_17:1)+NH4,704.49489,511.43625,493.42569,325.27436,243.19616
GlcADG(11:0_17:2)+NH4,702.47924,509.4206,491.41004,323.25871,243.19615
GlcADG(11:0_18:0)+NH4,720.52619,527.46755,509.45699,341.30566,243.19618
GlcADG(11:0_18:1)+NH4,718.51054,525.4519,507.44134,339.29001,243.19617
GlcADG(11:0_18:2)+NH4,716.49489,523.43625,505.42569,337.27436,243.19616
GlcADG(11:0_18:3)+NH4,714.47924,521.4206,503.41004,335.25871,243.19615
GlcADG(11:0_18:4)+NH4,712.46359,519.40495,501.39439,333.24306,243.19614
GlcADG(11:0_19:0)+NH4,734.54184,541.4832,523.47264,355.32131,243.19619
GlcADG(11:0_2:0)+NH4,496.27578,303.21714,285.20658,117.05526,243.19602
GlcADG(11:0_20:0)+NH4,748.55749,555.49885,537.48829,369.33696,243.1962
GlcADG(11:0_20:1)+NH4,746.54184,553.4832,535.47264,367.32131,243.19619
GlcADG(11:0_20:2)+NH4,744.52619,551.46755,533.45699,365.30566,243.19618
GlcADG(11:0_20:3)+NH4,742.51054,549.4519,531.44134,363.29001,243.19617
GlcADG(11:0_20:4)+NH4,740.49489,547.43625,529.42569,361.27436,243.19616
GlcADG(11:0_20:5)+NH4,738.47924,545.4206,527.41004,359.25871,243.19615
GlcADG(11:0_21:0)+NH4,762.57314,569.5145,551.50394,383.35261,243.19621
GlcADG(11:0_22:0)+NH4,776.58879,583.53015,565.51959,397.36826,243.19622
GlcADG(11:0_22:1)+NH4,774.57314,581.5145,563.50394,395.35261,243.19621
GlcADG(11:0_22:2)+NH4,772.55749,579.49885,561.48829,393.33696,243.1962
GlcADG(11:0_22:4)+NH4,768.52619,575.46755,557.45699,389.30566,243.19618
GlcADG(11:0_22:5)+NH4,766.51054,573.4519,555.44134,387.29001,243.19617
GlcADG(11:0_22:6)+NH4,764.49489,571.43625,553.42569,385.27436,243.19616
