GlcADG,[M-H]-,M-sn1,M-sn2,[M-H-sn1+H20]-,[M-H-sn2+H20]-,[M-H-sn1-H20]-,[M-H-sn2-H20]-,SN1,SN2
GlcADG(10:0_10:0)-H,575.3431425,403.1969025,403.1969025,421.2074667,421.2074667,385.1863383,385.1863383,171.13842,171.13842
GlcADG(10:0_11:0)-H,589.3587926,417.2125526,403.1969126,435.2231168,421.2074768,399.2019884,385.1863484,171.13842,185.15406
GlcADG(10:0_12:0)-H,603.3744426,431.2282026,403.1969226,449.2387668,421.2074868,413.2176384,385.1863584,171.13842,199.1697
GlcADG(10:0_13:0)-H,617.3900927,445.2438527,403.1969327,463.2544169,421.2074969,427.2332885,385.1863685,171.13842,213.18534
GlcADG(10:0_14:0)-H,631.4057428,459.2595028,403.1969428,477.270067,421.207507,441.2489386,385.1863786,171.13842,227.20098
GlcADG(10:0_14:1)-H,629.3900927,457.2438527,403.1969327,475.2544169,421.2074969,439.2332885,385.1863685,171.13842,225.18534
GlcADG(10:0_15:0)-H,645.4213928,473.2751528,403.1969528,491.285717,421.207517,455.2645886,385.1863886,171.13842,241.21662
GlcADG(10:0_15:1)-H,643.4057428,471.2595028,403.1969428,489.270067,421.207507,453.2489386,385.1863786,171.13842,239.20098
GlcADG(10:0_16:0)-H,659.4370429,487.2908029,403.1969629,505.3013671,421.2075271,469.2802387,385.1863987,171.13842,255.23226
GlcADG(10:0_16:1)-H,657.4213928,485.2751528,403.1969528,503.285717,421.207517,467.2645886,385.1863886,171.13842,253.21662
GlcADG(10:0_17:0)-H,673.452693,501.306453,403.196973,519.3170172,421.2075372,483.2958888,385.1864088,171.13842,269.2479
GlcADG(10:0_17:1)-H,671.4370429,499.2908029,403.1969629,517.3013671,421.2075271,481.2802387,385.1863987,171.13842,267.23226
GlcADG(10:0_17:2)-H,669.4213928,497.2751528,403.1969528,515.285717,421.207517,479.2645886,385.1863886,171.13842,265.21662
GlcADG(10:0_18:0)-H,687.468343,515.322103,403.196983,533.3326672,421.2075472,497.3115388,385.1864188,171.13842,283.26354
GlcADG(10:0_18:1)-H,685.452693,513.306453,403.196973,531.3170172,421.2075372,495.2958888,385.1864088,171.13842,281.2479
GlcADG(10:0_18:2)-H,683.4370429,511.2908029,403.1969629,529.3013671,421.2075271,493.2802387,385.1863987,171.13842,279.23226
GlcADG(10:0_18:3)-H,681.4213928,509.2751528,403.1969528,527.285717,421.207517,491.2645886,385.1863886,171.13842,277.21662
GlcADG(10:0_18:4)-H,679.4057428,507.2595028,403.1969428,525.270067,421.207507,489.2489386,385.1863786,171.13842,275.20098
GlcADG(10:0_19:0)-H,701.4839931,529.3377531,403.1969931,547.3483173,421.2075573,511.3271889,385.1864289,171.13842,297.27918
GlcADG(10:0_2:0)-H,463.217942,291.071702,403.196822,309.0822662,421.2073862,273.0611378,385.1862578,171.13842,59.0133
GlcADG(10:0_20:0)-H,715.4996431,543.3534031,403.1970031,561.3639673,421.2075673,525.3428389,385.1864389,171.13842,311.29482
GlcADG(10:0_20:1)-H,713.4839931,541.3377531,403.1969931,559.3483173,421.2075573,523.3271889,385.1864289,171.13842,309.27918
GlcADG(10:0_20:2)-H,711.468343,539.322103,403.196983,557.3326672,421.2075472,521.3115388,385.1864188,171.13842,307.26354
GlcADG(10:0_20:3)-H,709.452693,537.306453,403.196973,555.3170172,421.2075372,519.2958888,385.1864088,171.13842,305.2479
