HexCer-NS,[M+H]+,[M-C6H10O5+H]+,[M-Hex-H2O+H]+,[M-Hex-2H2O+H]+,[Sph-H2O+H]+,[Sph-2H2O+H]+,[FAA+H]+,[Sph-CH4O2+H]+
HexCer-NS(d14:1/12:0)+H,588.4475,426.3947,408.3841,390.3736,226.2166,208.206,200.2009,196.206
HexCer-NS(d14:1/12:1)+H,586.4319,424.3791,406.3685,388.3579,226.2166,208.206,198.1853,196.206
HexCer-NS(d14:1/13:0)+H,602.4632,440.4103,422.3998,404.3892,226.2166,208.206,214.2166,196.206
HexCer-NS(d14:1/13:1)+H,600.4475,438.3947,420.3841,402.3736,226.2166,208.206,212.2009,196.206
HexCer-NS(d14:1/14:0)+H,616.4788,454.426,436.4154,418.4049,226.2166,208.206,228.2322,196.206
HexCer-NS(d14:1/14:1)+H,614.4632,452.4103,434.3998,416.3892,226.2166,208.206,226.2166,196.206
HexCer-NS(d14:1/15:0)+H,630.4945,468.4417,450.4311,432.4205,226.2166,208.206,242.2478,196.206
HexCer-NS(d14:1/15:1)+H,628.4788,466.426,448.4154,430.4049,226.2166,208.206,240.2322,196.206
HexCer-NS(d14:1/16:0)+H,644.5101,482.4573,464.4467,446.4362,226.2166,208.206,256.2635,196.206
HexCer-NS(d14:1/16:1)+H,642.4945,480.4417,462.4311,444.4205,226.2166,208.206,254.2478,196.206
HexCer-NS(d14:1/16:2)+H,640.4788,478.426,460.4154,442.4049,226.2166,208.206,252.2322,196.206
HexCer-NS(d14:1/17:0)+H,658.5258,496.473,478.4624,460.4518,226.2166,208.206,270.2791,196.206
HexCer-NS(d14:1/18:0)+H,672.5414,510.4886,492.478,474.4675,226.2166,208.206,284.2948,196.206
HexCer-NS(d14:1/18:1)+H,670.5258,508.473,490.4624,472.4518,226.2166,208.206,282.2791,196.206
HexCer-NS(d14:1/18:2)+H,668.5101,506.4573,488.4467,470.4362,226.2166,208.206,280.2635,196.206
HexCer-NS(d14:1/19:0)+H,686.5571,524.5043,506.4937,488.4831,226.2166,208.206,298.3105,196.206
HexCer-NS(d14:1/19:1)+H,684.5414,522.4886,504.478,486.4675,226.2166,208.206,296.2948,196.206
HexCer-NS(d14:1/20:0)+H,700.5728,538.5199,520.5093,502.4988,226.2166,208.206,312.3261,196.206
HexCer-NS(d14:1/20:1)+H,698.5571,536.5043,518.4937,500.4831,226.2166,208.206,310.3105,196.206
HexCer-NS(d14:1/20:2)+H,696.5414,534.4886,516.478,498.4675,226.2166,208.206,308.2948,196.206
HexCer-NS(d14:1/21:0)+H,714.5884,552.5356,534.525,516.5144,226.2166,208.206,326.3417,196.206
HexCer-NS(d14:1/21:1)+H,712.5728,550.5199,532.5093,514.4988,226.2166,208.206,324.3261,196.206
HexCer-NS(d14:1/22:0)+H,728.6041,566.5512,548.5406,530.5301,226.2166,208.206,340.3574,196.206
HexCer-NS(d14:1/22:1)+H,726.5884,564.5356,546.525,528.5144,226.2166,208.206,338.3417,196.206
HexCer-NS(d14:1/22:2)+H,724.5728,562.5199,544.5093,526.4988,226.2166,208.206,336.3261,196.206
HexCer-NS(d14:1/23:0)+H,742.6197,580.5668,562.5563,544.5457,226.2166,208.206,354.373,196.206
HexCer-NS(d14:1/23:1)+H,740.6041,578.5512,560.5406,542.5301,226.2166,208.206,352.3574,196.206
HexCer-NS(d14:1/24:0)+H,756.6353,594.5825,576.572,558.5613,226.2166,208.206,368.3887,196.206
HexCer-NS(d14:1/24:1)+H,754.6197,592.5668,574.5563,556.5457,226.2166,208.206,366.373,196.206
HexCer-NS(d14:1/24:2)+H,752.6041,590.5512,572.5406,554.5301,226.2166,208.206,364.3574,196.206
HexCer-NS(d14:1/25:0)+H,770.651,608.5981,590.5876,572.577,226.2166,208.206,382.4044,196.206
HexCer-NS(d14:1/25:1)+H,768.6353,606.5825,588.572,570.5613,226.2166,208.206,380.3887,196.206
HexCer-NS(d14:1/26:0)+H,784.6666,622.6138,604.6032,586.5927,226.2166,208.206,396.42,196.206
HexCer-NS(d14:1/26:1)+H,782.651,620.5981,602.5876,584.577,226.2166,208.206,394.4044,196.206
HexCer-NS(d14:1/26:2)+H,780.6353,618.5825,600.572,582.5613,226.2166,208.206,392.3887,196.206
HexCer-NS(d14:1/27:0)+H,798.6823,636.6295,618.6189,600.6083,226.2166,208.206,410.4356,196.206
HexCer-NS(d14:1/27:1)+H,796.6666,634.6138,616.6032,598.5927,226.2166,208.206,408.42,196.206
HexCer-NS(d14:1/28:0)+H,812.6979,650.6451,632.6345,614.624,226.2166,208.206,424.4513,196.206
HexCer-NS(d14:1/28:1)+H,810.6823,648.6295,630.6189,612.6083,226.2166,208.206,422.4356,196.206
HexCer-NS(d14:1/28:2)+H,808.6666,646.6138,628.6032,610.5927,226.2166,208.206,420.42,196.206
HexCer-NS(d14:1/29:0)+H,826.7136,664.6608,646.6502,628.6396,226.2166,208.206,438.4669,196.206
HexCer-NS(d14:1/29:1)+H,824.6979,662.6451,644.6345,626.624,226.2166,208.206,436.4513,196.206
HexCer-NS(d14:1/30:0)+H,840.7292,678.6764,660.6658,642.6553,226.2166,208.206,452.4826,196.206
HexCer-NS(d14:1/30:1)+H,838.7136,676.6608,658.6502,640.6396,226.2166,208.206,450.4669,196.206
HexCer-NS(d14:1/30:2)+H,836.6979,674.6451,656.6345,638.624,226.2166,208.206,448.4513,196.206
HexCer-NS(d14:1/31:0)+H,854.7449,692.6921,674.6815,656.6709,226.2166,208.206,466.4983,196.206
HexCer-NS(d14:1/31:1)+H,852.7292,690.6764,672.6658,654.6553,226.2166,208.206,464.4826,196.206
HexCer-NS(d14:1/32:0)+H,868.7606,706.7077,688.6971,670.6866,226.2166,208.206,480.5139,196.206
HexCer-NS(d14:1/32:1)+H,866.7449,704.6921,686.6815,668.6709,226.2166,208.206,478.4983,196.206
HexCer-NS(d14:1/32:2)+H,864.7292,702.6764,684.6658,666.6553,226.2166,208.206,476.4826,196.206
HexCer-NS(d14:1/33:0)+H,882.7762,720.7234,702.7128,684.7022,226.2166,208.206,494.5295,196.206
HexCer-NS(d14:1/33:1)+H,880.7606,718.7077,700.6971,682.6866,226.2166,208.206,492.5139,196.206
HexCer-NS(d14:1/34:0)+H,896.7919,734.739,716.7285,698.7179,226.2166,208.206,508.5452,196.206
HexCer-NS(d14:1/34:1)+H,894.7762,732.7234,714.7128,696.7022,226.2166,208.206,506.5295,196.206
HexCer-NS(d14:1/34:2)+H,892.7606,730.7077,712.6971,694.6866,226.2166,208.206,504.5139,196.206
