HexHexCer-NS,[M+C2H3O2]-,[M-H]-,[M-C6H10O5-H]-,[FAA+C2H3-H]-,[FAA-OH-H]-,[Sph-C2H7NO-H]-,[C6H11O6]-
HexCer-NS(d14:1/12:0)+C2H3O2,646.453,586.4319,424.3791,224.2014,181.1836,181.1598,179.0556
HexCer-NS(d14:1/12:1)+C2H3O2,644.4374,584.4163,422.3634,222.1858,179.168,181.1598,179.0556
HexCer-NS(d14:1/13:0)+C2H3O2,660.4687,600.4476,438.3947,238.2171,195.1992,181.1598,179.0556
HexCer-NS(d14:1/13:1)+C2H3O2,658.453,598.4319,436.3791,236.2014,193.1836,181.1598,179.0556
HexCer-NS(d14:1/14:0)+C2H3O2,674.4843,614.4632,452.4104,252.2328,209.2149,181.1598,179.0556
HexCer-NS(d14:1/14:1)+C2H3O2,672.4687,612.4476,450.3947,250.2171,207.1992,181.1598,179.0556
HexCer-NS(d14:1/15:0)+C2H3O2,688.5,628.4788,466.426,266.2484,223.2305,181.1598,179.0556
HexCer-NS(d14:1/15:1)+C2H3O2,686.4843,626.4632,464.4104,264.2328,221.2149,181.1598,179.0556
HexCer-NS(d14:1/16:0)+C2H3O2,702.5156,642.4945,480.4417,280.264,237.2462,181.1598,179.0556
HexCer-NS(d14:1/16:1)+C2H3O2,700.5,640.4788,478.426,278.2484,235.2305,181.1598,179.0556
HexCer-NS(d14:1/16:2)+C2H3O2,698.4843,638.4632,476.4104,276.2328,233.2149,181.1598,179.0556
HexCer-NS(d14:1/17:0)+C2H3O2,716.5313,656.5101,494.4573,294.2797,251.2619,181.1598,179.0556
HexCer-NS(d14:1/18:0)+C2H3O2,730.5469,670.5258,508.473,308.2953,265.2775,181.1598,179.0556
HexCer-NS(d14:1/18:1)+C2H3O2,728.5313,668.5101,506.4573,306.2797,263.2618,181.1598,179.0556
HexCer-NS(d14:1/18:2)+C2H3O2,726.5156,666.4945,504.4417,304.264,261.2462,181.1598,179.0556
HexCer-NS(d14:1/19:0)+C2H3O2,744.5626,684.5414,522.4886,322.311,279.2932,181.1598,179.0556
HexCer-NS(d14:1/19:1)+C2H3O2,742.5469,682.5258,520.473,320.2953,277.2775,181.1598,179.0556
HexCer-NS(d14:1/20:0)+C2H3O2,758.5782,698.5571,536.5043,336.3267,293.3088,181.1598,179.0556
HexCer-NS(d14:1/20:1)+C2H3O2,756.5626,696.5414,534.4886,334.311,291.2932,181.1598,179.0556
HexCer-NS(d14:1/20:2)+C2H3O2,754.5469,694.5258,532.473,332.2953,289.2775,181.1598,179.0556
HexCer-NS(d14:1/21:0)+C2H3O2,772.5939,712.5728,550.5199,350.3423,307.3245,181.1598,179.0556
HexCer-NS(d14:1/21:1)+C2H3O2,770.5782,710.5571,548.5043,348.3267,305.3088,181.1598,179.0556
HexCer-NS(d14:1/22:0)+C2H3O2,786.6096,726.5884,564.5356,364.3579,321.3401,181.1598,179.0556
HexCer-NS(d14:1/22:1)+C2H3O2,784.5939,724.5728,562.5199,362.3423,319.3245,181.1598,179.0556
HexCer-NS(d14:1/22:2)+C2H3O2,782.5782,722.5571,560.5043,360.3267,317.3088,181.1598,179.0556
