LDGTS,[M+H]+,[M-H20]+,FA acyl loss,[M-H20]-FA,C7H14NO2
LDGTS(4:0/0:0),306.191108,288.1805434,236.1492722,218.1387122,144.1024
LDGTS(5:0/0:0),320.206758,302.1961935,236.1492823,218.1387223,144.1024
LDGTS(6:0/0:0),334.222408,316.2118435,236.1492923,218.1387323,144.1024
LDGTS(6:1/0:0),332.206758,314.1961935,236.1492823,218.1387223,144.1024
LDGTS(6:2/0:0),330.191108,312.1805434,236.1492722,218.1387122,144.1024
LDGTS(7:0/0:0),348.238058,330.2274936,236.1493024,218.1387424,144.1024
LDGTS(8:0/0:0),362.253708,344.2431437,236.1493125,218.1387525,144.1024
LDGTS(8:1/0:0),360.238058,342.2274936,236.1493024,218.1387424,144.1024
LDGTS(8:2/0:0),358.222408,340.2118435,236.1492923,218.1387323,144.1024
LDGTS(9:0/0:0),376.269358,358.2587937,236.1493225,218.1387625,144.1024
LDGTS(9:1/0:0),374.253708,356.2431437,236.1493125,218.1387525,144.1024
LDGTS(10:0/0:0),390.285008,372.2744438,236.1493326,218.1387726,144.1024
LDGTS(10:1/0:0),388.269358,370.2587937,236.1493225,218.1387625,144.1024
LDGTS(10:2/0:0),386.253708,368.2431437,236.1493125,218.1387525,144.1024
LDGTS(11:0/0:0),404.300658,386.2900938,236.1493427,218.1387827,144.1024
LDGTS(11:1/0:0),402.285008,384.2744438,236.1493326,218.1387726,144.1024
LDGTS(12:0/0:0),418.316308,400.3057439,236.1493527,218.1387927,144.1024
LDGTS(12:1/0:0),416.300658,398.2900938,236.1493427,218.1387827,144.1024
LDGTS(12:2/0:0),414.285008,396.2744438,236.1493326,218.1387726,144.1024
LDGTS(12:3/0:0),412.269358,394.2587937,236.1493225,218.1387625,144.1024
LDGTS(13:0/0:0),432.331958,414.321394,236.1493628,218.1388028,144.1024
LDGTS(13:1/0:0),430.316308,412.3057439,236.1493527,218.1387927,144.1024
LDGTS(14:0/0:0),446.347608,428.337044,236.1493728,218.1388128,144.1024
LDGTS(14:1/0:0),444.331958,426.321394,236.1493628,218.1388028,144.1024
LDGTS(14:2/0:0),442.316308,424.3057439,236.1493527,218.1387927,144.1024
LDGTS(14:3/0:0),440.300658,422.2900938,236.1493427,218.1387827,144.1024
LDGTS(15:0/0:0),460.363258,442.3526941,236.1493829,218.1388229,144.1024
LDGTS(15:1/0:0),458.347608,440.337044,236.1493728,218.1388128,144.1024
LDGTS(15:2/0:0),456.331958,438.321394,236.1493628,218.1388028,144.1024
LDGTS(15:3/0:0),454.316308,436.3057439,236.1493527,218.1387927,144.1024
LDGTS(16:0/0:0),474.378908,456.3683442,236.149393,218.138833,144.1024
LDGTS(16:1/0:0),472.363258,454.3526941,236.1493829,218.1388229,144.1024
LDGTS(16:2/0:0),470.347608,452.337044,236.1493728,218.1388128,144.1024
LDGTS(16:3/0:0),468.331958,450.321394,236.1493628,218.1388028,144.1024
LDGTS(16:4/0:0),466.316308,448.3057439,236.1493527,218.1387927,144.1024
LDGTS(16:5/0:0),464.300658,446.2900938,236.1493427,218.1387827,144.1024
LDGTS(17:0/0:0),488.394558,470.3839942,236.149403,218.138843,144.1024
LDGTS(17:1/0:0),486.378908,468.3683442,236.149393,218.138833,144.1024
LDGTS(17:2/0:0),484.363258,466.3526941,236.1493829,218.1388229,144.1024
LDGTS(17:3/0:0),482.347608,464.337044,236.1493728,218.1388128,144.1024
LDGTS(18:0/0:0),502.410208,484.3996443,236.1494131,218.1388531,144.1024
LDGTS(18:1/0:0),500.394558,482.3839942,236.149403,218.138843,144.1024
LDGTS(18:2/0:0),498.378908,480.3683442,236.149393,218.138833,144.1024
LDGTS(18:3/0:0),496.363258,478.3526941,236.1493829,218.1388229,144.1024
LDGTS(18:4/0:0),494.347608,476.337044,236.1493728,218.1388128,144.1024
LDGTS(18:5/0:0),492.331958,474.321394,236.1493628,218.1388028,144.1024
LDGTS(19:0/0:0),516.425859,498.4152944,236.1494232,218.1388632,144.1024
LDGTS(19:1/0:0),514.410208,496.3996443,236.1494131,218.1388531,144.1024
LDGTS(19:2/0:0),512.394558,494.3839942,236.149403,218.138843,144.1024
LDGTS(19:3/0:0),510.378908,492.3683442,236.149393,218.138833,144.1024
LDGTS(19:4/0:0),508.363258,490.3526941,236.1493829,218.1388229,144.1024
LDGTS(19:5/0:0),506.347608,488.337044,236.1493728,218.1388128,144.1024
LDGTS(20:0/0:0),530.441509,512.4309444,236.1494332,218.1388732,144.1024
LDGTS(20:1/0:0),528.425859,510.4152944,236.1494232,218.1388632,144.1024
LDGTS(20:2/0:0),526.410208,508.3996443,236.1494131,218.1388531,144.1024
LDGTS(20:3/0:0),524.394558,506.3839942,236.149403,218.138843,144.1024
LDGTS(20:4/0:0),522.378908,504.3683442,236.149393,218.138833,144.1024
LDGTS(20:5/0:0),520.363258,502.3526941,236.1493829,218.1388229,144.1024
LDGTS(20:6/0:0),518.347608,500.337044,236.1493728,218.1388128,144.1024
LDGTS(21:0/0:0),544.457159,526.4465945,236.1494433,218.1388833,144.1024
LDGTS(21:1/0:0),542.441509,524.4309444,236.1494332,218.1388732,144.1024
LDGTS(21:2/0:0),540.425859,522.4152944,236.1494232,218.1388632,144.1024
LDGTS(21:3/0:0),538.410208,520.3996443,236.1494131,218.1388531,144.1024
LDGTS(21:4/0:0),536.394558,518.3839942,236.149403,218.138843,144.1024
LDGTS(21:5/0:0),534.378908,516.3683442,236.149393,218.138833,144.1024
LDGTS(22:0/0:0),558.472809,540.4622446,236.1494534,218.1388934,144.1024
LDGTS(22:1/0:0),556.457159,538.4465945,236.1494433,218.1388833,144.1024
LDGTS(22:2/0:0),554.441509,536.4309444,236.1494332,218.1388732,144.1024
LDGTS(22:3/0:0),552.425859,534.4152944,236.1494232,218.1388632,144.1024
LDGTS(22:4/0:0),550.410208,532.3996443,236.1494131,218.1388531,144.1024
LDGTS(22:5/0:0),548.394558,530.3839942,236.149403,218.138843,144.1024
LDGTS(22:6/0:0),546.378908,528.3683442,236.149393,218.138833,144.1024
LDGTS(22:7/0:0),544.363258,526.3526941,236.1493829,218.1388229,144.1024
LDGTS(23:0/0:0),572.488459,554.4778946,236.1494634,218.1389034,144.1024
LDGTS(23:1/0:0),570.472809,552.4622446,236.1494534,218.1388934,144.1024
LDGTS(23:2/0:0),568.457159,550.4465945,236.1494433,218.1388833,144.1024
LDGTS(23:3/0:0),566.441509,548.4309444,236.1494332,218.1388732,144.1024
LDGTS(23:4/0:0),564.425859,546.4152944,236.1494232,218.1388632,144.1024
LDGTS(23:5/0:0),562.410208,544.3996443,236.1494131,218.1388531,144.1024
LDGTS(23:6/0:0),560.394558,542.3839942,236.149403,218.138843,144.1024
LDGTS(24:0/0:0),586.504109,568.4935447,236.1494735,218.1389135,144.1024
LDGTS(24:1/0:0),584.488459,566.4778946,236.1494634,218.1389034,144.1024
LDGTS(24:2/0:0),582.472809,564.4622446,236.1494534,218.1388934,144.1024
LDGTS(24:3/0:0),580.457159,562.4465945,236.1494433,218.1388833,144.1024
LDGTS(24:4/0:0),578.441509,560.4309444,236.1494332,218.1388732,144.1024
LDGTS(24:5/0:0),576.425859,558.4152944,236.1494232,218.1388632,144.1024
LDGTS(24:6/0:0),574.410208,556.3996443,236.1494131,218.1388531,144.1024
LDGTS(25:0/0:0),600.519759,582.5091947,236.1494836,218.1389236,144.1024
LDGTS(25:1/0:0),598.504109,580.4935447,236.1494735,218.1389135,144.1024
LDGTS(25:2/0:0),596.488459,578.4778946,236.1494634,218.1389034,144.1024
LDGTS(25:3/0:0),594.472809,576.4622446,236.1494534,218.1388934,144.1024
LDGTS(25:4/0:0),592.457159,574.4465945,236.1494433,218.1388833,144.1024
LDGTS(25:5/0:0),590.441509,572.4309444,236.1494332,218.1388732,144.1024
LDGTS(25:6/0:0),588.425859,570.4152944,236.1494232,218.1388632,144.1024
LDGTS(26:0/0:0),614.535409,596.5248448,236.1494936,218.1389336,144.1024
LDGTS(26:1/0:0),612.519759,594.5091947,236.1494836,218.1389236,144.1024
LDGTS(26:2/0:0),610.504109,592.4935447,236.1494735,218.1389135,144.1024
LDGTS(26:3/0:0),608.488459,590.4778946,236.1494634,218.1389034,144.1024
LDGTS(26:4/0:0),606.472809,588.4622446,236.1494534,218.1388934,144.1024
LDGTS(26:5/0:0),604.457159,586.4465945,236.1494433,218.1388833,144.1024
LDGTS(26:6/0:0),602.441509,584.4309444,236.1494332,218.1388732,144.1024
LDGTS(26:7/0:0),600.425859,582.4152944,236.1494232,218.1388632,144.1024
LDGTS(27:0/0:0),628.551059,610.5404949,236.1495037,218.1389437,144.1024
LDGTS(27:1/0:0),626.535409,608.5248448,236.1494936,218.1389336,144.1024
LDGTS(27:2/0:0),624.519759,606.5091947,236.1494836,218.1389236,144.1024
LDGTS(27:3/0:0),622.504109,604.4935447,236.1494735,218.1389135,144.1024
LDGTS(27:4/0:0),620.488459,602.4778946,236.1494634,218.1389034,144.1024
LDGTS(27:5/0:0),618.472809,600.4622446,236.1494534,218.1388934,144.1024
LDGTS(27:6/0:0),616.457159,598.4465945,236.1494433,218.1388833,144.1024
LDGTS(28:0/0:0),642.566709,624.5561449,236.1495137,218.1389537,144.1024
LDGTS(28:1/0:0),640.551059,622.5404949,236.1495037,218.1389437,144.1024
LDGTS(28:2/0:0),638.535409,620.5248448,236.1494936,218.1389336,144.1024
LDGTS(28:3/0:0),636.519759,618.5091947,236.1494836,218.1389236,144.1024
LDGTS(28:4/0:0),634.504109,616.4935447,236.1494735,218.1389135,144.1024
LDGTS(28:5/0:0),632.488459,614.4778946,236.1494634,218.1389034,144.1024
LDGTS(28:6/0:0),630.472809,612.4622446,236.1494534,218.1388934,144.1024
LDGTS(28:7/0:0),628.457159,610.4465945,236.1494433,218.1388833,144.1024
LDGTS(28:8/0:0),626.441509,608.4309444,236.1494332,218.1388732,144.1024
LDGTS(29:0/0:0),656.582359,638.571795,236.1495238,218.1389638,144.1024
LDGTS(29:1/0:0),654.566709,636.5561449,236.1495137,218.1389537,144.1024
LDGTS(29:2/0:0),652.551059,634.5404949,236.1495037,218.1389437,144.1024
LDGTS(29:3/0:0),650.535409,632.5248448,236.1494936,218.1389336,144.1024
LDGTS(29:4/0:0),648.519759,630.5091947,236.1494836,218.1389236,144.1024
LDGTS(29:5/0:0),646.504109,628.4935447,236.1494735,218.1389135,144.1024
LDGTS(29:6/0:0),644.488459,626.4778946,236.1494634,218.1389034,144.1024
LDGTS(30:0/0:0),670.598009,652.5874451,236.1495339,218.1389739,144.1024
LDGTS(30:1/0:0),668.582359,650.571795,236.1495238,218.1389638,144.1024
LDGTS(30:2/0:0),666.566709,648.5561449,236.1495137,218.1389537,144.1024
LDGTS(30:3/0:0),664.551059,646.5404949,236.1495037,218.1389437,144.1024
LDGTS(30:4/0:0),662.535409,644.5248448,236.1494936,218.1389336,144.1024
LDGTS(30:5/0:0),660.519759,642.5091947,236.1494836,218.1389236,144.1024
LDGTS(30:6/0:0),658.504109,640.4935447,236.1494735,218.1389135,144.1024
LDGTS(30:7/0:0),656.488459,638.4778946,236.1494634,218.1389034,144.1024
LDGTS(30:8/0:0),654.472809,636.4622446,236.1494534,218.1388934,144.1024
LDGTS(31:0/0:0),684.613659,666.6030951,236.1495439,218.1389839,144.1024
LDGTS(31:1/0:0),682.598009,664.5874451,236.1495339,218.1389739,144.1024
LDGTS(31:2/0:0),680.582359,662.571795,236.1495238,218.1389638,144.1024
LDGTS(31:3/0:0),678.566709,660.5561449,236.1495137,218.1389537,144.1024
LDGTS(31:4/0:0),676.551059,658.5404949,236.1495037,218.1389437,144.1024
LDGTS(31:5/0:0),674.535409,656.5248448,236.1494936,218.1389336,144.1024
LDGTS(31:6/0:0),672.519759,654.5091947,236.1494836,218.1389236,144.1024
LDGTS(32:0/0:0),698.629309,680.6187452,236.149554,218.138994,144.1024
LDGTS(32:1/0:0),696.613659,678.6030951,236.1495439,218.1389839,144.1024
LDGTS(32:2/0:0),694.598009,676.5874451,236.1495339,218.1389739,144.1024
LDGTS(32:3/0:0),692.582359,674.571795,236.1495238,218.1389638,144.1024
LDGTS(32:4/0:0),690.566709,672.5561449,236.1495137,218.1389537,144.1024
LDGTS(32:5/0:0),688.551059,670.5404949,236.1495037,218.1389437,144.1024
LDGTS(32:6/0:0),686.535409,668.5248448,236.1494936,218.1389336,144.1024
LDGTS(32:7/0:0),684.519759,666.5091947,236.1494836,218.1389236,144.1024
LDGTS(32:8/0:0),682.504109,664.4935447,236.1494735,218.1389135,144.1024
LDGTS(33:0/0:0),712.644959,694.6343953,236.1495641,218.1390041,144.1024
LDGTS(33:1/0:0),710.629309,692.6187452,236.149554,218.138994,144.1024
LDGTS(33:2/0:0),708.613659,690.6030951,236.1495439,218.1389839,144.1024
LDGTS(33:3/0:0),706.598009,688.5874451,236.1495339,218.1389739,144.1024
LDGTS(33:4/0:0),704.582359,686.571795,236.1495238,218.1389638,144.1024
LDGTS(33:5/0:0),702.566709,684.5561449,236.1495137,218.1389537,144.1024
LDGTS(33:6/0:0),700.551059,682.5404949,236.1495037,218.1389437,144.1024
LDGTS(34:0/0:0),726.66061,708.6500453,236.1495741,218.1390141,144.1024
LDGTS(34:1/0:0),724.644959,706.6343953,236.1495641,218.1390041,144.1024
LDGTS(34:2/0:0),722.629309,704.6187452,236.149554,218.138994,144.1024
LDGTS(34:3/0:0),720.613659,702.6030951,236.1495439,218.1389839,144.1024
LDGTS(34:4/0:0),718.598009,700.5874451,236.1495339,218.1389739,144.1024
LDGTS(34:5/0:0),716.582359,698.571795,236.1495238,218.1389638,144.1024
LDGTS(34:6/0:0),714.566709,696.5561449,236.1495137,218.1389537,144.1024
LDGTS(34:7/0:0),712.551059,694.5404949,236.1495037,218.1389437,144.1024
LDGTS(34:8/0:0),710.535409,692.5248448,236.1494936,218.1389336,144.1024
LDGTS(34:9/0:0),708.519759,690.5091947,236.1494836,218.1389236,144.1024
LDGTS(35:0/0:0),740.67626,722.6656954,236.1495842,218.1390242,144.1024
LDGTS(35:1/0:0),738.66061,720.6500453,236.1495741,218.1390141,144.1024
LDGTS(35:2/0:0),736.644959,718.6343953,236.1495641,218.1390041,144.1024
LDGTS(35:3/0:0),734.629309,716.6187452,236.149554,218.138994,144.1024
LDGTS(35:4/0:0),732.613659,714.6030951,236.1495439,218.1389839,144.1024
LDGTS(35:5/0:0),730.598009,712.5874451,236.1495339,218.1389739,144.1024
LDGTS(36:0/0:0),754.69191,736.6813454,236.1495943,218.1390343,144.1024
