CSV File,Columns containing all necessary fragments for ID,Columns containing fragments where atleast one fragment must be observed for confirmation,Run DDA,Run AIF (Ignore this column if you don't have AIF data),By Class only - total C:DB,Polarity,Adduct,Notes
PEG_Pos.csv,3;4,,FALSE,FALSE,FALSE,Pos,[M+?]+,polyethylene glycol: Beta (multiple adducts)
CL_3Na_min2H.csv,3;4;5;6,,TRUE,TRUE,FALSE,Pos,[M+3Na-2H]+,Cardiolipin: further fragments known
LPC_neg_C2H3O2.csv,9,,TRUE,TRUE,FALSE,Neg,[M+C2H3O2]-,Lysophosphatidylcholine
PC_neg_C2H3O2.csv,3,9;10,TRUE,TRUE,FALSE,Neg,[M+C2H3O2]-,Phosphatidylcholine
PlasmanylLPC_neg_C2H3O2.csv,3,,TRUE,TRUE,FALSE,Neg,[M+C2H3O2]-,Plasmanyl lysophosphatidylcholine
PlasmanylPC_neg_C2H3O2.csv,3;9,,TRUE,TRUE,FALSE,Neg,[M+C2H3O2]-,Plasmanyl phosphatidylcholine
PlasmenylLPC_neg_C2H3O2.csv,3,,TRUE,TRUE,FALSE,Neg,[M+C2H3O2]-,Plasmenyl lysophosphatidylcholine
PlasmenylPC_neg_C2H3O2.csv,3;9,,TRUE,TRUE,FALSE,Neg,[M+C2H3O2]-,Plasmenyl phosphatidylcholine
DGDG_neg_C2H3O2.csv,9,11;12,TRUE,TRUE,FALSE,Neg,[M+C2H3O2]-,Digalactosyldiacylglycerol
ether_OxPC_neg_C2H3O2_MSDIAL.csv,3;6,,TRUE,TRUE,FALSE,Neg,[M+C2H3O2]-,ether-oxidized phosphatidylcholine
OxPC_neg_C2H3O2.csv,3;7,4;5;6,TRUE,TRUE,FALSE,Neg,[M+C2H3O2]-,oxidized phosphatidylcholine
SM_neg_C2H3O2.csv,3;4;5,,TRUE,TRUE,FALSE,Neg,[M+C2H3O2]-,Sphingomyelin
Cer_ADS_neg_C2H3O2.csv,3;14,,TRUE,TRUE,FALSE,Neg,[M+C2H3O2]-,Backbone: Dihydrosphingosine Fatty acid: a-hydroxy fatty acid
Cer_AP_neg_C2H3O2.csv,3;5,,TRUE,TRUE,FALSE,Neg,[M+C2H3O2]-,Backbone: Phytosphingosine Fatty acid: a-hydroxy fatty acid
