LPE,[M+H]+,NL_head,NL_R1CO,R1CO+,head
LPE(8:0)+H,342.167635,201.148525,216.06318,127.111755,142.02639
LPE(10:0)+H,370.198935,229.179825,216.06318,155.143055,142.02639
LPE(12:0)+H,398.230235,257.211125,216.06318,183.174355,142.02639
LPE(13:0)+H,412.245885,271.226775,216.06318,197.190005,142.02639
LPE(14:0)+H,426.261535,285.242425,216.06318,211.205655,142.02639
LPE(14:1)+H,424.245885,283.226775,216.06318,209.190005,142.02639
LPE(15:0)+H,440.277185,299.258075,216.06318,225.221305,142.02639
LPE(15:1)+H,438.261535,297.242425,216.06318,223.205655,142.02639
LPE(16:0)+H,454.292835,313.273725,216.06318,239.236955,142.02639
LPE(16:1)+H,452.277185,311.258075,216.06318,237.221305,142.02639
LPE(17:0)+H,468.308485,327.289375,216.06318,253.252605,142.02639
LPE(17:1)+H,466.292835,325.273725,216.06318,251.236955,142.02639
LPE(17:2)+H,464.277185,323.258075,216.06318,249.221305,142.02639
LPE(18:0)+H,482.324135,341.305025,216.06318,267.268255,142.02639
LPE(18:1)+H,480.308485,339.289375,216.06318,265.252605,142.02639
LPE(18:2)+H,478.292835,337.273725,216.06318,263.236955,142.02639
LPE(18:3)+H,476.277185,335.258075,216.06318,261.221305,142.02639
LPE(18:4)+H,474.261535,333.242425,216.06318,259.205655,142.02639
LPE(19:0)+H,496.339785,355.320675,216.06318,281.283905,142.02639
LPE(20:0)+H,510.355435,369.336325,216.06318,295.299555,142.02639
LPE(20:1)+H,508.339785,367.320675,216.06318,293.283905,142.02639
LPE(20:2)+H,506.324135,365.305025,216.06318,291.268255,142.02639
LPE(20:3)+H,504.308485,363.289375,216.06318,289.252605,142.02639
LPE(20:4)+H,502.292835,361.273725,216.06318,287.236955,142.02639
LPE(20:5)+H,500.277185,359.258075,216.06318,285.221305,142.02639
LPE(21:0)+H,524.371085,383.351975,216.06318,309.315205,142.02639
LPE(22:0)+H,538.386735,397.367625,216.06318,323.330855,142.02639
LPE(22:1)+H,536.371085,395.351975,216.06318,321.315205,142.02639
LPE(22:2)+H,534.355435,393.336325,216.06318,319.299555,142.02639
LPE(22:3)+H,532.339785,391.320675,216.06318,317.283905,142.02639
LPE(22:4)+H,530.324135,389.305025,216.06318,315.268255,142.02639
LPE(22:5)+H,528.308485,387.289375,216.06318,313.252605,142.02639
LPE(22:6)+H,526.292835,385.273725,216.06318,311.236955,142.02639
LPE(23:0)+H,552.402385,411.383275,216.06318,337.346505,142.02639
LPE(24:0)+H,566.418035,425.398925,216.06318,351.362155,142.02639
LPE(24:1)+H,564.402385,423.383275,216.06318,349.346505,142.02639
LPE(25:0)+H,580.433685,439.414575,216.06318,365.377805,142.02639
LPE(26:0)+H,594.449335,453.430225,216.06318,379.393455,142.02639
SPLASH_LPE(18:1(d7))+H,487.352375,346.333265,216.06318,272.296495,142.02639
