LPE,[M-H]-,NL_T1Ketene&serene,NL_T1RCOOH,T1_RCOO-, Glycerol-3-phosphate_NLH2O,H2PO4-,PO3-,EthanolaminePhosphate,EthanolaminePhosphate_NLH2O
LPE(8:0)-H,340.15309,214.048615,196.038055,143.107755,152.99586,96.96964,78.95852,140.01128,122.0007
LPE(10:0)-H,368.18439,214.048615,196.038055,171.139055,152.99586,96.96964,78.95852,140.01128,122.0007
LPE(12:0)-H,396.21569,214.048615,196.038055,199.170355,152.99586,96.96964,78.95852,140.01128,122.0007
LPE(13:0)-H,410.23134,214.048615,196.038055,213.186005,152.99586,96.96964,78.95852,140.01128,122.0007
LPE(14:0)-H,424.24699,214.048615,196.038055,227.201655,152.99586,96.96964,78.95852,140.01128,122.0007
LPE(14:1)-H,422.23134,214.048615,196.038055,225.186005,152.99586,96.96964,78.95852,140.01128,122.0007
LPE(15:0)-H,438.26264,214.048615,196.038055,241.217305,152.99586,96.96964,78.95852,140.01128,122.0007
LPE(15:1)-H,436.24699,214.048615,196.038055,239.201655,152.99586,96.96964,78.95852,140.01128,122.0007
LPE(16:0)-H,452.27829,214.048615,196.038055,255.232955,152.99586,96.96964,78.95852,140.01128,122.0007
LPE(16:1)-H,450.26264,214.048615,196.038055,253.217305,152.99586,96.96964,78.95852,140.01128,122.0007
LPE(17:0)-H,466.29394,214.048615,196.038055,269.248605,152.99586,96.96964,78.95852,140.01128,122.0007
LPE(17:1)-H,464.27829,214.048615,196.038055,267.232955,152.99586,96.96964,78.95852,140.01128,122.0007
LPE(17:2)-H,462.26264,214.048615,196.038055,265.217305,152.99586,96.96964,78.95852,140.01128,122.0007
LPE(18:0)-H,480.30959,214.048615,196.038055,283.264255,152.99586,96.96964,78.95852,140.01128,122.0007
LPE(18:1)-H,478.29394,214.048615,196.038055,281.248605,152.99586,96.96964,78.95852,140.01128,122.0007
LPE(18:2)-H,476.27829,214.048615,196.038055,279.232955,152.99586,96.96964,78.95852,140.01128,122.0007
LPE(18:3)-H,474.26264,214.048615,196.038055,277.217305,152.99586,96.96964,78.95852,140.01128,122.0007
LPE(18:4)-H,472.24699,214.048615,196.038055,275.201655,152.99586,96.96964,78.95852,140.01128,122.0007
LPE(19:0)-H,494.32524,214.048615,196.038055,297.279905,152.99586,96.96964,78.95852,140.01128,122.0007
LPE(20:0)-H,508.34089,214.048615,196.038055,311.295555,152.99586,96.96964,78.95852,140.01128,122.0007
LPE(20:1)-H,506.32524,214.048615,196.038055,309.279905,152.99586,96.96964,78.95852,140.01128,122.0007
LPE(20:2)-H,504.30959,214.048615,196.038055,307.264255,152.99586,96.96964,78.95852,140.01128,122.0007
LPE(20:3)-H,502.29394,214.048615,196.038055,305.248605,152.99586,96.96964,78.95852,140.01128,122.0007
LPE(20:4)-H,500.27829,214.048615,196.038055,303.232955,152.99586,96.96964,78.95852,140.01128,122.0007
LPE(20:5)-H,498.26264,214.048615,196.038055,301.217305,152.99586,96.96964,78.95852,140.01128,122.0007
LPE(21:0)-H,522.35654,214.048615,196.038055,325.311205,152.99586,96.96964,78.95852,140.01128,122.0007
LPE(22:0)-H,536.37219,214.048615,196.038055,339.326855,152.99586,96.96964,78.95852,140.01128,122.0007
LPE(22:1)-H,534.35654,214.048615,196.038055,337.311205,152.99586,96.96964,78.95852,140.01128,122.0007
LPE(22:2)-H,532.34089,214.048615,196.038055,335.295555,152.99586,96.96964,78.95852,140.01128,122.0007
LPE(22:3)-H,530.32524,214.048615,196.038055,333.279905,152.99586,96.96964,78.95852,140.01128,122.0007
LPE(22:4)-H,528.30959,214.048615,196.038055,331.264255,152.99586,96.96964,78.95852,140.01128,122.0007
LPE(22:5)-H,526.29394,214.048615,196.038055,329.248605,152.99586,96.96964,78.95852,140.01128,122.0007
LPE(22:6)-H,524.27829,214.048615,196.038055,327.232955,152.99586,96.96964,78.95852,140.01128,122.0007
LPE(23:0)-H,550.38784,214.048615,196.038055,353.342505,152.99586,96.96964,78.95852,140.01128,122.0007
LPE(24:0)-H,564.40349,214.048615,196.038055,367.358155,152.99586,96.96964,78.95852,140.01128,122.0007
LPE(24:1)-H,562.38784,214.048615,196.038055,365.342505,152.99586,96.96964,78.95852,140.01128,122.0007
LPE(25:0)-H,578.41914,214.048615,196.038055,381.373805,152.99586,96.96964,78.95852,140.01128,122.0007
LPE(26:0)-H,592.43479,214.048615,196.038055,395.389455,152.99586,96.96964,78.95852,140.01128,122.0007
SPLASH_LPE(18:1(d7))-H,485.33783,214.048615,196.038055,288.292495,152.99586,96.96964,78.95852,140.01128,122.0007
