MGDG,[M+H]+,SN1_acyl_loss,SN1-H2O,SN2_acyl_loss,SN2-H2O
MGDG(2:0_2:0)+H,339.12857,296.11019,278.09963,296.11019,278.09963
MGDG(2:0_3:0)+H,353.1442,310.12582,292.11526,296.11018,278.09962
MGDG(2:0_4:0)+H,367.15987,324.14149,306.13093,296.11021,278.09965
MGDG(2:0_5:0)+H,381.17551,338.15713,320.14657,296.11021,278.09965
MGDG(2:0_6:0)+H,395.19117,352.17279,334.16223,296.11023,278.09967
MGDG(2:0_7:0)+H,409.20682,366.18844,348.17788,296.11024,278.09968
MGDG(2:0_8:0)+H,423.22247,380.20409,362.19353,296.11025,278.09969
MGDG(2:0_9:0)+H,437.2381,394.21972,376.20916,296.11024,278.09968
MGDG(2:0_10:0)+H,451.25377,408.23539,390.22483,296.11027,278.09971
MGDG(2:0_11:0)+H,465.26942,422.25104,404.24048,296.11028,278.09972
MGDG(2:0_12:0)+H,479.28507,436.26669,418.25613,296.11029,278.09973
MGDG(2:0_13:0)+H,493.30073,450.28235,432.27179,296.11031,278.09975
MGDG(2:0_14:0)+H,507.31637,464.29799,446.28743,296.11031,278.09975
MGDG(2:0_14:1)+H,505.30073,462.28235,444.27179,296.11031,278.09975
MGDG(2:0_15:0)+H,521.33204,478.31366,460.3031,296.11034,278.09978
MGDG(2:0_15:1)+H,519.31637,476.29799,458.28743,296.11031,278.09975
MGDG(2:0_16:0)+H,535.34767,492.32929,474.31873,296.11033,278.09977
MGDG(2:0_16:1)+H,533.33204,490.31366,472.3031,296.11034,278.09978
MGDG(2:0_17:0)+H,549.36327,506.34489,488.33433,296.11029,278.09973
MGDG(2:0_17:1)+H,547.34767,504.32929,486.31873,296.11033,278.09977
MGDG(2:0_17:2)+H,545.33204,502.31366,484.3031,296.11034,278.09978
MGDG(2:0_18:0)+H,563.37897,520.36059,502.35003,296.11035,278.09979
MGDG(2:0_18:1)+H,561.36327,518.34489,500.33433,296.11029,278.09973
MGDG(2:0_18:2)+H,559.34767,516.32929,498.31873,296.11033,278.09977
MGDG(2:0_18:3)+H,557.33204,514.31366,496.3031,296.11034,278.09978
MGDG(2:0_18:4)+H,555.31637,512.29799,494.28743,296.11031,278.09975
MGDG(2:0_19:0)+H,577.39457,534.37619,516.36563,296.11031,278.09975
MGDG(2:0_20:0)+H,591.41027,548.39189,530.38133,296.11037,278.09981
MGDG(2:0_20:1)+H,589.39457,546.37619,528.36563,296.11031,278.09975
MGDG(2:0_20:2)+H,587.37897,544.36059,526.35003,296.11035,278.09979
MGDG(2:0_20:3)+H,585.36327,542.34489,524.33433,296.11029,278.09973
MGDG(2:0_20:4)+H,583.34767,540.32929,522.31873,296.11033,278.09977
MGDG(2:0_20:5)+H,581.33204,538.31366,520.3031,296.11034,278.09978
MGDG(2:0_21:0)+H,605.42591,562.40753,544.39697,296.11037,278.09981
MGDG(2:0_22:0)+H,619.44157,576.42319,558.41263,296.11039,278.09983
MGDG(2:0_22:1)+H,617.42591,574.40753,556.39697,296.11037,278.09981
MGDG(2:0_22:2)+H,615.41027,572.39189,554.38133,296.11037,278.09981
MGDG(2:0_22:4)+H,611.37897,568.36059,550.35003,296.11035,278.09979
MGDG(2:0_22:5)+H,609.36327,566.34489,548.33433,296.11029,278.09973
MGDG(2:0_22:6)+H,607.34767,564.32929,546.31873,296.11033,278.09977
MGDG(2:0_23:0)+H,633.45722,590.43884,572.42828,296.1104,278.09984
MGDG(2:0_24:0)+H,647.47287,604.45449,586.44393,296.11041,278.09985
MGDG(2:0_24:1)+H,645.45722,602.43884,584.42828,296.1104,278.09984
MGDG(2:0_24:4)+H,639.41027,596.39189,578.38133,296.11037,278.09981
MGDG(2:0_25:0)+H,661.48853,618.47015,600.45959,296.11043,278.09987
MGDG(2:0_26:0)+H,675.50417,632.48579,614.47523,296.11043,278.09987
MGDG(2:0_26:1)+H,673.48853,630.47015,612.45959,296.11043,278.09987
MGDG(2:0_26:2)+H,671.47287,628.45449,610.44393,296.11041,278.09985
MGDG(3:0_2:0)+H,353.1442,296.11018,278.09962,310.12582,292.11526
MGDG(3:0_3:0)+H,367.15987,310.12585,292.11529,310.12585,292.11529
MGDG(3:0_4:0)+H,381.17551,324.14149,306.13093,310.12585,292.11529
MGDG(3:0_5:0)+H,395.19117,338.15715,320.14659,310.12587,292.11531
MGDG(3:0_6:0)+H,409.20682,352.1728,334.16224,310.12588,292.11532
MGDG(3:0_7:0)+H,423.22247,366.18845,348.17789,310.12589,292.11533
MGDG(3:0_8:0)+H,437.2381,380.20408,362.19352,310.12588,292.11532
MGDG(3:0_9:0)+H,451.25377,394.21975,376.20919,310.12591,292.11535
MGDG(3:0_10:0)+H,465.26942,408.2354,390.22484,310.12592,292.11536
MGDG(3:0_11:0)+H,479.28507,422.25105,404.24049,310.12593,292.11537
MGDG(3:0_12:0)+H,493.30073,436.26671,418.25615,310.12595,292.11539
MGDG(3:0_13:0)+H,507.31637,450.28235,432.27179,310.12595,292.11539
MGDG(3:0_14:0)+H,521.33204,464.29802,446.28746,310.12598,292.11542
MGDG(3:0_14:1)+H,519.31637,462.28235,444.27179,310.12595,292.11539
MGDG(3:0_15:0)+H,535.34767,478.31365,460.30309,310.12597,292.11541
MGDG(3:0_15:1)+H,533.33204,476.29802,458.28746,310.12598,292.11542
MGDG(3:0_16:0)+H,549.36327,492.32925,474.31869,310.12593,292.11537
MGDG(3:0_16:1)+H,547.34767,490.31365,472.30309,310.12597,292.11541
MGDG(3:0_17:0)+H,563.37897,506.34495,488.33439,310.12599,292.11543
MGDG(3:0_17:1)+H,561.36327,504.32925,486.31869,310.12593,292.11537
MGDG(3:0_17:2)+H,559.34767,502.31365,484.30309,310.12597,292.11541
MGDG(3:0_18:0)+H,577.39457,520.36055,502.34999,310.12595,292.11539
MGDG(3:0_18:1)+H,575.37897,518.34495,500.33439,310.12599,292.11543
MGDG(3:0_18:2)+H,573.36327,516.32925,498.31869,310.12593,292.11537
MGDG(3:0_18:3)+H,571.34767,514.31365,496.30309,310.12597,292.11541
MGDG(3:0_18:4)+H,569.33204,512.29802,494.28746,310.12598,292.11542
MGDG(3:0_19:0)+H,591.41027,534.37625,516.36569,310.12601,292.11545
MGDG(3:0_20:0)+H,605.42591,548.39189,530.38133,310.12601,292.11545
MGDG(3:0_20:1)+H,603.41027,546.37625,528.36569,310.12601,292.11545
MGDG(3:0_20:2)+H,601.39457,544.36055,526.34999,310.12595,292.11539
MGDG(3:0_20:3)+H,599.37897,542.34495,524.33439,310.12599,292.11543
MGDG(3:0_20:4)+H,597.36327,540.32925,522.31869,310.12593,292.11537
MGDG(3:0_20:5)+H,595.34767,538.31365,520.30309,310.12597,292.11541
MGDG(3:0_21:0)+H,619.44157,562.40755,544.39699,310.12603,292.11547
MGDG(3:0_22:0)+H,633.45722,576.4232,558.41264,310.12604,292.11548
MGDG(3:0_22:1)+H,631.44157,574.40755,556.39699,310.12603,292.11547
