MGDG,[M+NH4]+,DG [M+H]+,DG [M+H-H2O]+ ,sn1_NL,sn2_NL,sn1_acylChain([RC=O]+),sn2_acylChain([RC=O]+)
MGDG(10:0_10:0)+NH4,580.40552,401.32622,383.31565,229.17998,229.17998,155.1431,155.1431
MGDG(10:0_11:0)+NH4,594.42112,415.34182,397.33125,243.19558,229.17994,155.1431,169.15874
MGDG(10:0_12:0)+NH4,608.43682,429.35752,411.34695,257.21128,229.18,155.1431,183.17438
MGDG(10:0_13:0)+NH4,622.45246,443.37316,425.36259,271.22692,229.18,155.1431,197.19002
MGDG(10:0_14:0)+NH4,636.46812,457.38882,439.37825,285.24258,229.18002,155.1431,211.20566
MGDG(10:0_14:1)+NH4,634.45246,455.37316,437.36259,283.22692,229.18,155.1431,209.19002
MGDG(10:0_15:0)+NH4,650.48377,471.40447,453.3939,299.25823,229.18003,155.1431,225.2213
MGDG(10:0_15:1)+NH4,648.46812,469.38882,451.37825,297.24258,229.18002,155.1431,223.20566
MGDG(10:0_16:0)+NH4,664.49942,485.42012,467.40955,313.27388,229.18004,155.1431,239.23694
MGDG(10:0_16:1)+NH4,662.48377,483.40447,465.3939,311.25823,229.18003,155.1431,237.2213
MGDG(10:0_17:0)+NH4,678.51508,499.43578,481.42521,327.28954,229.18006,155.1431,253.25258
MGDG(10:0_17:1)+NH4,676.49942,497.42012,479.40955,325.27388,229.18004,155.1431,251.23694
MGDG(10:0_17:2)+NH4,674.48377,495.40447,477.3939,323.25823,229.18003,155.1431,249.2213
MGDG(10:0_18:0)+NH4,692.53072,513.45142,495.44085,341.30518,229.18006,155.1431,267.26822
MGDG(10:0_18:1)+NH4,690.51508,511.43578,493.42521,339.28954,229.18006,155.1431,265.25258
MGDG(10:0_18:2)+NH4,688.49942,509.42012,491.40955,337.27388,229.18004,155.1431,263.23694
MGDG(10:0_18:3)+NH4,686.48377,507.40447,489.3939,335.25823,229.18003,155.1431,261.2213
MGDG(10:0_18:4)+NH4,684.46812,505.38882,487.37825,333.24258,229.18002,155.1431,259.20566
MGDG(10:0_19:0)+NH4,706.54642,527.46712,509.45655,355.32088,229.18012,155.1431,281.28386
MGDG(10:0_20:0)+NH4,720.56202,541.48272,523.47215,369.33648,229.18008,155.1431,295.2995
MGDG(10:0_20:1)+NH4,718.54642,539.46712,521.45655,367.32088,229.18012,155.1431,293.28386
MGDG(10:0_20:2)+NH4,716.53072,537.45142,519.44085,365.30518,229.18006,155.1431,291.26822
MGDG(10:0_20:3)+NH4,714.51508,535.43578,517.42521,363.28954,229.18006,155.1431,289.25258
MGDG(10:0_20:4)+NH4,712.49942,533.42012,515.40955,361.27388,229.18004,155.1431,287.23694
MGDG(10:0_20:5)+NH4,710.48377,531.40447,513.3939,359.25823,229.18003,155.1431,285.2213
MGDG(10:0_21:0)+NH4,734.57762,555.49832,537.48775,383.35208,229.18004,155.1431,309.31514
MGDG(10:0_22:0)+NH4,748.59332,569.51402,551.50345,397.36778,229.1801,155.1431,323.33078
MGDG(10:0_22:1)+NH4,746.57762,567.49832,549.48775,395.35208,229.18004,155.1431,321.31514
MGDG(10:0_22:2)+NH4,744.56202,565.48272,547.47215,393.33648,229.18008,155.1431,319.2995
MGDG(10:0_22:4)+NH4,740.53072,561.45142,543.44085,389.30518,229.18006,155.1431,315.26822
MGDG(10:0_22:5)+NH4,738.51508,559.43578,541.42521,387.28954,229.18006,155.1431,313.25258
MGDG(10:0_22:6)+NH4,736.49942,557.42012,539.40955,385.27388,229.18004,155.1431,311.23694
MGDG(10:0_23:0)+NH4,762.60895,583.52965,565.51908,411.38341,229.18009,155.1431,337.34642
MGDG(10:0_24:0)+NH4,776.62462,597.54532,579.53475,425.39908,229.18012,155.1431,351.36206
MGDG(10:0_24:1)+NH4,774.60895,595.52965,577.51908,423.38341,229.18009,155.1431,349.34642
MGDG(10:0_24:4)+NH4,768.56202,589.48272,571.47215,417.33648,229.18008,155.1431,343.2995
MGDG(10:0_25:0)+NH4,790.64027,611.56097,593.5504,439.41473,229.18013,155.1431,365.3777
MGDG(10:0_26:0)+NH4,804.65592,625.57662,607.56605,453.43038,229.18014,155.1431,379.39334
MGDG(10:0_26:1)+NH4,802.64027,623.56097,605.5504,451.41473,229.18013,155.1431,377.3777
MGDG(10:0_26:2)+NH4,800.62462,621.54532,603.53475,449.39908,229.18012,155.1431,375.36206
MGDG(11:0_11:0)+NH4,608.43682,429.35752,411.34695,243.19564,243.19564,169.15874,169.15874
MGDG(11:0_12:0)+NH4,622.45246,443.37316,425.36259,257.21128,243.19564,169.15874,183.17438
