MGDG,[M+NH4]+,DG [M+H]+,DG [M+H-H2O]+ 
MGDG(10:0)+NH4,440.24902,261.16972,243.15915
MGDG(11:0)+NH4,454.26465,275.18535,257.17478
MGDG(12:0)+NH4,468.28032,289.20102,271.19045
MGDG(13:0)+NH4,482.29597,303.21667,285.2061
MGDG(14:0)+NH4,496.31162,317.23232,299.22175
MGDG(15:0)+NH4,510.32728,331.24798,313.23741
MGDG(16:0)+NH4,524.34292,345.26362,327.25305
MGDG(16:1)+NH4,522.32728,343.24798,325.23741
MGDG(17:0)+NH4,538.35859,359.27929,341.26872
MGDG(17:1)+NH4,536.34292,357.26362,339.25305
MGDG(18:0)+NH4,552.37422,373.29492,355.28435
MGDG(18:1)+NH4,550.35859,371.27929,353.26872
MGDG(19:0)+NH4,566.38982,387.31052,369.29995
MGDG(19:1)+NH4,564.37422,385.29492,367.28435
MGDG(19:2)+NH4,562.35859,383.27929,365.26872
MGDG(20:0)+NH4,580.40552,401.32622,383.31565
MGDG(20:1)+NH4,578.38982,399.31052,381.29995
MGDG(20:2)+NH4,576.37422,397.29492,379.28435
MGDG(20:3)+NH4,574.35859,395.27929,377.26872
MGDG(20:4)+NH4,572.34292,393.26362,375.25305
MGDG(21:0)+NH4,594.42112,415.34182,397.33125
MGDG(21:1)+NH4,592.40552,413.32622,395.31565
MGDG(21:2)+NH4,590.38982,411.31052,393.29995
MGDG(21:3)+NH4,588.37422,409.29492,391.28435
MGDG(21:4)+NH4,586.35859,407.27929,389.26872
MGDG(22:0)+NH4,608.43682,429.35752,411.34695
MGDG(22:1)+NH4,606.42112,427.34182,409.33125
MGDG(22:2)+NH4,604.40552,425.32622,407.31565
MGDG(22:3)+NH4,602.38982,423.31052,405.29995
MGDG(22:4)+NH4,600.37422,421.29492,403.28435
MGDG(22:5)+NH4,598.35859,419.27929,401.26872
MGDG(23:0)+NH4,622.45246,443.37316,425.36259
MGDG(23:1)+NH4,620.43682,441.35752,423.34695
MGDG(23:2)+NH4,618.42112,439.34182,421.33125
MGDG(23:3)+NH4,616.40552,437.32622,419.31565
MGDG(23:4)+NH4,614.38982,435.31052,417.29995
MGDG(23:5)+NH4,612.37422,433.29492,415.28435
MGDG(24:0)+NH4,636.46812,457.38882,439.37825
MGDG(24:1)+NH4,634.45246,455.37316,437.36259
MGDG(24:2)+NH4,632.43682,453.35752,435.34695
MGDG(24:3)+NH4,630.42112,451.34182,433.33125
MGDG(24:4)+NH4,628.40552,449.32622,431.31565
MGDG(24:5)+NH4,626.38982,447.31052,429.29995
MGDG(24:6)+NH4,624.37422,445.29492,427.28435
MGDG(25:0)+NH4,650.48377,471.40447,453.3939
MGDG(25:1)+NH4,648.46812,469.38882,451.37825
MGDG(25:2)+NH4,646.45246,467.37316,449.36259
MGDG(25:3)+NH4,644.43682,465.35752,447.34695
MGDG(25:4)+NH4,642.42112,463.34182,445.33125
MGDG(25:5)+NH4,640.40552,461.32622,443.31565
MGDG(25:6)+NH4,638.38982,459.31052,441.29995
MGDG(26:0)+NH4,664.49942,485.42012,467.40955
MGDG(26:1)+NH4,662.48377,483.40447,465.3939
MGDG(26:2)+NH4,660.46812,481.38882,463.37825
MGDG(26:3)+NH4,658.45246,479.37316,461.36259
MGDG(26:4)+NH4,656.43682,477.35752,459.34695
MGDG(26:5)+NH4,654.42112,475.34182,457.33125
