MMPE,[M-H]-,T1_RCOO-,T2_RCOO-
MMPE(8:0_8:0)-H,480.27317,143.10775,143.10775
MMPE(8:0_10:0)-H,508.30447,143.10775,171.13905
MMPE(8:0_12:0)-H,536.33577,143.10775,199.17035
MMPE(8:0_13:0)-H,550.35147,143.10775,213.18605
MMPE(8:0_14:0)-H,564.36707,143.10775,227.20165
MMPE(8:0_14:1)-H,562.35147,143.10775,225.18605
MMPE(8:0_15:0)-H,578.38277,143.10775,241.21735
MMPE(8:0_15:1)-H,576.36707,143.10775,239.20165
MMPE(8:0_16:0)-H,592.39837,143.10775,255.23295
MMPE(8:0_16:1)-H,590.38277,143.10775,253.21735
MMPE(8:0_17:0)-H,606.41407,143.10775,269.24865
MMPE(8:0_17:1)-H,604.39837,143.10775,267.23295
MMPE(8:0_17:2)-H,602.38277,143.10775,265.21735
MMPE(8:0_18:0)-H,620.42967,143.10775,283.26425
MMPE(8:0_18:1)-H,618.41407,143.10775,281.24865
MMPE(8:0_18:2)-H,616.39837,143.10775,279.23295
MMPE(8:0_18:3)-H,614.38277,143.10775,277.21735
MMPE(8:0_18:4)-H,612.36707,143.10775,275.20165
MMPE(8:0_19:0)-H,634.44537,143.10775,297.27995
MMPE(8:0_20:0)-H,648.46097,143.10775,311.29555
MMPE(8:0_20:1)-H,646.44537,143.10775,309.27995
MMPE(8:0_20:2)-H,644.42967,143.10775,307.26425
MMPE(8:0_20:3)-H,642.41407,143.10775,305.24865
MMPE(8:0_20:4)-H,640.39837,143.10775,303.23295
MMPE(8:0_20:5)-H,638.38277,143.10775,301.21735
MMPE(8:0_21:0)-H,662.47667,143.10775,325.31125
MMPE(8:0_22:0)-H,676.49227,143.10775,339.32685
MMPE(8:0_22:1)-H,674.47667,143.10775,337.31125
MMPE(8:0_22:2)-H,672.46097,143.10775,335.29555
MMPE(8:0_22:3)-H,670.44537,143.10775,333.27995
MMPE(8:0_22:4)-H,668.42967,143.10775,331.26425
MMPE(8:0_22:5)-H,666.41407,143.10775,329.24865
MMPE(8:0_22:6)-H,664.39837,143.10775,327.23295
MMPE(8:0_23:0)-H,690.50797,143.10775,353.34255
MMPE(8:0_24:0)-H,704.52357,143.10775,367.35815
MMPE(8:0_24:1)-H,702.50797,143.10775,365.34255
MMPE(8:0_25:0)-H,718.53927,143.10775,381.37385
MMPE(8:0_26:0)-H,732.55487,143.10775,395.38945
MMPE(10:0_10:0)-H,536.33577,171.13905,171.13905
MMPE(10:0_12:0)-H,564.36707,171.13905,199.17035
MMPE(10:0_13:0)-H,578.38277,171.13905,213.18605
MMPE(10:0_14:0)-H,592.39837,171.13905,227.20165
MMPE(10:0_14:1)-H,590.38277,171.13905,225.18605
MMPE(10:0_15:0)-H,606.41407,171.13905,241.21735
MMPE(10:0_15:1)-H,604.39837,171.13905,239.20165
MMPE(10:0_16:0)-H,620.42967,171.13905,255.23295
MMPE(10:0_16:1)-H,618.41407,171.13905,253.21735
MMPE(10:0_17:0)-H,634.44537,171.13905,269.24865
MMPE(10:0_17:1)-H,632.42967,171.13905,267.23295
MMPE(10:0_17:2)-H,630.41407,171.13905,265.21735
MMPE(10:0_18:0)-H,648.46097,171.13905,283.26425
MMPE(10:0_18:1)-H,646.44537,171.13905,281.24865
MMPE(10:0_18:2)-H,644.42967,171.13905,279.23295
MMPE(10:0_18:3)-H,642.41407,171.13905,277.21735
MMPE(10:0_18:4)-H,640.39837,171.13905,275.20165
