OxPE,[M+H]+,NL_head,head
OxPE(10:0(KeKe))+H,412.13674,271.11763,142.02639
OxPE(10:0(KeKeO))+H,428.13166,287.11255,142.02639
OxPE(10:0(KeOKeO))+H,444.12658,303.10747,142.02639
OxPE(10:1(KeKe))+H,410.1211,269.10199,142.02639
OxPE(10:1(KeKeO))+H,426.11602,285.09691,142.02639
OxPE(10:1(KeOKeO))+H,442.11094,301.09183,142.02639
OxPE(11:0(Ke))+H,412.17313,271.15402,142.02639
OxPE(11:0(KeKe))+H,426.15239,285.13328,142.02639
OxPE(11:0(KeO))+H,428.16805,287.14894,142.02639
OxPE(11:0(KeKeO))+H,442.14731,301.1282,142.02639
OxPE(11:0(KeOKeO))+H,458.14223,317.12312,142.02639
OxPE(11:1(KeKe))+H,424.13675,283.11764,142.02639
OxPE(11:1(KeKeO))+H,440.13167,299.11256,142.02639
OxPE(11:1(KeOKeO))+H,456.12659,315.10748,142.02639
OxPE(12:0(Ke))+H,426.18878,285.16967,142.02639
OxPE(12:0(KeKe))+H,440.16804,299.14893,142.02639
OxPE(12:0(KeO))+H,442.1837,301.16459,142.02639
OxPE(12:0(KeKeO))+H,456.16296,315.14385,142.02639
OxPE(12:0(KeOKeO))+H,472.15788,331.13877,142.02639
OxPE(12:1(KeKe))+H,438.1524,297.13329,142.02639
OxPE(12:1(KeKeO))+H,454.14732,313.12821,142.02639
OxPE(12:1(KeOKeO))+H,470.14224,329.12313,142.02639
OxPE(12:2(KeKe))+H,436.13676,295.11765,142.02639
OxPE(12:2(KeOKe))+H,452.13167,311.11256,142.02639
OxPE(12:2(KeOKeO))+H,468.12659,327.10748,142.02639
OxPE(13:0(Ke))+H,440.20443,299.18532,142.02639
OxPE(13:0(KeKe))+H,454.18369,313.16458,142.02639
OxPE(13:0(KeO))+H,456.19935,315.18024,142.02639
OxPE(13:0(KeKeO))+H,470.17861,329.1595,142.02639
OxPE(13:0(KeOKeO))+H,486.17353,345.15442,142.02639
OxPE(13:1(KeKe))+H,452.16805,311.14894,142.02639
OxPE(13:1(KeKeO))+H,468.16297,327.14386,142.02639
OxPE(13:1(KeOKeO))+H,484.15789,343.13878,142.02639
OxPE(13:2(KeKe))+H,450.15241,309.1333,142.02639
OxPE(13:2(KeOKe))+H,466.14732,325.12821,142.02639
OxPE(13:2(KeOKeO))+H,482.14224,341.12313,142.02639
OxPE(14:0(Ke))+H,454.22008,313.20097,142.02639
OxPE(14:0(KeKe))+H,468.19934,327.18023,142.02639
OxPE(14:0(KeO))+H,470.215,329.19589,142.02639
OxPE(14:0(KeKeO))+H,484.19426,343.17515,142.02639
OxPE(14:0(KeOKeO))+H,500.18918,359.17007,142.02639
OxPE(14:1(Ke))+H,452.20444,311.18533,142.02639
OxPE(14:1(KeKe))+H,466.1837,325.16459,142.02639
OxPE(14:1(KeO))+H,468.19936,327.18025,142.02639
OxPE(14:1(KeKeO))+H,482.17862,341.15951,142.02639
OxPE(14:1(KeOKeO))+H,498.17354,357.15443,142.02639
OxPE(14:2(KeKe))+H,464.16805,323.14894,142.02639
OxPE(14:2(KeKeO))+H,480.16297,339.14386,142.02639
OxPE(14:2(KeOKeO))+H,496.15789,355.13878,142.02639
OxPE(15:0(Ke))+H,468.23573,327.21662,142.02639
OxPE(15:0(KeKe))+H,482.21499,341.19588,142.02639
OxPE(15:0(KeO))+H,484.23065,343.21154,142.02639
OxPE(15:0(KeKeO))+H,498.20991,357.1908,142.02639
OxPE(15:0(KeOKeO))+H,514.20483,373.18572,142.02639
OxPE(15:1(Ke))+H,466.22009,325.20098,142.02639
