OxPE,[M+Na]+,PreCursor -43,PreCursor -141,M+Na-43-SN1-H acyl loss,M+Na-43-SN2-H acyl loss,phosphoethanolamine+Na
OxPE(8:0_5:0(CHO))+Na,462.1863678,419.1441678,321.1672735,275.0292678,303.0969578,164.00888
OxPE(8:0_6:0(CHO))+Na,476.2020178,433.1598178,335.1829235,289.0449178,303.0969578,164.00888
OxPE(8:0_7:0(CHO))+Na,490.2176678,447.1754678,349.1985735,303.0605678,303.0969578,164.00888
OxPE(8:0_8:0(CHO))+Na,504.2333178,461.1911178,363.2142235,317.0762178,303.0969578,164.00888
OxPE(8:0_9:0(CHO))+Na,518.2489678,475.2067678,377.2298735,331.0918678,303.0969578,164.00888
OxPE(8:0_10:0(CHO))+Na,532.2646178,489.2224178,391.2455235,345.1075178,303.0969578,164.00888
OxPE(8:0_11:0(CHO))+Na,546.2802678,503.2380678,405.2611735,359.1231678,303.0969578,164.00888
OxPE(8:0_12:0(CHO))+Na,560.2959178,517.2537178,419.2768235,373.1388178,303.0969578,164.00888
OxPE(8:0_13:0(CHO))+Na,574.3115678,531.2693678,433.2924735,387.1544678,303.0969578,164.00888
OxPE(8:0_14:0(CHO))+Na,588.3272178,545.2850178,447.3081235,401.1701178,303.0969578,164.00888
OxPE(8:0_15:0(CHO))+Na,602.3428678,559.3006678,461.3237735,415.1857678,303.0969578,164.00888
OxPE(8:0_6:1(CHO))+Na,474.1863778,431.1441778,333.1672835,287.0292778,303.0969578,164.00888
OxPE(8:0_7:1(CHO))+Na,488.2020278,445.1598278,347.1829335,301.0449278,303.0969578,164.00888
OxPE(8:0_8:1(CHO))+Na,502.2176778,459.1754778,361.1985835,315.0605778,303.0969578,164.00888
OxPE(8:0_9:1(CHO))+Na,516.2333278,473.1911278,375.2142335,329.0762278,303.0969578,164.00888
OxPE(8:0_9:2(CHO))+Na,514.2176778,471.1754778,373.1985835,327.0605778,303.0969578,164.00888
OxPE(8:0_10:1(CHO))+Na,530.2489778,487.2067778,389.2298835,343.0918778,303.0969578,164.00888
OxPE(8:0_10:2(CHO))+Na,528.2333278,485.1911278,387.2142335,341.0762278,303.0969578,164.00888
OxPE(8:0_11:1(CHO))+Na,544.2646278,501.2224278,403.2455335,357.1075278,303.0969578,164.00888
OxPE(8:0_11:2(CHO))+Na,542.2489778,499.2067778,401.2298835,355.0918778,303.0969578,164.00888
OxPE(8:0_12:1(CHO))+Na,558.2802778,515.2380778,417.2611835,371.1231778,303.0969578,164.00888
OxPE(8:0_12:2(CHO))+Na,556.2646278,513.2224278,415.2455335,369.1075278,303.0969578,164.00888
OxPE(8:0_12:3(CHO))+Na,554.2489778,511.2067778,413.2298835,367.0918778,303.0969578,164.00888
OxPE(8:0_13:1(CHO))+Na,572.2959278,529.2537278,431.2768335,385.1388278,303.0969578,164.00888
OxPE(8:0_13:2(CHO))+Na,570.2802778,527.2380778,429.2611835,383.1231778,303.0969578,164.00888
OxPE(8:0_13:3(CHO))+Na,568.2646278,525.2224278,427.2455335,381.1075278,303.0969578,164.00888
OxPE(8:0_14:1(CHO))+Na,586.3115778,543.2693778,445.2924835,399.1544778,303.0969578,164.00888
OxPE(8:0_14:2(CHO))+Na,584.2959278,541.2537278,443.2768335,397.1388278,303.0969578,164.00888
OxPE(8:0_14:3(CHO))+Na,582.2802778,539.2380778,441.2611835,395.1231778,303.0969578,164.00888
OxPE(8:0_15:1(CHO))+Na,600.3272278,557.2850278,459.3081335,413.1701278,303.0969578,164.00888
OxPE(8:0_15:2(CHO))+Na,598.3115778,555.2693778,457.2924835,411.1544778,303.0969578,164.00888
OxPE(8:0_15:3(CHO))+Na,596.2959278,553.2537278,455.2768335,409.1388278,303.0969578,164.00888
OxPE(8:0_15:4(CHO))+Na,594.2802778,551.2380778,453.2611835,407.1231778,303.0969578,164.00888
OxPE(8:0_16:1(CHO))+Na,614.3428778,571.3006778,473.3237835,427.1857778,303.0969578,164.00888
OxPE(8:0_16:2(CHO))+Na,612.3272278,569.2850278,471.3081335,425.1701278,303.0969578,164.00888
OxPE(8:0_16:3(CHO))+Na,610.3115778,567.2693778,469.2924835,423.1544778,303.0969578,164.00888
OxPE(8:0_16:4(CHO))+Na,608.2959278,565.2537278,467.2768335,421.1388278,303.0969578,164.00888
OxPE(8:0_17:4(CHO))+Na,622.3115778,579.2693778,481.2924835,435.1544778,303.0969578,164.00888
OxPE(8:0_18:4(CHO))+Na,636.3272278,593.2850278,495.3081335,449.1701278,303.0969578,164.00888
OxPE(8:0_18:5(CHO))+Na,634.3115778,591.2693778,493.2924835,447.1544778,303.0969578,164.00888
OxPE(8:0_19:4(CHO))+Na,650.3428778,607.3006778,509.3237835,463.1857778,303.0969578,164.00888
OxPE(8:0_19:5(CHO))+Na,648.3272278,605.2850278,507.3081335,461.1701278,303.0969578,164.00888
OxPE(8:0_3:0(COOH))+Na,450.1499878,407.1077878,309.1308935,262.9928878,303.0969578,164.00888
OxPE(8:0_4:0(COOH))+Na,464.1656378,421.1234378,323.1465435,277.0085378,303.0969578,164.00888
OxPE(8:0_5:0(COOH))+Na,478.1812878,435.1390878,337.1621935,291.0241878,303.0969578,164.00888
OxPE(8:0_6:0(COOH))+Na,492.1969378,449.1547378,351.1778435,305.0398378,303.0969578,164.00888
OxPE(8:0_7:0(COOH))+Na,506.2125878,463.1703878,365.1934935,319.0554878,303.0969578,164.00888
OxPE(8:0_8:0(COOH))+Na,520.2282378,477.1860378,379.2091435,333.0711378,303.0969578,164.00888
OxPE(8:0_9:0(COOH))+Na,534.2438878,491.2016878,393.2247935,347.0867878,303.0969578,164.00888
OxPE(8:0_10:0(COOH))+Na,548.2595378,505.2173378,407.2404435,361.1024378,303.0969578,164.00888
OxPE(8:0_11:0(COOH))+Na,562.2751878,519.2329878,421.2560935,375.1180878,303.0969578,164.00888
OxPE(8:0_12:0(COOH))+Na,576.2908378,533.2486378,435.2717435,389.1337378,303.0969578,164.00888
OxPE(8:0_13:0(COOH))+Na,590.3064878,547.2642878,449.2873935,403.1493878,303.0969578,164.00888
OxPE(8:0_14:0(COOH))+Na,604.3221378,561.2799378,463.3030435,417.1650378,303.0969578,164.00888
