PEG,[M+?]+,fragment 1,fragment 2
PEG(n=3_H+_CH2=0_DBE=6_),139.003,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=6_(1-NH3)),139.027,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=6_(2-NH3)),139.050,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=5_),141.019,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=5_(1-NH3)),141.042,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=5_(2-NH3)),141.066,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=4_),143.034,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=4_(1-NH3)),143.058,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=4_(2-NH3)),143.082,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=3_),145.050,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=3_(1-NH3)),145.074,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=3_(2-NH3)),145.098,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=2_),147.066,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=2_(1-NH3)),147.089,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=2_(2-NH3)),147.113,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=1_),149.081,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=1_(1-NH3)),149.105,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=1_(2-NH3)),149.129,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=0_),151.097,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=0_(1-NH3)),151.121,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=0_(2-NH3)),151.145,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=6_(1=O)),152.982,89.0602,133.0859
PEG(n=3_H+_CH2=1_DBE=6_),153.018,89.0602,133.0859
PEG(n=3_H+_CH2=1_DBE=6_(1-NH3)),153.042,89.0602,133.0859
PEG(n=3_H+_CH2=1_DBE=6_(2-NH3)),153.066,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=5_(1=O)),154.998,89.0602,133.0859
PEG(n=3_H+_CH2=1_DBE=5_),155.034,89.0602,133.0859
PEG(n=3_H+_CH2=1_DBE=5_(1-NH3)),155.058,89.0602,133.0859
PEG(n=3_H+_CH2=1_DBE=5_(2-NH3)),155.082,89.0602,133.0859
PEG(n=3_NH4+_CH2=0_DBE=6_),156.029,89.0602,133.0859
PEG(n=3_NH4+_CH2=0_DBE=6_(1-NH3)),156.053,89.0602,133.0859
PEG(n=3_NH4+_CH2=0_DBE=6_(2-NH3)),156.077,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=4_(1=O)),157.013,89.0602,133.0859
PEG(n=3_H+_CH2=1_DBE=4_),157.050,89.0602,133.0859
PEG(n=3_H+_CH2=1_DBE=4_(1-NH3)),157.074,89.0602,133.0859
