PEtOH,[M+NH4]+,[M-C2H7O4P+H]+,NL of SN1+H2O,NL of SN2+H2O,[M-SN1-126+H]+,[M-SN2-126+H]+,SN2-H2O,SN1-H2O,[C5H11O5P+H]+
PEtOH(12:0_12:0)+NH4,582.41297,439.3782,365.2089,365.2089,257.2112,257.2112,183.1742,183.1742,183.0417
PEtOH(12:0_13:0)+NH4,596.42867,453.3939,379.2245,365.2089,271.2269,257.2113,197.1899,183.1742,183.0417
PEtOH(12:0_13:1)+NH4,594.41297,451.3782,377.2089,365.2089,269.2112,257.2112,195.1742,183.1742,183.0417
PEtOH(12:0_14:0)+NH4,610.44427,467.4095,393.2401,365.2089,285.2425,257.2112,211.2055,183.1742,183.0417
PEtOH(12:0_14:1)+NH4,608.42867,465.3939,391.2245,365.2089,283.2269,257.2113,209.1899,183.1742,183.0417
PEtOH(12:0_15:0)+NH4,624.45997,481.4252,407.2559,365.2089,299.2582,257.2113,225.2211,183.1742,183.0417
PEtOH(12:0_15:1)+NH4,622.44427,479.4095,405.2401,365.2089,297.2425,257.2112,223.2055,183.1742,183.0417
PEtOH(12:0_16:0)+NH4,638.47557,495.4408,421.2715,365.2089,313.2738,257.2113,239.2368,183.1742,183.0417
PEtOH(12:0_16:1)+NH4,636.45997,493.4252,419.2559,365.2089,311.2582,257.2113,237.2211,183.1742,183.0417
PEtOH(12:0_16:2)+NH4,634.44427,491.4095,417.2401,365.2089,309.2425,257.2112,235.2055,183.1742,183.0417
PEtOH(12:0_16:3)+NH4,632.42867,489.3939,415.2245,365.2089,307.2269,257.2113,233.1899,183.1742,183.0417
PEtOH(12:0_16:4)+NH4,630.41297,487.3782,413.2089,365.2089,305.2112,257.2112,231.1742,183.1742,183.0417
PEtOH(12:0_17:0)+NH4,652.49117,509.4564,435.287,365.2089,327.2894,257.2112,253.2524,183.1742,183.0417
PEtOH(12:0_17:1)+NH4,650.47557,507.4408,433.2715,365.2089,325.2738,257.2113,251.2368,183.1742,183.0417
PEtOH(12:0_17:2)+NH4,648.45997,505.4252,431.2559,365.2089,323.2582,257.2113,249.2211,183.1742,183.0417
PEtOH(12:0_18:0)+NH4,666.50687,523.4721,449.3028,365.2089,341.3051,257.2113,267.2681,183.1742,183.0417
PEtOH(12:0_18:1)+NH4,664.49117,521.4564,447.287,365.2089,339.2894,257.2112,265.2524,183.1742,183.0417
PEtOH(12:0_18:2)+NH4,662.47557,519.4408,445.2715,365.2089,337.2738,257.2113,263.2368,183.1742,183.0417
PEtOH(12:0_18:3)+NH4,660.45997,517.4252,443.2559,365.2089,335.2582,257.2113,261.2212,183.1742,183.0417
PEtOH(12:0_18:4)+NH4,658.44427,515.4095,441.2401,365.2089,333.2425,257.2112,259.2055,183.1742,183.0417
PEtOH(12:0_18:5)+NH4,656.42867,513.3939,439.2245,365.2089,331.2269,257.2113,257.1899,183.1742,183.0417
PEtOH(12:0_19:0)+NH4,680.52247,537.4877,463.3184,365.2089,355.3207,257.2112,281.2837,183.1742,183.0417
PEtOH(12:0_19:1)+NH4,678.50687,535.4721,461.3028,365.2089,353.3051,257.2113,279.2681,183.1742,183.0417
PEtOH(12:0_19:2)+NH4,676.49117,533.4564,459.287,365.2089,351.2894,257.2112,277.2524,183.1742,183.0417
PEtOH(12:0_20:0)+NH4,694.53817,551.5034,477.334,365.2089,369.3364,257.2113,295.2993,183.1742,183.0417
PEtOH(12:0_20:1)+NH4,692.52247,549.4877,475.3184,365.2089,367.3207,257.2112,293.2837,183.1742,183.0417
PEtOH(12:0_20:2)+NH4,690.50687,547.4721,473.3028,365.2089,365.3051,257.2113,291.2681,183.1742,183.0417
PEtOH(12:0_20:3)+NH4,688.49117,545.4564,471.287,365.2089,363.2894,257.2112,289.2524,183.1742,183.0417
PEtOH(12:0_20:4)+NH4,686.47557,543.4408,469.2715,365.2089,361.2738,257.2113,287.2368,183.1742,183.0417
PEtOH(12:0_20:5)+NH4,684.45997,541.4252,467.2559,365.2089,359.2582,257.2113,285.2212,183.1742,183.0417
PEtOH(12:0_21:0)+NH4,708.55387,565.5191,491.3498,365.209,383.3521,257.2114,309.315,183.1742,183.0417
