PG,[M+H]+,NL Head,FA1_NL_OH,FA2_NL_OH,exp_1,exp_2,exp_3
PG(8:0_8:0)+H,499.26671,328.26081,201.1485,201.1485,71.0856,95.0855,123.1168
PG(8:0_10:0)+H,527.29801,356.29211,201.1485,229.1798,71.0856,95.0855,123.1168
PG(8:0_12:0)+H,555.32931,384.32341,201.1485,257.2111,71.0856,95.0855,123.1168
PG(8:0_13:0)+H,569.34501,398.33911,201.1485,271.2268,71.0856,95.0855,123.1168
PG(8:0_14:0)+H,583.36061,412.35471,201.1485,285.2424,71.0856,95.0855,123.1168
PG(8:0_14:1)+H,581.34501,410.33911,201.1485,283.2268,71.0856,95.0855,123.1168
PG(8:0_15:0)+H,597.37631,426.37041,201.1485,299.2581,71.0856,95.0855,123.1168
PG(8:0_15:1)+H,595.36061,424.35471,201.1485,297.2424,71.0856,95.0855,123.1168
PG(8:0_16:0)+H,611.39191,440.38601,201.1485,313.2737,71.0856,95.0855,123.1168
PG(8:0_16:1)+H,609.37631,438.37041,201.1485,311.2581,71.0856,95.0855,123.1168
PG(8:0_17:0)+H,625.40761,454.40171,201.1485,327.2894,71.0856,95.0855,123.1168
PG(8:0_17:1)+H,623.39191,452.38601,201.1485,325.2737,71.0856,95.0855,123.1168
PG(8:0_17:2)+H,621.37631,450.37041,201.1485,323.2581,71.0856,95.0855,123.1168
PG(8:0_18:0)+H,639.42321,468.41731,201.1485,341.305,71.0856,95.0855,123.1168
PG(8:0_18:1)+H,637.40761,466.40171,201.1485,339.2894,71.0856,95.0855,123.1168
PG(8:0_18:2)+H,635.39191,464.38601,201.1485,337.2737,71.0856,95.0855,123.1168
PG(8:0_18:3)+H,633.37631,462.37041,201.1485,335.2581,71.0856,95.0855,123.1168
PG(8:0_18:4)+H,631.36061,460.35471,201.1485,333.2424,71.0856,95.0855,123.1168
PG(8:0_19:0)+H,653.43891,482.43301,201.1485,355.3207,71.0856,95.0855,123.1168
PG(8:0_20:0)+H,667.45451,496.44861,201.1485,369.3363,71.0856,95.0855,123.1168
PG(8:0_20:1)+H,665.43891,494.43301,201.1485,367.3207,71.0856,95.0855,123.1168
PG(8:0_20:2)+H,663.42321,492.41731,201.1485,365.305,71.0856,95.0855,123.1168
PG(8:0_20:3)+H,661.40761,490.40171,201.1485,363.2894,71.0856,95.0855,123.1168
PG(8:0_20:4)+H,659.39191,488.38601,201.1485,361.2737,71.0856,95.0855,123.1168
PG(8:0_20:5)+H,657.37631,486.37041,201.1485,359.2581,71.0856,95.0855,123.1168
PG(8:0_21:0)+H,681.47021,510.46431,201.1485,383.352,71.0856,95.0855,123.1168
PG(8:0_22:0)+H,695.48581,524.47991,201.1485,397.3676,71.0856,95.0855,123.1168
PG(8:0_22:1)+H,693.47021,522.46431,201.1485,395.352,71.0856,95.0855,123.1168
PG(8:0_22:2)+H,691.45451,520.44861,201.1485,393.3363,71.0856,95.0855,123.1168
PG(8:0_22:3)+H,689.43891,518.43301,201.1485,391.3207,71.0856,95.0855,123.1168
PG(8:0_22:4)+H,687.42321,516.41731,201.1485,389.305,71.0856,95.0855,123.1168
PG(8:0_22:5)+H,685.40761,514.40171,201.1485,387.2894,71.0856,95.0855,123.1168
PG(8:0_22:6)+H,683.39191,512.38601,201.1485,385.2737,71.0856,95.0855,123.1168
PG(8:0_23:0)+H,709.50151,538.49561,201.1485,411.3833,71.0856,95.0855,123.1168
PG(8:0_24:0)+H,723.51711,552.51121,201.1485,425.3989,71.0856,95.0855,123.1168
PG(8:0_24:1)+H,721.50151,550.49561,201.1485,423.3833,71.0856,95.0855,123.1168
PG(8:0_25:0)+H,737.53281,566.52691,201.1485,439.4146,71.0856,95.0855,123.1168
PG(8:0_26:0)+H,751.54841,580.54251,201.1485,453.4302,71.0856,95.0855,123.1168
PG(10:0_10:0)+H,555.32931,384.32341,229.1798,229.1798,71.0856,95.0855,123.1168
PG(10:0_12:0)+H,583.36061,412.35471,229.1798,257.2111,71.0856,95.0855,123.1168
PG(10:0_13:0)+H,597.37631,426.37041,229.1798,271.2268,71.0856,95.0855,123.1168
PG(10:0_14:0)+H,611.39191,440.38601,229.1798,285.2424,71.0856,95.0855,123.1168
PG(10:0_14:1)+H,609.37631,438.37041,229.1798,283.2268,71.0856,95.0855,123.1168
PG(10:0_15:0)+H,625.40761,454.40171,229.1798,299.2581,71.0856,95.0855,123.1168
PG(10:0_15:1)+H,623.39191,452.38601,229.1798,297.2424,71.0856,95.0855,123.1168
PG(10:0_16:0)+H,639.42321,468.41731,229.1798,313.2737,71.0856,95.0855,123.1168
PG(10:0_16:1)+H,637.40761,466.40171,229.1798,311.2581,71.0856,95.0855,123.1168
PG(10:0_17:0)+H,653.43891,482.43301,229.1798,327.2894,71.0856,95.0855,123.1168
PG(10:0_17:1)+H,651.42321,480.41731,229.1798,325.2737,71.0856,95.0855,123.1168
PG(10:0_17:2)+H,649.40761,478.40171,229.1798,323.2581,71.0856,95.0855,123.1168
PG(10:0_18:0)+H,667.45451,496.44861,229.1798,341.305,71.0856,95.0855,123.1168
PG(10:0_18:1)+H,665.43891,494.43301,229.1798,339.2894,71.0856,95.0855,123.1168
PG(10:0_18:2)+H,663.42321,492.41731,229.1798,337.2737,71.0856,95.0855,123.1168
PG(10:0_18:3)+H,661.40761,490.40171,229.1798,335.2581,71.0856,95.0855,123.1168
PG(10:0_18:4)+H,659.39191,488.38601,229.1798,333.2424,71.0856,95.0855,123.1168
PG(10:0_19:0)+H,681.47021,510.46431,229.1798,355.3207,71.0856,95.0855,123.1168
PG(10:0_20:0)+H,695.48581,524.47991,229.1798,369.3363,71.0856,95.0855,123.1168
PG(10:0_20:1)+H,693.47021,522.46431,229.1798,367.3207,71.0856,95.0855,123.1168
PG(10:0_20:2)+H,691.45451,520.44861,229.1798,365.305,71.0856,95.0855,123.1168
PG(10:0_20:3)+H,689.43891,518.43301,229.1798,363.2894,71.0856,95.0855,123.1168
PG(10:0_20:4)+H,687.42321,516.41731,229.1798,361.2737,71.0856,95.0855,123.1168
PG(10:0_20:5)+H,685.40761,514.40171,229.1798,359.2581,71.0856,95.0855,123.1168
PG(10:0_21:0)+H,709.50151,538.49561,229.1798,383.352,71.0856,95.0855,123.1168
PG(10:0_22:0)+H,723.51711,552.51121,229.1798,397.3676,71.0856,95.0855,123.1168
PG(10:0_22:1)+H,721.50151,550.49561,229.1798,395.352,71.0856,95.0855,123.1168
PG(10:0_22:2)+H,719.48581,548.47991,229.1798,393.3363,71.0856,95.0855,123.1168
PG(10:0_22:3)+H,717.47021,546.46431,229.1798,391.3207,71.0856,95.0855,123.1168
PG(10:0_22:4)+H,715.45451,544.44861,229.1798,389.305,71.0856,95.0855,123.1168
PG(10:0_22:5)+H,713.43891,542.43301,229.1798,387.2894,71.0856,95.0855,123.1168
PG(10:0_22:6)+H,711.42321,540.41731,229.1798,385.2737,71.0856,95.0855,123.1168
PG(10:0_23:0)+H,737.53281,566.52691,229.1798,411.3833,71.0856,95.0855,123.1168
PG(10:0_24:0)+H,751.54841,580.54251,229.1798,425.3989,71.0856,95.0855,123.1168
PG(10:0_24:1)+H,749.53281,578.52691,229.1798,423.3833,71.0856,95.0855,123.1168
PG(10:0_25:0)+H,765.56411,594.55821,229.1798,439.4146,71.0856,95.0855,123.1168
PG(10:0_26:0)+H,779.57971,608.57381,229.1798,453.4302,71.0856,95.0855,123.1168
PG(12:0_12:0)+H,611.39191,440.38601,257.2111,257.2111,71.0856,95.0855,123.1168
PG(12:0_13:0)+H,625.40761,454.40171,257.2111,271.2268,71.0856,95.0855,123.1168
PG(12:0_14:0)+H,639.42321,468.41731,257.2111,285.2424,71.0856,95.0855,123.1168
PG(12:0_14:1)+H,637.40761,466.40171,257.2111,283.2268,71.0856,95.0855,123.1168
PG(12:0_15:0)+H,653.43891,482.43301,257.2111,299.2581,71.0856,95.0855,123.1168
PG(12:0_15:1)+H,651.42321,480.41731,257.2111,297.2424,71.0856,95.0855,123.1168
PG(12:0_16:0)+H,667.45451,496.44861,257.2111,313.2737,71.0856,95.0855,123.1168
PG(12:0_16:1)+H,665.43891,494.43301,257.2111,311.2581,71.0856,95.0855,123.1168
PG(12:0_17:0)+H,681.47021,510.46431,257.2111,327.2894,71.0856,95.0855,123.1168
PG(12:0_17:1)+H,679.45451,508.44861,257.2111,325.2737,71.0856,95.0855,123.1168
PG(12:0_17:2)+H,677.43891,506.43301,257.2111,323.2581,71.0856,95.0855,123.1168
PG(12:0_18:0)+H,695.48581,524.47991,257.2111,341.305,71.0856,95.0855,123.1168
PG(12:0_18:1)+H,693.47021,522.46431,257.2111,339.2894,71.0856,95.0855,123.1168
PG(12:0_18:2)+H,691.45451,520.44861,257.2111,337.2737,71.0856,95.0855,123.1168
PG(12:0_18:3)+H,689.43891,518.43301,257.2111,335.2581,71.0856,95.0855,123.1168
PG(12:0_18:4)+H,687.42321,516.41731,257.2111,333.2424,71.0856,95.0855,123.1168
PG(12:0_19:0)+H,709.50151,538.49561,257.2111,355.3207,71.0856,95.0855,123.1168
PG(12:0_20:0)+H,723.51711,552.51121,257.2111,369.3363,71.0856,95.0855,123.1168
PG(12:0_20:1)+H,721.50151,550.49561,257.2111,367.3207,71.0856,95.0855,123.1168
PG(12:0_20:2)+H,719.48581,548.47991,257.2111,365.305,71.0856,95.0855,123.1168
PG(12:0_20:3)+H,717.47021,546.46431,257.2111,363.2894,71.0856,95.0855,123.1168
PG(12:0_20:4)+H,715.45451,544.44861,257.2111,361.2737,71.0856,95.0855,123.1168
PG(12:0_20:5)+H,713.43891,542.43301,257.2111,359.2581,71.0856,95.0855,123.1168
PG(12:0_21:0)+H,737.53281,566.52691,257.2111,383.352,71.0856,95.0855,123.1168
PG(12:0_22:0)+H,751.54841,580.54251,257.2111,397.3676,71.0856,95.0855,123.1168
PG(12:0_22:1)+H,749.53281,578.52691,257.2111,395.352,71.0856,95.0855,123.1168
PG(12:0_22:2)+H,747.51711,576.51121,257.2111,393.3363,71.0856,95.0855,123.1168
PG(12:0_22:3)+H,745.50151,574.49561,257.2111,391.3207,71.0856,95.0855,123.1168
PG(12:0_22:4)+H,743.48581,572.47991,257.2111,389.305,71.0856,95.0855,123.1168
PG(12:0_22:5)+H,741.47021,570.46431,257.2111,387.2894,71.0856,95.0855,123.1168
PG(12:0_22:6)+H,739.45451,568.44861,257.2111,385.2737,71.0856,95.0855,123.1168
PG(12:0_23:0)+H,765.56411,594.55821,257.2111,411.3833,71.0856,95.0855,123.1168
PG(12:0_24:0)+H,779.57971,608.57381,257.2111,425.3989,71.0856,95.0855,123.1168
PG(12:0_24:1)+H,777.56411,606.55821,257.2111,423.3833,71.0856,95.0855,123.1168
PG(12:0_25:0)+H,793.59541,622.58951,257.2111,439.4146,71.0856,95.0855,123.1168
PG(12:0_26:0)+H,807.61101,636.60511,257.2111,453.4302,71.0856,95.0855,123.1168
PG(13:0_13:0)+H,639.42331,468.41741,271.2268,271.2268,71.0856,95.0855,123.1168
PG(13:0_14:0)+H,653.43891,482.43301,271.2268,285.2424,71.0856,95.0855,123.1168
PG(13:0_14:1)+H,651.42331,480.41741,271.2268,283.2268,71.0856,95.0855,123.1168
PG(13:0_15:0)+H,667.45461,496.44871,271.2268,299.2581,71.0856,95.0855,123.1168
PG(13:0_15:1)+H,665.43891,494.43301,271.2268,297.2424,71.0856,95.0855,123.1168
PG(13:0_16:0)+H,681.47021,510.46431,271.2268,313.2737,71.0856,95.0855,123.1168
PG(13:0_16:1)+H,679.45461,508.44871,271.2268,311.2581,71.0856,95.0855,123.1168
PG(13:0_17:0)+H,695.48591,524.48001,271.2268,327.2894,71.0856,95.0855,123.1168
PG(13:0_17:1)+H,693.47021,522.46431,271.2268,325.2737,71.0856,95.0855,123.1168
PG(13:0_17:2)+H,691.45461,520.44871,271.2268,323.2581,71.0856,95.0855,123.1168
PG(13:0_18:0)+H,709.50151,538.49561,271.2268,341.305,71.0856,95.0855,123.1168
PG(13:0_18:1)+H,707.48591,536.48001,271.2268,339.2894,71.0856,95.0855,123.1168
PG(13:0_18:2)+H,705.47021,534.46431,271.2268,337.2737,71.0856,95.0855,123.1168
PG(13:0_18:3)+H,703.45461,532.44871,271.2268,335.2581,71.0856,95.0855,123.1168
PG(13:0_18:4)+H,701.43891,530.43301,271.2268,333.2424,71.0856,95.0855,123.1168
PG(13:0_19:0)+H,723.51721,552.51131,271.2268,355.3207,71.0856,95.0855,123.1168
PG(13:0_20:0)+H,737.53281,566.52691,271.2268,369.3363,71.0856,95.0855,123.1168
PG(13:0_20:1)+H,735.51721,564.51131,271.2268,367.3207,71.0856,95.0855,123.1168
PG(13:0_20:2)+H,733.50151,562.49561,271.2268,365.305,71.0856,95.0855,123.1168
PG(13:0_20:3)+H,731.48591,560.48001,271.2268,363.2894,71.0856,95.0855,123.1168
PG(13:0_20:4)+H,729.47021,558.46431,271.2268,361.2737,71.0856,95.0855,123.1168
PG(13:0_20:5)+H,727.45461,556.44871,271.2268,359.2581,71.0856,95.0855,123.1168
PG(13:0_21:0)+H,751.54851,580.54261,271.2268,383.352,71.0856,95.0855,123.1168
PG(13:0_22:0)+H,765.56411,594.55821,271.2268,397.3676,71.0856,95.0855,123.1168
