PMeOH,[M+NH4]+,[M-CH5O4P+H]+,[C4H9O5P+H]+
PMeOH(24:0)+NH4,568.39732,439.3782,169.026
PMeOH(25:0)+NH4,582.41292,453.3938,169.026
PMeOH(25:1)+NH4,580.39732,451.3782,169.026
PMeOH(26:0)+NH4,596.42862,467.4095,169.026
PMeOH(26:1)+NH4,594.41292,465.3938,169.026
PMeOH(26:2)+NH4,592.39732,463.3782,169.026
PMeOH(27:0)+NH4,610.44422,481.4251,169.026
PMeOH(27:1)+NH4,608.42862,479.4095,169.026
PMeOH(27:2)+NH4,606.41292,477.3938,169.026
PMeOH(28:0)+NH4,624.45992,495.4408,169.026
PMeOH(28:1)+NH4,622.44422,493.4251,169.026
PMeOH(28:2)+NH4,620.42862,491.4095,169.026
PMeOH(28:3)+NH4,618.41292,489.3938,169.026
PMeOH(28:4)+NH4,616.39732,487.3782,169.026
PMeOH(29:0)+NH4,638.47552,509.4564,169.026
PMeOH(29:1)+NH4,636.45992,507.4408,169.026
PMeOH(29:2)+NH4,634.44422,505.4251,169.026
PMeOH(29:3)+NH4,632.42862,503.4095,169.026
PMeOH(29:4)+NH4,630.41292,501.3938,169.026
PMeOH(29:5)+NH4,628.39732,499.3782,169.026
PMeOH(30:0)+NH4,652.49112,523.472,169.026
PMeOH(30:1)+NH4,650.47552,521.4564,169.026
PMeOH(30:2)+NH4,648.46002,519.4409,169.026
PMeOH(30:3)+NH4,646.44422,517.4251,169.026
PMeOH(30:4)+NH4,644.42862,515.4095,169.026
PMeOH(30:5)+NH4,642.41302,513.3939,169.026
PMeOH(31:0)+NH4,666.50682,537.4877,169.026
PMeOH(31:1)+NH4,664.49112,535.472,169.026
PMeOH(31:2)+NH4,662.47552,533.4564,169.026
PMeOH(31:3)+NH4,660.46002,531.4409,169.026
PMeOH(31:4)+NH4,658.44422,529.4251,169.026
PMeOH(31:5)+NH4,656.42862,527.4095,169.026
PMeOH(31:6)+NH4,654.41302,525.3939,169.026
PMeOH(32:0)+NH4,680.52252,551.5034,169.026
PMeOH(32:1)+NH4,678.50682,549.4877,169.026
PMeOH(32:2)+NH4,676.49112,547.472,169.026
PMeOH(32:3)+NH4,674.47552,545.4564,169.026
PMeOH(32:4)+NH4,672.46002,543.4409,169.026
PMeOH(32:5)+NH4,670.44422,541.4251,169.026
PMeOH(32:6)+NH4,668.42862,539.4095,169.026
PMeOH(32:7)+NH4,666.41302,537.3939,169.026
PMeOH(32:8)+NH4,664.39732,535.3782,169.026
PMeOH(33:0)+NH4,694.53812,565.519,169.026
PMeOH(33:1)+NH4,692.52252,563.5034,169.026
PMeOH(33:2)+NH4,690.50682,561.4877,169.026
PMeOH(33:3)+NH4,688.49112,559.472,169.026
PMeOH(33:4)+NH4,686.47552,557.4564,169.026
PMeOH(33:5)+NH4,684.46002,555.4409,169.026
PMeOH(33:6)+NH4,682.44422,553.4251,169.026
PMeOH(34:0)+NH4,708.55382,579.5347,169.026
PMeOH(34:1)+NH4,706.53812,577.519,169.026
PMeOH(34:2)+NH4,704.52252,575.5034,169.026
PMeOH(34:3)+NH4,702.50682,573.4877,169.026
PMeOH(34:4)+NH4,700.49112,571.472,169.026
PMeOH(34:5)+NH4,698.47552,569.4564,169.026
PMeOH(34:6)+NH4,696.46002,567.4409,169.026
PMeOH(34:7)+NH4,694.44422,565.4251,169.026
