Plasmanyl-PC,[M+H]+,MH-PC,PC_Head
Plasmanyl-PC(24:0)+H,608.4649576,425.3989176,184.07332
Plasmanyl-PC(24:1)+H,606.4493576,423.3833176,184.07332
Plasmanyl-PC(26:0)+H,636.4962576,453.4302176,184.07332
Plasmanyl-PC(26:1)+H,634.4806576,451.4146176,184.07332
Plasmanyl-PC(28:0)+H,664.5275576,481.4615176,184.07332
Plasmanyl-PC(28:1)+H,662.5119576,479.4459176,184.07332
Plasmanyl-PC(29:0)+H,678.5432576,495.4772176,184.07332
Plasmanyl-PC(29:1)+H,676.5276576,493.4616176,184.07332
Plasmanyl-PC(30:0)+H,692.5588576,509.4928176,184.07332
Plasmanyl-PC(30:1)+H,690.5432576,507.4772176,184.07332
Plasmanyl-PC(30:2)+H,688.5276576,505.4616176,184.07332
Plasmanyl-PC(31:0)+H,706.5745576,523.5085176,184.07332
Plasmanyl-PC(31:1)+H,704.5588576,521.4928176,184.07332
Plasmanyl-PC(31:2)+H,702.5432576,519.4772176,184.07332
Plasmanyl-PC(32:0)+H,720.5901576,537.5241176,184.07332
Plasmanyl-PC(32:1)+H,718.5745576,535.5085176,184.07332
Plasmanyl-PC(32:2)+H,716.5589576,533.4929176,184.07332
Plasmanyl-PC(33:0)+H,734.6058576,551.5398176,184.07332
Plasmanyl-PC(33:1)+H,732.5901576,549.5241176,184.07332
Plasmanyl-PC(33:2)+H,730.5745576,547.5085176,184.07332
Plasmanyl-PC(33:3)+H,728.5589576,545.4929176,184.07332
Plasmanyl-PC(34:0)+H,748.6214576,565.5554176,184.07332
Plasmanyl-PC(34:1)+H,746.6058576,563.5398176,184.07332
Plasmanyl-PC(34:2)+H,744.5901576,561.5241176,184.07332
Plasmanyl-PC(34:3)+H,742.5745576,559.5085176,184.07332
Plasmanyl-PC(34:4)+H,740.5588576,557.4928176,184.07332
Plasmanyl-PC(34:5)+H,738.5432576,555.4772176,184.07332
Plasmanyl-PC(35:0)+H,762.6371576,579.5711176,184.07332
Plasmanyl-PC(35:1)+H,760.6215576,577.5555176,184.07332
Plasmanyl-PC(35:2)+H,758.6058576,575.5398176,184.07332
Plasmanyl-PC(35:3)+H,756.5902576,573.5242176,184.07332
Plasmanyl-PC(36:0)+H,776.6527576,593.5867176,184.07332
Plasmanyl-PC(36:1)+H,774.6371576,591.5711176,184.07332
Plasmanyl-PC(36:2)+H,772.6214576,589.5554176,184.07332
Plasmanyl-PC(36:3)+H,770.6058576,587.5398176,184.07332
Plasmanyl-PC(36:4)+H,768.5901576,585.5241176,184.07332
Plasmanyl-PC(36:5)+H,766.5745576,583.5085176,184.07332
Plasmanyl-PC(36:6)+H,764.5589576,581.4929176,184.07332
Plasmanyl-PC(37:0)+H,790.6684576,607.6024176,184.07332
Plasmanyl-PC(37:1)+H,788.6528576,605.5868176,184.07332
Plasmanyl-PC(37:2)+H,786.6371576,603.5711176,184.07332
Plasmanyl-PC(37:3)+H,784.6215576,601.5555176,184.07332
Plasmanyl-PC(38:0)+H,804.6840576,621.6180176,184.07332
Plasmanyl-PC(38:1)+H,802.6684576,619.6024176,184.07332
Plasmanyl-PC(38:2)+H,800.6527576,617.5867176,184.07332
Plasmanyl-PC(38:3)+H,798.6371576,615.5711176,184.07332
Plasmanyl-PC(38:4)+H,796.6214576,613.5554176,184.07332
Plasmanyl-PC(38:5)+H,794.6058576,611.5398176,184.07332
Plasmanyl-PC(38:6)+H,792.5901576,609.5241176,184.07332
Plasmanyl-PC(38:7)+H,790.5745576,607.5085176,184.07332
Plasmanyl-PC(39:0)+H,818.6997576,635.6337176,184.07332
Plasmanyl-PC(39:1)+H,816.6841576,633.6181176,184.07332
Plasmanyl-PC(39:2)+H,814.6684576,631.6024176,184.07332
Plasmanyl-PC(39:3)+H,812.6528576,629.5868176,184.07332
Plasmanyl-PC(40:0)+H,832.7153576,649.6493176,184.07332
Plasmanyl-PC(40:1)+H,830.6997576,647.6337176,184.07332
Plasmanyl-PC(40:2)+H,828.6841576,645.6181176,184.07332
Plasmanyl-PC(40:3)+H,826.6684576,643.6024176,184.07332
Plasmanyl-PC(40:4)+H,824.6527576,641.5867176,184.07332
Plasmanyl-PC(40:5)+H,822.6371576,639.5711176,184.07332
Plasmanyl-PC(40:6)+H,820.6214576,637.5554176,184.07332
Plasmanyl-PC(40:7)+H,818.6058576,635.5398176,184.07332
Plasmanyl-PC(41:0)+H,846.7310576,663.6650176,184.07332
Plasmanyl-PC(41:1)+H,844.7154576,661.6494176,184.07332
Plasmanyl-PC(41:2)+H,842.6997576,659.6337176,184.07332
Plasmanyl-PC(41:3)+H,840.6841576,657.6181176,184.07332
Plasmanyl-PC(41:4)+H,838.6685576,655.6025176,184.07332
