Plasmenyl-PC,[M+H]+,MH-PC,PC_Head
Plasmenyl-PC(24:0)+H,606.4492976,423.3832576,184.07332
Plasmenyl-PC(24:1)+H,604.4336976,421.3676576,184.07332
Plasmenyl-PC(26:0)+H,634.4805976,451.4145576,184.07332
Plasmenyl-PC(26:1)+H,632.4649976,449.3989576,184.07332
Plasmenyl-PC(28:0)+H,662.5118976,479.4458576,184.07332
Plasmenyl-PC(28:1)+H,660.4962976,477.4302576,184.07332
Plasmenyl-PC(29:0)+H,676.5275976,493.4615576,184.07332
Plasmenyl-PC(29:1)+H,674.5119976,491.4459576,184.07332
Plasmenyl-PC(30:0)+H,690.5431976,507.4771576,184.07332
Plasmenyl-PC(30:1)+H,688.5275976,505.4615576,184.07332
Plasmenyl-PC(30:2)+H,686.5119976,503.4459576,184.07332
Plasmenyl-PC(31:0)+H,704.5588976,521.4928576,184.07332
Plasmenyl-PC(31:1)+H,702.5431976,519.4771576,184.07332
Plasmenyl-PC(31:2)+H,700.5275976,517.4615576,184.07332
Plasmenyl-PC(32:0)+H,718.5744976,535.5084576,184.07332
Plasmenyl-PC(32:1)+H,716.5588976,533.4928576,184.07332
Plasmenyl-PC(32:2)+H,714.5432976,531.4772576,184.07332
Plasmenyl-PC(33:0)+H,732.5901976,549.5241576,184.07332
Plasmenyl-PC(33:1)+H,730.5744976,547.5084576,184.07332
Plasmenyl-PC(33:2)+H,728.5588976,545.4928576,184.07332
Plasmenyl-PC(33:3)+H,726.5432976,543.4772576,184.07332
Plasmenyl-PC(34:0)+H,746.6057976,563.5397576,184.07332
Plasmenyl-PC(34:1)+H,744.5901976,561.5241576,184.07332
Plasmenyl-PC(34:2)+H,742.5744976,559.5084576,184.07332
Plasmenyl-PC(34:3)+H,740.5588976,557.4928576,184.07332
Plasmenyl-PC(34:4)+H,738.5431976,555.4771576,184.07332
Plasmenyl-PC(34:5)+H,736.5275976,553.4615576,184.07332
Plasmenyl-PC(35:0)+H,760.6214976,577.5554576,184.07332
Plasmenyl-PC(35:1)+H,758.6058976,575.5398576,184.07332
Plasmenyl-PC(35:2)+H,756.5901976,573.5241576,184.07332
Plasmenyl-PC(35:3)+H,754.5745976,571.5085576,184.07332
Plasmenyl-PC(36:0)+H,774.6370976,591.5710576,184.07332
Plasmenyl-PC(36:1)+H,772.6214976,589.5554576,184.07332
Plasmenyl-PC(36:2)+H,770.6057976,587.5397576,184.07332
Plasmenyl-PC(36:3)+H,768.5901976,585.5241576,184.07332
Plasmenyl-PC(36:4)+H,766.5744976,583.5084576,184.07332
Plasmenyl-PC(36:5)+H,764.5588976,581.4928576,184.07332
Plasmenyl-PC(36:6)+H,762.5432976,579.4772576,184.07332
Plasmenyl-PC(37:0)+H,788.6527976,605.5867576,184.07332
Plasmenyl-PC(37:1)+H,786.6371976,603.5711576,184.07332
Plasmenyl-PC(37:2)+H,784.6214976,601.5554576,184.07332
Plasmenyl-PC(37:3)+H,782.6058976,599.5398576,184.07332
