ether-PS,[M+H]+,MH-head
Plasmenyl-PS(24:0)+H,608.39223,423.38328
Plasmenyl-PS(24:1)+H,606.37663,421.36768
Plasmenyl-PS(26:0)+H,636.42353,451.41458
Plasmenyl-PS(26:1)+H,634.40793,449.39898
Plasmenyl-PS(28:0)+H,664.45483,479.44588
Plasmenyl-PS(28:1)+H,662.43923,477.43028
Plasmenyl-PS(29:0)+H,678.47053,493.46158
Plasmenyl-PS(29:1)+H,676.45493,491.44598
Plasmenyl-PS(30:0)+H,692.48613,507.47718
Plasmenyl-PS(30:1)+H,690.47053,505.46158
Plasmenyl-PS(30:2)+H,688.45493,503.44598
Plasmenyl-PS(31:0)+H,706.50183,521.49288
Plasmenyl-PS(31:1)+H,704.48613,519.47718
Plasmenyl-PS(31:2)+H,702.47053,517.46158
Plasmenyl-PS(32:0)+H,720.51743,535.50848
Plasmenyl-PS(32:1)+H,718.50183,533.49288
Plasmenyl-PS(32:2)+H,716.48623,531.47728
Plasmenyl-PS(33:0)+H,734.53313,549.52418
Plasmenyl-PS(33:1)+H,732.51743,547.50848
Plasmenyl-PS(33:2)+H,730.50183,545.49288
Plasmenyl-PS(33:3)+H,728.48623,543.47728
Plasmenyl-PS(34:0)+H,748.54873,563.53978
Plasmenyl-PS(34:1)+H,746.53313,561.52418
Plasmenyl-PS(34:2)+H,744.51743,559.50848
Plasmenyl-PS(34:3)+H,742.50183,557.49288
Plasmenyl-PS(34:4)+H,740.48613,555.47718
Plasmenyl-PS(34:5)+H,738.47053,553.46158
Plasmenyl-PS(35:0)+H,762.56443,577.55548
Plasmenyl-PS(35:1)+H,760.54883,575.53988
Plasmenyl-PS(35:2)+H,758.53313,573.52418
Plasmenyl-PS(35:3)+H,756.51753,571.50858
Plasmenyl-PS(36:0)+H,776.58003,591.57108
Plasmenyl-PS(36:1)+H,774.56443,589.55548
Plasmenyl-PS(36:2)+H,772.54873,587.53978
Plasmenyl-PS(36:3)+H,770.53313,585.52418
Plasmenyl-PS(36:4)+H,768.51743,583.50848
Plasmenyl-PS(36:5)+H,766.50183,581.49288
Plasmenyl-PS(36:6)+H,764.48623,579.47728
Plasmenyl-PS(37:0)+H,790.59573,605.58678
Plasmenyl-PS(37:1)+H,788.58013,603.57118
Plasmenyl-PS(37:2)+H,786.56443,601.55548
Plasmenyl-PS(37:3)+H,784.54883,599.53988
Plasmenyl-PS(38:0)+H,804.61133,619.60238
Plasmenyl-PS(38:1)+H,802.59573,617.58678
Plasmenyl-PS(38:2)+H,800.58003,615.57108
Plasmenyl-PS(38:3)+H,798.56443,613.55548
Plasmenyl-PS(38:4)+H,796.54873,611.53978
Plasmenyl-PS(38:5)+H,794.53313,609.52418
Plasmenyl-PS(38:6)+H,792.51743,607.50848
Plasmenyl-PS(38:7)+H,790.50183,605.49288
Plasmenyl-PS(39:0)+H,818.62703,633.61808
Plasmenyl-PS(39:1)+H,816.61143,631.60248
Plasmenyl-PS(40:0)+H,832.64263,647.63368
Plasmenyl-PS(40:1)+H,830.62703,645.61808
Plasmenyl-PS(40:2)+H,828.61143,643.60248
Plasmenyl-PS(40:3)+H,826.59573,641.58678
Plasmenyl-PS(40:4)+H,824.58003,639.57108
Plasmenyl-PS(40:5)+H,822.56443,637.55548
Plasmenyl-PS(40:6)+H,820.54873,635.53978
Plasmenyl-PS(40:7)+H,818.53313,633.52418
Plasmenyl-PS(41:0)+H,846.65833,661.64938
Plasmenyl-PS(41:1)+H,844.64273,659.63378
Plasmenyl-PS(42:0)+H,860.67393,675.66498
Plasmenyl-PS(42:1)+H,858.65833,673.64938
Plasmenyl-PS(42:2)+H,856.64273,671.63378
Plasmenyl-PS(42:3)+H,854.62703,669.61808
Plasmenyl-PS(42:4)+H,852.61133,667.60238
Plasmenyl-PS(42:5)+H,850.59573,665.58678
Plasmenyl-PS(42:6)+H,848.58003,663.57108
Plasmenyl-PS(42:7)+H,846.56443,661.55548
Plasmenyl-PS(43:0)+H,874.68963,689.68068
Plasmenyl-PS(43:1)+H,872.67403,687.66508
Plasmenyl-PS(44:0)+H,888.70523,703.69628
Plasmenyl-PS(44:1)+H,886.68963,701.68068
Plasmenyl-PS(44:2)+H,884.67403,699.66508
Plasmenyl-PS(45:0)+H,902.72093,717.71198
Plasmenyl-PS(45:1)+H,900.70533,715.69638
Plasmenyl-PS(46:0)+H,916.73653,731.72758
Plasmenyl-PS(46:1)+H,914.72093,729.71198
