Sulfatide,[M+H]+,So(dFA)+H-2H2O,So(dFA)+H-H2O,So(dFA)+H-H2O-CH2O,"NL[H2SO4,C6H10O5,H2O]","NL[H2SO4,C6H10O5]","NL[H2SO4,C6H10O6]","NL[H2SO4,C7H10O5,H2O]",NL[H2SO4],Amide(FA)+H
Sulfatide(d14:0_2:0)+H,530.2629519,210.22149,228.23206,198.22149,252.2321319,270.2427019,254.2477819,240.2321319,432.2955519,60.04437191
Sulfatide(d14:0_10:0)+H,642.3881524,210.22149,228.23206,198.22149,364.3573324,382.3679024,366.3729824,352.3573324,544.4207524,172.1695724
Sulfatide(d14:0_12:0)+H,670.4194526,210.22149,228.23206,198.22149,392.3886326,410.3992026,394.4042826,380.3886326,572.4520526,200.2008726
Sulfatide(d14:0_14:0)+H,698.4507527,210.22149,228.23206,198.22149,420.4199327,438.4305027,422.4355827,408.4199327,600.4833527,228.2321727
Sulfatide(d14:0_16:0)+H,726.4820528,210.22149,228.23206,198.22149,448.4512328,466.4618028,450.4668828,436.4512328,628.5146528,256.2634728
Sulfatide(d14:0_18:0)+H,754.5133529,210.22149,228.23206,198.22149,476.4825329,494.4931029,478.4981829,464.4825329,656.5459529,284.2947729
Sulfatide(d14:0_18:1)+H,752.4977029,210.22149,228.23206,198.22149,474.4668829,492.4774529,476.4825329,462.4668829,654.5303029,282.2791229
Sulfatide(d14:0_20:0)+H,782.5446531,210.22149,228.23206,198.22149,504.5138331,522.5244031,506.5294831,492.5138331,684.5772531,312.3260731
Sulfatide(d14:0_22:0)+H,810.5759532,210.22149,228.23206,198.22149,532.5451332,550.5557032,534.5607832,520.5451332,712.6085532,340.3573732
Sulfatide(d14:0_24:0)+H,838.6072533,210.22149,228.23206,198.22149,560.5764333,578.5870033,562.5920833,548.5764333,740.6398533,368.3886733
Sulfatide(d14:0_24:1)+H,836.5916033,210.22149,228.23206,198.22149,558.5607833,576.5713533,560.5764333,546.5607833,738.6242033,366.3730233
