Sulfatide,[M-H]-,M-H-H2O-,prec-_sn2,prec-_sn2-H20,Ion_C6H9O8S-,ion_SO4H-
Sulfatide(d14:0_2:0)-H,528.2484119,510.2378519,486.2378519,468.2272919,241.00236,96.96011
Sulfatide(d14:0_10:0)-H,640.3736124,622.3630524,486.2379324,468.2273724,241.00236,96.96011
Sulfatide(d14:0_12:0)-H,668.4049126,650.3943526,486.2379526,468.2273926,241.00236,96.96011
Sulfatide(d14:0_14:0)-H,696.4362127,678.4256527,486.2379727,468.2274127,241.00236,96.96011
Sulfatide(d14:0_16:0)-H,724.4675128,706.4569528,486.2379928,468.2274328,241.00236,96.96011
Sulfatide(d14:0_18:0)-H,752.4988129,734.4882529,486.2380129,468.2274529,241.00236,96.96011
Sulfatide(d14:0_18:1)-H,750.4831629,732.4726029,486.2380029,468.2274429,241.00236,96.96011
Sulfatide(d14:0_20:0)-H,780.5301131,762.5195531,486.2380331,468.2274731,241.00236,96.96011
Sulfatide(d14:0_22:0)-H,808.5614132,790.5508532,486.2380532,468.2274932,241.00236,96.96011
Sulfatide(d14:0_24:0)-H,836.5927133,818.5821533,486.2380733,468.2275133,241.00236,96.96011
Sulfatide(d14:0_24:1)-H,834.5770633,816.5665033,486.2380633,468.2275033,241.00236,96.96011
Sulfatide(d14:0_24:4)-H,828.5301131,810.5195531,486.2380331,468.2274731,241.00236,96.96011
Sulfatide(d14:0_26:0)-H,864.6240134,846.6134534,486.2380934,468.2275334,241.00236,96.96011
Sulfatide(d14:0_26:1)-H,862.6083634,844.5978034,486.2380834,468.2275234,241.00236,96.96011
Sulfatide(d14:1_2:0)-H,526.2327618,508.2222018,484.2222018,466.2116418,241.00236,96.96011
Sulfatide(d14:1_10:0)-H,638.3579624,620.3474024,484.2222824,466.2117224,241.00236,96.96011
Sulfatide(d14:1_12:0)-H,666.3892625,648.3787025,484.2223025,466.2117425,241.00236,96.96011
Sulfatide(d14:1_14:0)-H,694.4205626,676.4100026,484.2223226,466.2117626,241.00236,96.96011
