Sulfatide,[M-H]-,Ion_C6H9O8S-,ion_SO4H-
Sulfatide(16:0)-H,528.2484119,241.00236,96.96011
Sulfatide(16:1)-H,526.2327618,241.00236,96.96011
Sulfatide(17:0)-H,542.264062,241.00236,96.96011
Sulfatide(17:1)-H,540.2484119,241.00236,96.96011
Sulfatide(18:0)-H,556.279712,241.00236,96.96011
Sulfatide(18:1)-H,554.264062,241.00236,96.96011
Sulfatide(19:0)-H,570.2953621,241.00236,96.96011
Sulfatide(19:1)-H,568.279712,241.00236,96.96011
Sulfatide(20:0)-H,584.3110122,241.00236,96.96011
Sulfatide(20:1)-H,582.2953621,241.00236,96.96011
Sulfatide(20:2)-H,580.2797021,241.00236,96.96011
Sulfatide(21:0)-H,598.3266622,241.00236,96.96011
Sulfatide(21:1)-H,596.3110122,241.00236,96.96011
Sulfatide(24:0)-H,640.3736124,241.00236,96.96011
Sulfatide(24:1)-H,638.3579624,241.00236,96.96011
Sulfatide(25:0)-H,654.3892625,241.00236,96.96011
Sulfatide(25:1)-H,652.3736124,241.00236,96.96011
Sulfatide(26:0)-H,668.4049126,241.00236,96.96011
Sulfatide(26:1)-H,666.3892625,241.00236,96.96011
Sulfatide(27:0)-H,682.4205626,241.00236,96.96011
Sulfatide(27:1)-H,680.4049126,241.00236,96.96011
Sulfatide(28:0)-H,696.4362127,241.00236,96.96011
Sulfatide(28:1)-H,694.4205626,241.00236,96.96011
Sulfatide(28:2)-H,692.4049026,241.00236,96.96011
Sulfatide(29:0)-H,710.4518627,241.00236,96.96011
Sulfatide(29:1)-H,708.4362127,241.00236,96.96011
Sulfatide(30:0)-H,724.4675128,241.00236,96.96011
Sulfatide(30:1)-H,722.4518627,241.00236,96.96011
Sulfatide(30:2)-H,720.4362027,241.00236,96.96011
Sulfatide(31:0)-H,738.4831629,241.00236,96.96011
Sulfatide(31:1)-H,736.4675128,241.00236,96.96011
Sulfatide(32:0)-H,752.4988129,241.00236,96.96011
Sulfatide(32:1)-H,750.4831629,241.00236,96.96011
Sulfatide(32:2)-H,748.4675128,241.00236,96.96011
Sulfatide(33:0)-H,766.514463,241.00236,96.96011
Sulfatide(33:1)-H,764.4988129,241.00236,96.96011
Sulfatide(33:2)-H,762.4831629,241.00236,96.96011
Sulfatide(34:0)-H,780.5301131,241.00236,96.96011
Sulfatide(34:1)-H,778.514463,241.00236,96.96011
Sulfatide(34:2)-H,776.4988129,241.00236,96.96011
Sulfatide(35:0)-H,794.5457631,241.00236,96.96011
Sulfatide(35:1)-H,792.5301131,241.00236,96.96011
Sulfatide(35:2)-H,790.514463,241.00236,96.96011
Sulfatide(36:0)-H,808.5614132,241.00236,96.96011
Sulfatide(36:1)-H,806.5457631,241.00236,96.96011
Sulfatide(36:2)-H,804.5301131,241.00236,96.96011
Sulfatide(36:4)-H,802.5144531,241.00236,96.96011
Sulfatide(37:0)-H,822.5770633,241.00236,96.96011
Sulfatide(37:1)-H,820.5614132,241.00236,96.96011
Sulfatide(37:2)-H,818.5457631,241.00236,96.96011
Sulfatide(38:0)-H,836.5927133,241.00236,96.96011
Sulfatide(38:1)-H,834.5770633,241.00236,96.96011
Sulfatide(38:2)-H,832.5614132,241.00236,96.96011
Sulfatide(38:4)-H,828.5301131,241.00236,96.96011
Sulfatide(38:5)-H,826.514463,241.00236,96.96011
Sulfatide(39:0)-H,850.6083634,241.00236,96.96011
Sulfatide(39:1)-H,848.5927133,241.00236,96.96011
Sulfatide(39:2)-H,846.5770633,241.00236,96.96011
Sulfatide(39:4)-H,842.5457631,241.00236,96.96011
Sulfatide(39:5)-H,840.5301131,241.00236,96.96011
Sulfatide(40:0)-H,864.6240134,241.00236,96.96011
Sulfatide(40:1)-H,862.6083634,241.00236,96.96011
Sulfatide(40:2)-H,860.5927133,241.00236,96.96011
Sulfatide(40:4)-H,856.5614132,241.00236,96.96011
Sulfatide(40:5)-H,854.5457631,241.00236,96.96011
Sulfatide(41:0)-H,878.6396635,241.00236,96.96011
Sulfatide(41:1)-H,876.6240134,241.00236,96.96011
Sulfatide(41:2)-H,874.6083634,241.00236,96.96011
Sulfatide(41:4)-H,870.5770633,241.00236,96.96011
Sulfatide(41:5)-H,868.5614132,241.00236,96.96011
Sulfatide(42:0)-H,892.6553136,241.00236,96.96011
Sulfatide(42:1)-H,890.6396635,241.00236,96.96011
Sulfatide(42:2)-H,888.6240134,241.00236,96.96011
Sulfatide(42:3)-H,886.6083534,241.00236,96.96011
Sulfatide(42:4)-H,884.5927133,241.00236,96.96011
Sulfatide(42:5)-H,882.5770633,241.00236,96.96011
Sulfatide(42:6)-H,880.5614033,241.00236,96.96011
Sulfatide(43:0)-H,906.6709636,241.00236,96.96011
Sulfatide(43:1)-H,904.6553136,241.00236,96.96011
Sulfatide(43:2)-H,902.6396635,241.00236,96.96011
Sulfatide(43:4)-H,898.6083634,241.00236,96.96011
Sulfatide(43:5)-H,896.5927133,241.00236,96.96011
Sulfatide(44:0)-H,920.6866137,241.00236,96.96011
Sulfatide(44:1)-H,918.6709636,241.00236,96.96011
Sulfatide(44:2)-H,916.6553136,241.00236,96.96011
Sulfatide(44:3)-H,914.6396536,241.00236,96.96011
Sulfatide(45:0)-H,934.7022638,241.00236,96.96011
Sulfatide(45:1)-H,932.6866137,241.00236,96.96011
Sulfatide(45:2)-H,930.6709636,241.00236,96.96011
