TG,[M+NH4]+,NL R1COOH,NL R2COOH,NL R3COOH
TG(8:0_8:0_8:0)+NH4,488.3945504,327.2529764,327.2529764,327.2529764
TG(10:0_8:0_8:0)+NH4,516.4258504,327.2529764,355.2842764,355.2842764
TG(12:0_8:0_8:0)+NH4,544.4571504,327.2529764,383.3155764,383.3155764
TG(10:0_10:0_8:0)+NH4,544.4571504,355.2842764,355.2842764,383.3155764
TG(13:0_8:0_8:0)+NH4,558.4728504,327.2529764,397.3312764,397.3312764
TG(14:1_8:0_8:0)+NH4,570.4728504,327.2529764,409.3312764,409.3312764
TG(10:0_10:0_10:0)+NH4,572.4884504,383.3155764,383.3155764,383.3155764
TG(14:0_8:0_8:0)+NH4,572.4884504,327.2529764,411.3468764,411.3468764
TG(10:0_12:0_8:0)+NH4,572.4884504,383.3155764,355.2842764,411.3468764
TG(15:1_8:0_8:0)+NH4,584.4884504,327.2529764,423.3468764,423.3468764
TG(15:0_8:0_8:0)+NH4,586.5041504,327.2529764,425.3625764,425.3625764
TG(10:0_13:0_8:0)+NH4,586.5041504,397.3312764,355.2842764,425.3625764
TG(16:1_8:0_8:0)+NH4,598.5041504,327.2529764,437.3625764,437.3625764
TG(10:0_14:1_8:0)+NH4,598.5041504,409.3312764,355.2842764,437.3625764
TG(10:0_10:0_12:0)+NH4,600.5197504,411.3468764,411.3468764,383.3155764
TG(16:0_8:0_8:0)+NH4,600.5197504,327.2529764,439.3781764,439.3781764
TG(10:0_14:0_8:0)+NH4,600.5197504,411.3468764,355.2842764,439.3781764
TG(12:0_12:0_8:0)+NH4,600.5197504,383.3155764,383.3155764,439.3781764
TG(17:2_8:0_8:0)+NH4,610.5041504,327.2529764,449.3625764,449.3625764
TG(17:1_8:0_8:0)+NH4,612.5197504,327.2529764,451.3781764,451.3781764
TG(10:0_15:1_8:0)+NH4,612.5197504,423.3468764,355.2842764,451.3781764
TG(10:0_10:0_13:0)+NH4,614.5354504,425.3625764,425.3625764,383.3155764
TG(17:0_8:0_8:0)+NH4,614.5354504,327.2529764,453.3938764,453.3938764
TG(10:0_15:0_8:0)+NH4,614.5354504,425.3625764,355.2842764,453.3938764
TG(12:0_13:0_8:0)+NH4,614.5354504,397.3312764,383.3155764,453.3938764
TG(18:4_8:0_8:0)+NH4,620.4884504,327.2529764,459.3468764,459.3468764
TG(18:3_8:0_8:0)+NH4,622.5041504,327.2529764,461.3625764,461.3625764
TG(18:2_8:0_8:0)+NH4,624.5197504,327.2529764,463.3781764,463.3781764
TG(10:0_10:0_14:1)+NH4,626.5354504,437.3625764,437.3625764,383.3155764
TG(18:1_8:0_8:0)+NH4,626.5354504,327.2529764,465.3938764,465.3938764
TG(10:0_16:1_8:0)+NH4,626.5354504,437.3625764,355.2842764,465.3938764
TG(12:0_14:1_8:0)+NH4,626.5354504,409.3312764,383.3155764,465.3938764
TG(10:0_10:0_14:0)+NH4,628.5510504,439.3781764,439.3781764,383.3155764
