Ac2PIM2,[M-H]-,M-sn1-H,M-sn2,M-C6H10O5,M-sn1-sn2
Ac2PIM2(14:0_14:0)-H,1077.561056,849.3522557,849.3522557,915.5082357,621.1434557
Ac2PIM2(14:0_15:0)-H,1091.576706,863.3679058,849.3522658,929.5238858,621.1434658
Ac2PIM2(14:0_16:0)-H,1105.592356,877.3835559,849.3522759,943.5395359,621.1434759
Ac2PIM2(14:0_16:1)-H,1103.576706,875.3679058,849.3522658,941.5238858,621.1434658
Ac2PIM2(14:0_17:0)-H,1119.608006,891.3992059,849.3522859,957.5551859,621.1434859
Ac2PIM2(14:0_17:1)-H,1117.592356,889.3835559,849.3522759,955.5395359,621.1434759
Ac2PIM2(14:0_18:0)-H,1133.623656,905.414856,849.352296,971.570836,621.143496
Ac2PIM2(14:0_18:1)-H,1131.608006,903.3992059,849.3522859,969.5551859,621.1434859
Ac2PIM2(14:0_18:2)-H,1129.592356,901.3835559,849.3522759,967.5395359,621.1434759
Ac2PIM2(14:0_19:0)-H,1147.639306,919.4305061,849.3523061,985.5864861,621.1435061
Ac2PIM2(14:0_20:0)-H,1161.654956,933.4461561,849.3523161,999.6021361,621.1435161
Ac2PIM2(15:0_15:0)-H,1105.592356,863.3679159,863.3679159,943.5395359,621.1434759
Ac2PIM2(15:0_16:0)-H,1119.608006,877.3835659,863.3679259,957.5551859,621.1434859
Ac2PIM2(15:0_16:1)-H,1117.592356,875.3679159,863.3679159,955.5395359,621.1434759
Ac2PIM2(15:0_17:0)-H,1133.623656,891.399216,863.367936,971.570836,621.143496
Ac2PIM2(15:0_17:1)-H,1131.608006,889.3835659,863.3679259,969.5551859,621.1434859
Ac2PIM2(15:0_18:0)-H,1147.639306,905.4148661,863.3679461,985.5864861,621.1435061
Ac2PIM2(15:0_18:1)-H,1145.623656,903.399216,863.367936,983.570836,621.143496
Ac2PIM2(15:0_18:2)-H,1143.608006,901.3835659,863.3679259,981.5551859,621.1434859
Ac2PIM2(15:0_19:0)-H,1161.654956,919.4305161,863.3679561,999.6021361,621.1435161
Ac2PIM2(15:0_20:0)-H,1175.670606,933.4461662,863.3679662,1013.617786,621.1435262
Ac2PIM2(16:0_16:0)-H,1133.623656,877.383576,877.383576,971.570836,621.143496
Ac2PIM2(16:0_16:1)-H,1131.608006,875.3679259,877.3835659,969.5551859,621.1434859
Ac2PIM2(16:0_17:0)-H,1147.639306,891.3992261,877.3835861,985.5864861,621.1435061
Ac2PIM2(16:0_17:1)-H,1145.623656,889.383576,877.383576,983.570836,621.143496
Ac2PIM2(16:0_18:0)-H,1161.654956,905.4148761,877.3835961,999.6021361,621.1435161
Ac2PIM2(16:0_18:1)-H,1159.639306,903.3992261,877.3835861,997.5864861,621.1435061
Ac2PIM2(16:0_18:2)-H,1157.623656,901.383576,877.383576,995.570836,621.143496
Ac2PIM2(16:0_19:0)-H,1175.670606,919.4305262,877.3836062,1013.617786,621.1435262
Ac2PIM2(16:0_20:0)-H,1189.686256,933.4461762,877.3836162,1027.633436,621.1435362
Ac2PIM2(16:1_16:1)-H,1129.592356,875.3679159,875.3679159,967.5395359,621.1434759
Ac2PIM2(16:1_17:0)-H,1145.623656,891.399216,875.367936,983.570836,621.143496
Ac2PIM2(16:1_17:1)-H,1143.608006,889.3835659,875.3679259,981.5551859,621.1434859
Ac2PIM2(16:1_18:0)-H,1159.639306,905.4148661,875.3679461,997.5864861,621.1435061
Ac2PIM2(16:1_18:1)-H,1157.623656,903.399216,875.367936,995.570836,621.143496
Ac2PIM2(16:1_18:2)-H,1155.608006,901.3835659,875.3679259,993.5551859,621.1434859
Ac2PIM2(16:1_19:0)-H,1173.654956,919.4305161,875.3679561,1011.602136,621.1435161
Ac2PIM2(16:1_20:0)-H,1187.670606,933.4461662,875.3679662,1025.617786,621.1435262
Ac2PIM2(17:0_17:0)-H,1161.654956,891.3992361,891.3992361,999.6021361,621.1435161
Ac2PIM2(17:0_17:1)-H,1159.639306,889.3835861,891.3992261,997.5864861,621.1435061
Ac2PIM2(17:0_18:0)-H,1175.670606,905.4148862,891.3992462,1013.617786,621.1435262
Ac2PIM2(17:0_18:1)-H,1173.654956,903.3992361,891.3992361,1011.602136,621.1435161
Ac2PIM2(17:0_18:2)-H,1171.639306,901.3835861,891.3992261,1009.586486,621.1435061
Ac2PIM2(17:0_19:0)-H,1189.686256,919.4305362,891.3992562,1027.633436,621.1435362
Ac2PIM2(17:0_20:0)-H,1203.701906,933.4461863,891.3992663,1041.649086,621.1435463
Ac2PIM2(17:1_17:1)-H,1157.623656,889.383576,889.383576,995.570836,621.143496
Ac2PIM2(17:1_18:0)-H,1173.654956,905.4148761,889.3835961,1011.602136,621.1435161
Ac2PIM2(17:1_18:1)-H,1171.639306,903.3992261,889.3835861,1009.586486,621.1435061
Ac2PIM2(17:1_18:2)-H,1169.623656,901.383576,889.383576,1007.570836,621.143496
Ac2PIM2(17:1_19:0)-H,1187.670606,919.4305262,889.3836062,1025.617786,621.1435262
Ac2PIM2(17:1_20:0)-H,1201.686256,933.4461762,889.3836162,1039.633436,621.1435362
Ac2PIM2(18:0_18:0)-H,1189.686256,905.4148962,905.4148962,1027.633436,621.1435362
Ac2PIM2(18:0_18:1)-H,1187.670606,903.3992462,905.4148862,1025.617786,621.1435262
Ac2PIM2(18:0_18:2)-H,1185.654956,901.3835961,905.4148761,1023.602136,621.1435161
Ac2PIM2(18:0_19:0)-H,1203.701906,919.4305463,905.4149063,1041.649086,621.1435463
Ac2PIM2(18:0_20:0)-H,1217.717556,933.4461964,905.4149164,1055.664736,621.1435564
Ac2PIM2(18:1_18:1)-H,1185.654956,903.3992361,903.3992361,1023.602136,621.1435161
Ac2PIM2(18:1_18:2)-H,1183.639306,901.3835861,903.3992261,1021.586486,621.1435061
Ac2PIM2(18:1_19:0)-H,1201.686256,919.4305362,903.3992562,1039.633436,621.1435362
Ac2PIM2(18:1_20:0)-H,1215.701906,933.4461863,903.3992663,1053.649086,621.1435463
Ac2PIM2(18:2_18:2)-H,1181.623656,901.383576,901.383576,1019.570836,621.143496
Ac2PIM2(18:2_19:0)-H,1199.670606,919.4305262,901.3836062,1037.617786,621.1435262
Ac2PIM2(18:2_20:0)-H,1213.686256,933.4461762,901.3836162,1051.633436,621.1435362
Ac2PIM2(19:0_19:0)-H,1217.717556,919.4305564,919.4305564,1055.664736,621.1435564
Ac2PIM2(19:0_20:0)-H,1231.733206,933.4462064,919.4305664,1069.680386,621.1435664
Ac2PIM2(20:0_20:0)-H,1245.748856,933.4462165,933.4462165,1083.696036,621.1435765
Ac2PIM2(14:0_methyl-18:0)-H,1147.639306,919.4305061,849.3523061,985.5864861,621.1435061
Ac2PIM2(15:0_methyl-18:0)-H,1161.654956,919.4305161,863.3679561,999.6021361,621.1435161
Ac2PIM2(16:0_methyl-18:0)-H,1175.670606,919.4305262,877.3836062,1013.617786,621.1435262
Ac2PIM2(16:1_methyl-18:0)-H,1173.654956,919.4305161,875.3679561,1011.602136,621.1435161
Ac2PIM2(17:0_methyl-18:0)-H,1189.686256,919.4305362,891.3992562,1027.633436,621.1435362
Ac2PIM2(17:1_methyl-18:0)-H,1187.670606,919.4305262,889.3836062,1025.617786,621.1435262
Ac2PIM2(18:0_methyl-18:0)-H,1203.701906,919.4305463,905.4149063,1041.649086,621.1435463
Ac2PIM2(18:1_methyl-18:0)-H,1201.686256,919.4305362,903.3992562,1039.633436,621.1435362
Ac2PIM2(18:2_methyl-18:0)-H,1199.670606,919.4305262,901.3836062,1037.617786,621.1435262
Ac2PIM2(19:0_methyl-18:0)-H,1217.717556,919.4305564,919.4305564,1055.664736,621.1435564
Ac2PIM2(20:0_methyl-18:0)-H,1231.733206,919.4305664,933.4462064,1069.680386,621.1435664
