Cer-AS,[M-H]-,[M-O-H]-,[M-CO-3H]-,[M-CO-O-H]-,[Sph-3H]-,[Sph-O-3H]-,[FA+O-H]-,[FA+N-H]-,[Sph-CO-H]-,[FA-3H]-,[Sph-NCCO-H]-,[Sph-NCCO-3H]-,[FA-CO-3H]-
Cer-AS(d14:1/12:0)-H,440.374,422.3634,408.3478,392.3528,240.1969,224.202,215.1653,214.1813,212.202,197.1547,183.1754,181.1598,169.1598
Cer-AS(d14:1/12:1)-H,438.3583,420.3478,406.3321,390.3372,240.1969,224.202,213.1496,212.1656,212.202,195.1391,183.1754,181.1598,167.1441
Cer-AS(d14:1/13:0)-H,454.3896,436.3791,422.3634,406.3685,240.1969,224.202,229.1809,228.1969,212.202,211.1704,183.1754,181.1598,183.1754
Cer-AS(d14:1/13:1)-H,452.374,434.3634,420.3478,404.3528,240.1969,224.202,227.1653,226.1813,212.202,209.1547,183.1754,181.1598,181.1598
Cer-AS(d14:1/14:0)-H,468.4053,450.3947,436.3791,420.3842,240.1969,224.202,243.1966,242.2126,212.202,225.186,183.1754,181.1598,197.1911
Cer-AS(d14:1/14:1)-H,466.3896,448.3791,434.3634,418.3685,240.1969,224.202,241.1809,240.1969,212.202,223.1704,183.1754,181.1598,195.1754
Cer-AS(d14:1/15:0)-H,482.4209,464.4104,450.3947,434.3998,240.1969,224.202,257.2122,256.2282,212.202,239.2017,183.1754,181.1598,211.2067
Cer-AS(d14:1/15:1)-H,480.4053,462.3947,448.3791,432.3842,240.1969,224.202,255.1966,254.2126,212.202,237.186,183.1754,181.1598,209.1911
Cer-AS(d14:1/16:0)-H,496.4366,478.426,464.4104,448.4154,240.1969,224.202,271.2279,270.2439,212.202,253.2173,183.1754,181.1598,225.2224
Cer-AS(d14:1/16:1)-H,494.4209,476.4104,462.3947,446.3998,240.1969,224.202,269.2122,268.2282,212.202,251.2017,183.1754,181.1598,223.2067
Cer-AS(d14:1/16:2)-H,492.4053,474.3947,460.3791,444.3842,240.1969,224.202,267.1966,266.2126,212.202,249.186,183.1754,181.1598,221.1911
Cer-AS(d14:1/17:0)-H,510.4522,492.4417,478.426,462.4311,240.1969,224.202,285.2435,284.2595,212.202,267.233,183.1754,181.1598,239.238
Cer-AS(d14:1/18:0)-H,524.4679,506.4573,492.4417,476.4467,240.1969,224.202,299.2592,298.2751,212.202,281.2486,183.1754,181.1598,253.2537
Cer-AS(d14:1/18:1)-H,522.4523,504.4417,490.426,474.4311,240.1969,224.202,297.2435,296.2595,212.202,279.233,183.1754,181.1598,251.238
Cer-AS(d14:1/18:2)-H,520.4366,502.426,488.4104,472.4154,240.1969,224.202,295.2279,294.2439,212.202,277.2173,183.1754,181.1598,249.2224
Cer-AS(d14:1/19:0)-H,538.4835,520.473,506.4573,490.4624,240.1969,224.202,313.2748,312.2908,212.202,295.2643,183.1754,181.1598,267.2693
Cer-AS(d14:1/19:1)-H,536.4679,518.4573,504.4417,488.4467,240.1969,224.202,311.2592,310.2751,212.202,293.2486,183.1754,181.1598,265.2537
Cer-AS(d14:1/20:0)-H,552.4992,534.4886,520.473,504.4781,240.1969,224.202,327.2905,326.3065,212.202,309.2799,183.1754,181.1598,281.285
Cer-AS(d14:1/20:1)-H,550.4835,532.473,518.4573,502.4624,240.1969,224.202,325.2748,324.2908,212.202,307.2643,183.1754,181.1598,279.2693
Cer-AS(d14:1/20:2)-H,548.4679,530.4573,516.4417,500.4467,240.1969,224.202,323.2592,322.2751,212.202,305.2486,183.1754,181.1598,277.2537
