Cer-BDS,[M-H]-,[Sph+CC=O-H]-,[Sph+C=O-CO-3H]-,[Sph-H]-,[Sph-NCCO-3H]-
Cer-BDS(d14:0/12:0)-H,442.3896,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/12:1)-H,440.374,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/13:0)-H,456.4053,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/13:1)-H,454.3896,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/14:0)-H,470.4209,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/14:1)-H,468.4053,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/15:0)-H,484.4366,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/15:1)-H,482.4209,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/16:0)-H,498.4522,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/16:1)-H,496.4366,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/16:2)-H,494.4209,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/17:0)-H,512.4679,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/18:0)-H,526.4835,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/18:1)-H,524.4679,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/18:2)-H,522.4523,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/19:0)-H,540.4992,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/19:1)-H,538.4835,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/20:0)-H,554.5148,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/20:1)-H,552.4992,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/20:2)-H,550.4835,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/21:0)-H,568.5305,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/21:1)-H,566.5148,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/22:0)-H,582.5461,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/22:1)-H,580.5305,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/22:2)-H,578.5148,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/23:0)-H,596.5618,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/23:1)-H,594.5461,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/24:0)-H,610.5775,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/24:1)-H,608.5618,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/24:2)-H,606.5461,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/25:0)-H,624.5931,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/25:1)-H,622.5775,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/26:0)-H,638.6088,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/26:1)-H,636.5931,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/26:2)-H,634.5775,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/27:0)-H,652.6244,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/27:1)-H,650.6088,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/28:0)-H,666.64,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/28:1)-H,664.6244,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/28:2)-H,662.6088,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/29:0)-H,680.6557,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/29:1)-H,678.64,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/30:0)-H,694.6713,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/30:1)-H,692.6557,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/30:2)-H,690.64,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/31:0)-H,708.687,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/31:1)-H,706.6713,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/32:0)-H,722.7026,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/32:1)-H,720.687,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/32:2)-H,718.6713,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/33:0)-H,736.7183,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/33:1)-H,734.7026,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/34:0)-H,750.7339,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/34:1)-H,748.7183,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/34:2)-H,746.7026,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/35:0)-H,764.7496,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/35:1)-H,762.7339,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/36:0)-H,778.7653,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/36:1)-H,776.7496,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/36:2)-H,774.7339,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/38:0)-H,806.7966,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/38:1)-H,804.7809,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/38:2)-H,802.7653,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/40:0)-H,834.8278,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/40:1)-H,832.8122,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/40:2)-H,830.7966,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/42:0)-H,862.8591,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/42:1)-H,860.8435,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d14:0/42:2)-H,858.8278,286.2388,254.2126,244.2282,183.1754
Cer-BDS(d15:0/12:0)-H,456.4053,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/12:1)-H,454.3896,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/13:0)-H,470.4209,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/13:1)-H,468.4053,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/14:0)-H,484.4366,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/14:1)-H,482.4209,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/15:0)-H,498.4522,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/15:1)-H,496.4366,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/16:0)-H,512.4679,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/16:1)-H,510.4522,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/16:2)-H,508.4366,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/17:0)-H,526.4835,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/18:0)-H,540.4992,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/18:1)-H,538.4835,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/18:2)-H,536.4679,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/19:0)-H,554.5148,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/19:1)-H,552.4992,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/20:0)-H,568.5305,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/20:1)-H,566.5148,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/20:2)-H,564.4992,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/21:0)-H,582.5461,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/21:1)-H,580.5305,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/22:0)-H,596.5618,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/22:1)-H,594.5461,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/22:2)-H,592.5305,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/23:0)-H,610.5775,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/23:1)-H,608.5618,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/24:0)-H,624.5931,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/24:1)-H,622.5775,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/24:2)-H,620.5618,300.2544,268.2282,258.2439,197.1911
