Cer-NDS,[M+H]+,[M-H2O+H]+,[M-2H2O+H]+,[Sph-H2O+H]+,[Sph-2H2O+H]+,[FAA+H]+,[Sph-CH4O2+H]+
Cer-NDS(d14:0/12:0)+H,428.4098,410.3993,392.3887,228.2322,210.2216,200.2009,198.2216
Cer-NDS(d14:0/12:1)+H,426.3942,408.3836,390.373,228.2322,210.2216,198.1853,198.2216
Cer-NDS(d14:0/13:0)+H,442.4255,424.4149,406.4043,228.2322,210.2216,214.2166,198.2216
Cer-NDS(d14:0/13:1)+H,440.4098,422.3993,404.3887,228.2322,210.2216,212.2009,198.2216
Cer-NDS(d14:0/14:0)+H,456.4411,438.4305,420.42,228.2322,210.2216,228.2322,198.2216
Cer-NDS(d14:0/14:1)+H,454.4255,436.4149,418.4043,228.2322,210.2216,226.2166,198.2216
Cer-NDS(d14:0/15:0)+H,470.4568,452.4462,434.4356,228.2322,210.2216,242.2478,198.2216
Cer-NDS(d14:0/15:1)+H,468.4411,450.4305,432.42,228.2322,210.2216,240.2322,198.2216
Cer-NDS(d14:0/16:0)+H,484.4724,466.4619,448.4513,228.2322,210.2216,256.2635,198.2216
Cer-NDS(d14:0/16:1)+H,482.4568,464.4462,446.4356,228.2322,210.2216,254.2478,198.2216
Cer-NDS(d14:0/16:2)+H,480.4411,462.4305,444.42,228.2322,210.2216,252.2322,198.2216
Cer-NDS(d14:0/17:0)+H,498.4881,480.4775,462.4669,228.2322,210.2216,270.2791,198.2216
Cer-NDS(d14:0/18:0)+H,512.5037,494.4932,476.4826,228.2322,210.2216,284.2948,198.2216
Cer-NDS(d14:0/18:1)+H,510.4881,492.4775,474.4669,228.2322,210.2216,282.2791,198.2216
Cer-NDS(d14:0/18:2)+H,508.4724,490.4619,472.4513,228.2322,210.2216,280.2635,198.2216
Cer-NDS(d14:0/19:0)+H,526.5193,508.5088,490.4982,228.2322,210.2216,298.3105,198.2216
Cer-NDS(d14:0/19:1)+H,524.5037,506.4932,488.4826,228.2322,210.2216,296.2948,198.2216
Cer-NDS(d14:0/20:0)+H,540.535,522.5245,504.5139,228.2322,210.2216,312.3261,198.2216
Cer-NDS(d14:0/20:1)+H,538.5193,520.5088,502.4982,228.2322,210.2216,310.3105,198.2216
Cer-NDS(d14:0/20:2)+H,536.5037,518.4932,500.4826,228.2322,210.2216,308.2948,198.2216
Cer-NDS(d14:0/21:0)+H,554.5507,536.5401,518.5295,228.2322,210.2216,326.3417,198.2216
Cer-NDS(d14:0/21:1)+H,552.535,534.5245,516.5139,228.2322,210.2216,324.3261,198.2216
Cer-NDS(d14:0/22:0)+H,568.5663,550.5557,532.5452,228.2322,210.2216,340.3574,198.2216
