Cer-NP,[M+C2H3O2]-,[M-H]-,[M-H2O-H]-,[M-2H2O-H]-,[FAA+C3H5O-H]-,[FAA+C2H5O-H]-,[FAA+C2H5O-H]-,[FAA+C2H3-H]-,[Sph-CH9NO-H]-,[FA+O-H]-,[Sph-C2H9NO-H]-,[FAA-H]-,[Sph-C3H11NO2-H]-
Cer-NP(t14:0/12:0)+C2H3O2,502.4108,442.3896,424.3791,406.3685,254.2115,242.2115,242.2115,224.2009,211.1693,199.1704,199.1693,198.1858,169.1587
Cer-NP(t14:0/12:1)+C2H3O2,500.3951,440.374,422.3634,404.3528,252.1958,240.1958,240.1958,222.1853,211.1693,197.1547,199.1693,196.1701,169.1587
Cer-NP(t14:0/13:0)+C2H3O2,516.4264,456.4053,438.3947,420.3842,268.2271,256.2271,256.2271,238.2166,211.1693,213.186,199.1693,212.2014,169.1587
Cer-NP(t14:0/13:1)+C2H3O2,514.4108,454.3896,436.3791,418.3685,266.2115,254.2115,254.2115,236.2009,211.1693,211.1704,199.1693,210.1858,169.1587
Cer-NP(t14:0/14:0)+C2H3O2,530.4421,470.4209,452.4104,434.3998,282.2428,270.2428,270.2428,252.2322,211.1693,227.2017,199.1693,226.2171,169.1587
Cer-NP(t14:0/14:1)+C2H3O2,528.4264,468.4053,450.3947,432.3842,280.2271,268.2271,268.2271,250.2166,211.1693,225.186,199.1693,224.2014,169.1587
Cer-NP(t14:0/15:0)+C2H3O2,544.4577,484.4366,466.426,448.4154,296.2584,284.2584,284.2584,266.2479,211.1693,241.2173,199.1693,240.2327,169.1587
Cer-NP(t14:0/15:1)+C2H3O2,542.4421,482.4209,464.4104,446.3998,294.2428,282.2428,282.2428,264.2322,211.1693,239.2017,199.1693,238.2171,169.1587
Cer-NP(t14:0/16:0)+C2H3O2,558.4734,498.4522,480.4417,462.4311,310.2741,298.2741,298.2741,280.2635,211.1693,255.233,199.1693,254.2484,169.1587
Cer-NP(t14:0/16:1)+C2H3O2,556.4577,496.4366,478.426,460.4154,308.2584,296.2584,296.2584,278.2479,211.1693,253.2173,199.1693,252.2327,169.1587
Cer-NP(t14:0/16:2)+C2H3O2,554.4421,494.4209,476.4104,458.3998,306.2428,294.2428,294.2428,276.2322,211.1693,251.2017,199.1693,250.2171,169.1587
Cer-NP(t14:0/17:0)+C2H3O2,572.489,512.4679,494.4573,476.4467,324.2897,312.2897,312.2897,294.2791,211.1693,269.2486,199.1693,268.264,169.1587
Cer-NP(t14:0/18:0)+C2H3O2,586.5047,526.4835,508.473,490.4624,338.3054,326.3054,326.3054,308.2948,211.1693,283.2643,199.1693,282.2797,169.1587
Cer-NP(t14:0/18:1)+C2H3O2,584.489,524.4679,506.4573,488.4467,336.2897,324.2897,324.2897,306.2791,211.1693,281.2486,199.1693,280.264,169.1587
Cer-NP(t14:0/18:2)+C2H3O2,582.4734,522.4523,504.4417,486.4311,334.2741,322.2741,322.2741,304.2635,211.1693,279.233,199.1693,278.2484,169.1587
Cer-NP(t14:0/19:0)+C2H3O2,600.5203,540.4992,522.4886,504.4781,352.321,340.321,340.321,322.3105,211.1693,297.2799,199.1693,296.2953,169.1587
Cer-NP(t14:0/19:1)+C2H3O2,598.5047,538.4835,520.473,502.4624,350.3054,338.3054,338.3054,320.2948,211.1693,295.2643,199.1693,294.2797,169.1587
Cer-NP(t14:0/20:0)+C2H3O2,614.5359,554.5148,536.5043,518.4937,366.3367,354.3367,354.3367,336.3261,211.1693,311.2956,199.1693,310.311,169.1587
Cer-NP(t14:0/20:1)+C2H3O2,612.5203,552.4992,534.4886,516.478,364.321,352.321,352.321,334.3105,211.1693,309.2799,199.1693,308.2953,169.1587
Cer-NP(t14:0/20:2)+C2H3O2,610.5047,550.4835,532.473,514.4624,362.3054,350.3054,350.3054,332.2948,211.1693,307.2643,199.1693,306.2797,169.1587
Cer-NP(t14:0/21:0)+C2H3O2,628.5516,568.5305,550.5199,532.5093,380.3523,368.3523,368.3523,350.3417,211.1693,325.3112,199.1693,324.3266,169.1587
Cer-NP(t14:0/21:1)+C2H3O2,626.5359,566.5148,548.5043,530.4937,378.3367,366.3367,366.3367,348.3261,211.1693,323.2956,199.1693,322.311,169.1587
Cer-NP(t14:0/22:0)+C2H3O2,642.5673,582.5461,564.5356,546.525,394.368,382.368,382.368,364.3574,211.1693,339.3269,199.1693,338.3423,169.1587
Cer-NP(t14:0/22:1)+C2H3O2,640.5516,580.5305,562.5199,544.5093,392.3523,380.3523,380.3523,362.3417,211.1693,337.3112,199.1693,336.3266,169.1587
