DGDG,[M+C2H3O2]-,[M-H]-,NL of SN1+HCOOH,NL of SN2+HCOOH,NL of SN1+HCOOH+H2O,NL of SN2+HCOOH+H2O,C15H27O13,C15H25O12,C15H23O11,SN2,SN1
DGDG(2:0_2:0)+C2H3O2,559.1874,499.1663,457.1557,457.1557,439.1452,439.1452,415.1457,397.1352,379.1246,59.0133,59.0133
DGDG(2:0_3:0)+C2H3O2,573.2031,513.1819,471.1714,457.1558,453.1608,439.1452,415.1457,397.1352,379.1246,73.02894,59.0133
DGDG(2:0_4:0)+C2H3O2,587.2188,527.1976,485.187,457.1558,467.1765,439.1452,415.1457,397.1352,379.1246,87.04458,59.0133
DGDG(2:0_5:0)+C2H3O2,601.2344,541.2133,499.2027,457.1558,481.1921,439.1452,415.1457,397.1352,379.1246,101.0602,59.0133
DGDG(2:0_6:0)+C2H3O2,615.25,555.2289,513.2183,457.1558,495.2078,439.1452,415.1457,397.1352,379.1246,115.0759,59.0133
DGDG(2:0_7:0)+C2H3O2,629.2657,569.2446,527.234,457.1558,509.2234,439.1452,415.1457,397.1352,379.1246,129.0915,59.0133
DGDG(2:0_8:0)+C2H3O2,643.2813,583.2602,541.2496,457.1558,523.2391,439.1452,415.1457,397.1352,379.1246,143.1071,59.0133
DGDG(2:0_9:0)+C2H3O2,657.297,597.2759,555.2653,457.1558,537.2547,439.1453,415.1457,397.1352,379.1246,157.1228,59.0133
DGDG(2:0_10:0)+C2H3O2,671.3126,611.2915,569.2809,457.1558,551.2704,439.1453,415.1457,397.1352,379.1246,171.1384,59.0133
DGDG(2:0_11:0)+C2H3O2,685.3283,625.3071,583.2966,457.1558,565.286,439.1453,415.1457,397.1352,379.1246,185.1541,59.0133
DGDG(2:0_12:0)+C2H3O2,699.3439,639.3228,597.3123,457.1559,579.3017,439.1453,415.1457,397.1352,379.1246,199.1697,59.0133
DGDG(2:0_13:0)+C2H3O2,713.3596,653.3384,611.3279,457.1559,593.3173,439.1453,415.1457,397.1352,379.1246,213.1853,59.0133
DGDG(2:0_13:1)+C2H3O2,711.3439,651.3228,609.3123,457.1559,591.3017,439.1453,415.1457,397.1352,379.1246,211.1697,59.0133
DGDG(2:0_14:0)+C2H3O2,727.3752,667.3541,625.3436,457.1559,607.333,439.1453,415.1457,397.1352,379.1246,227.201,59.0133
DGDG(2:0_14:1)+C2H3O2,725.3596,665.3384,623.3279,457.1559,605.3173,439.1453,415.1457,397.1352,379.1246,225.1853,59.0133
DGDG(2:0_15:0)+C2H3O2,741.3909,681.3698,639.3592,457.1559,621.3486,439.1453,415.1457,397.1352,379.1246,241.2166,59.0133
DGDG(2:0_15:1)+C2H3O2,739.3752,679.3541,637.3436,457.1559,619.333,439.1453,415.1457,397.1352,379.1246,239.201,59.0133
DGDG(2:0_16:0)+C2H3O2,755.4066,695.3854,653.3748,457.1559,635.3643,439.1453,415.1457,397.1352,379.1246,255.2323,59.0133
DGDG(2:0_16:1)+C2H3O2,753.3909,693.3698,651.3592,457.1559,633.3486,439.1453,415.1457,397.1352,379.1246,253.2166,59.0133
