DMPE,[M-H]-,T1_RCOO-,T2_RCOO-
DMPE(8:0_8:0)-H,494.2888,143.10775,143.10775
DMPE(8:0_10:0)-H,522.3201,143.10775,171.13905
DMPE(8:0_12:0)-H,550.3514,143.10775,199.17035
DMPE(8:0_13:0)-H,564.3671,143.10775,213.18605
DMPE(8:0_14:0)-H,578.3827,143.10775,227.20165
DMPE(8:0_14:1)-H,576.3671,143.10775,225.18605
DMPE(8:0_15:0)-H,592.3984,143.10775,241.21735
DMPE(8:0_15:1)-H,590.3827,143.10775,239.20165
DMPE(8:0_16:0)-H,606.414,143.10775,255.23295
DMPE(8:0_16:1)-H,604.3984,143.10775,253.21735
DMPE(8:0_17:0)-H,620.4297,143.10775,269.24865
DMPE(8:0_17:1)-H,618.414,143.10775,267.23295
DMPE(8:0_17:2)-H,616.3984,143.10775,265.21735
DMPE(8:0_18:0)-H,634.4453,143.10775,283.26425
DMPE(8:0_18:1)-H,632.4297,143.10775,281.24865
DMPE(8:0_18:2)-H,630.414,143.10775,279.23295
DMPE(8:0_18:3)-H,628.3984,143.10775,277.21735
DMPE(8:0_18:4)-H,626.3827,143.10775,275.20165
DMPE(8:0_19:0)-H,648.461,143.10775,297.27995
DMPE(8:0_20:0)-H,662.4766,143.10775,311.29555
DMPE(8:0_20:1)-H,660.461,143.10775,309.27995
DMPE(8:0_20:2)-H,658.4453,143.10775,307.26425
DMPE(8:0_20:3)-H,656.4297,143.10775,305.24865
DMPE(8:0_20:4)-H,654.414,143.10775,303.23295
DMPE(8:0_20:5)-H,652.3984,143.10775,301.21735
DMPE(8:0_21:0)-H,676.4923,143.10775,325.31125
DMPE(8:0_22:0)-H,690.5079,143.10775,339.32685
DMPE(8:0_22:1)-H,688.4923,143.10775,337.31125
DMPE(8:0_22:2)-H,686.4766,143.10775,335.29555
DMPE(8:0_22:3)-H,684.461,143.10775,333.27995
DMPE(8:0_22:4)-H,682.4453,143.10775,331.26425
DMPE(8:0_22:5)-H,680.4297,143.10775,329.24865
DMPE(8:0_22:6)-H,678.414,143.10775,327.23295
DMPE(8:0_23:0)-H,704.5236,143.10775,353.34255
DMPE(8:0_24:0)-H,718.5392,143.10775,367.35815
DMPE(8:0_24:1)-H,716.5236,143.10775,365.34255
DMPE(8:0_25:0)-H,732.5549,143.10775,381.37385
DMPE(8:0_26:0)-H,746.5705,143.10775,395.38945
DMPE(10:0_10:0)-H,550.3514,171.13905,171.13905
DMPE(10:0_12:0)-H,578.3827,171.13905,199.17035
DMPE(10:0_13:0)-H,592.3984,171.13905,213.18605
DMPE(10:0_14:0)-H,606.414,171.13905,227.20165
DMPE(10:0_14:1)-H,604.3984,171.13905,225.18605
DMPE(10:0_15:0)-H,620.4297,171.13905,241.21735
DMPE(10:0_15:1)-H,618.414,171.13905,239.20165
DMPE(10:0_16:0)-H,634.4453,171.13905,255.23295
DMPE(10:0_16:1)-H,632.4297,171.13905,253.21735
DMPE(10:0_17:0)-H,648.461,171.13905,269.24865
DMPE(10:0_17:1)-H,646.4453,171.13905,267.23295
DMPE(10:0_17:2)-H,644.4297,171.13905,265.21735
