FA,[M-H]-
FA(16:0)-H,255.23295
FA(16:1)-H,253.21735
FA(16:2)-H,251.20165
FA(16:3)-H,249.18605
FA(16:4)-H,247.17035
FA(16:5)-H,245.15475
FA(17:0)-H,269.24855
FA(17:1)-H,267.23295
FA(17:2)-H,265.21735
FA(17:3)-H,263.20165
FA(18:0)-H,283.26425
FA(18:1)-H,281.24855
FA(18:2)-H,279.23295
FA(18:3)-H,277.21735
FA(18:4)-H,275.20165
FA(18:5)-H,273.18605
FA(19:0)-H,297.27995
FA(19:1)-H,295.26425
FA(19:2)-H,293.24855
FA(19:3)-H,291.23295
FA(19:4)-H,289.21735
FA(19:5)-H,287.20165
FA(20:0)-H,311.29555
FA(20:1)-H,309.27995
FA(20:2)-H,307.26425
FA(20:3)-H,305.24855
FA(20:4)-H,303.23295
FA(20:5)-H,301.21735
FA(20:6)-H,299.20165
FA(21:0)-H,325.31125
FA(21:1)-H,323.29555
FA(21:2)-H,321.27995
FA(21:3)-H,319.26425
FA(21:4)-H,317.24855
FA(21:5)-H,315.23295
FA(22:0)-H,339.32685
FA(22:1)-H,337.31125
FA(22:2)-H,335.29555
FA(22:3)-H,333.27995
FA(22:4)-H,331.26425
FA(22:5)-H,329.24855
FA(22:6)-H,327.23295
FA(22:7)-H,325.21735
