GM3,[M+NH4]+,[M+H]+,[M-H2O+H]+,[M-C11H17NO8+H]+,[M-C11H15NO7+H]+,[M-C17H27NO13+H]+,[M-C17H25NO12+H]+,[M-C23H37NO18+H]+,[M-C23H35NO17+H]+,[C11H17NO8+H]+
GM3(d26:0)+NH4,1060.63755,1043.611,1025.601,752.5159,734.5053,590.463,572.4525,428.4102,410.3996,292.1027
GM3(d26:1)+NH4,1058.62155,1041.595,1023.585,750.4999,732.4893,588.447,570.4365,426.3942,408.3836,292.1027
GM3(d26:2)+NH4,1056.60555,1039.579,1021.569,748.4839,730.4733,586.431,568.4205,424.3782,406.3676,292.1027
GM3(d27:0)+NH4,1074.65255,1057.626,1039.616,766.5309,748.5203,604.478,586.4675,442.4252,424.4146,292.1027
GM3(d27:1)+NH4,1072.63755,1055.611,1037.601,764.5159,746.5053,602.463,584.4525,440.4102,422.3996,292.1027
GM3(d27:2)+NH4,1070.62155,1053.595,1035.585,762.4999,744.4893,600.447,582.4365,438.3942,420.3836,292.1027
GM3(d28:0)+NH4,1088.66855,1071.642,1053.632,780.5469,762.5363,618.494,600.4835,456.4412,438.4306,292.1027
GM3(d28:1)+NH4,1086.65255,1069.626,1051.616,778.5309,760.5203,616.478,598.4675,454.4252,436.4146,292.1027
GM3(d28:2)+NH4,1084.63755,1067.611,1049.601,776.5159,758.5053,614.463,596.4525,452.4102,434.3996,292.1027
GM3(d29:0)+NH4,1102.68455,1085.658,1067.648,794.5629,776.5523,632.51,614.4995,470.4572,452.4466,292.1027
GM3(d29:1)+NH4,1100.66855,1083.642,1065.632,792.5469,774.5363,630.494,612.4835,468.4412,450.4306,292.1027
GM3(d29:2)+NH4,1098.65255,1081.626,1063.616,790.5309,772.5203,628.478,610.4675,466.4252,448.4146,292.1027
GM3(d30:0)+NH4,1116.69955,1099.673,1081.663,808.5779,790.5673,646.525,628.5145,484.4722,466.4616,292.1027
GM3(d30:1)+NH4,1114.68455,1097.658,1079.648,806.5629,788.5523,644.51,626.4995,482.4572,464.4466,292.1027
GM3(d30:2)+NH4,1112.66855,1095.642,1077.632,804.5469,786.5363,642.494,624.4835,480.4412,462.4306,292.1027
GM3(d30:3)+NH4,1110.65255,1093.626,1075.616,802.5309,784.5203,640.478,622.4675,478.4252,460.4146,292.1027
GM3(d31:0)+NH4,1130.71555,1113.689,1095.679,822.5939,804.5833,660.541,642.5305,498.4882,480.4776,292.1027
GM3(d31:1)+NH4,1128.69955,1111.673,1093.663,820.5779,802.5673,658.525,640.5145,496.4722,478.4616,292.1027
GM3(d31:2)+NH4,1126.68455,1109.658,1091.648,818.5629,800.5523,656.51,638.4995,494.4572,476.4466,292.1027
GM3(d31:3)+NH4,1124.66855,1107.642,1089.632,816.5469,798.5363,654.494,636.4835,492.4412,474.4306,292.1027
GM3(d32:0)+NH4,1144.73155,1127.705,1109.695,836.6099,818.5993,674.5571,656.5464,512.5042,494.4937,292.1027
GM3(d32:1)+NH4,1142.71555,1125.689,1107.679,834.5939,816.5833,672.541,654.5305,510.4882,492.4776,292.1027
GM3(d32:2)+NH4,1140.69955,1123.673,1105.663,832.5779,814.5673,670.525,652.5145,508.4722,490.4616,292.1027
GM3(d32:3)+NH4,1138.68455,1121.658,1103.648,830.5629,812.5523,668.51,650.4995,506.4572,488.4466,292.1027
GM3(d33:0)+NH4,1158.74655,1141.72,1123.71,850.6249,832.6143,688.572,670.5615,526.5192,508.5086,292.1027
GM3(d33:1)+NH4,1156.73155,1139.705,1121.695,848.6099,830.5993,686.5571,668.5464,524.5042,506.4937,292.1027
GM3(d33:2)+NH4,1154.71555,1137.689,1119.679,846.5939,828.5833,684.541,666.5305,522.4882,504.4776,292.1027
GM3(d33:3)+NH4,1152.69955,1135.673,1117.663,844.5779,826.5673,682.525,664.5145,520.4722,502.4616,292.1027
GM3(d34:0)+NH4,1172.76255,1155.736,1137.726,864.6409,846.6303,702.588,684.5775,540.5352,522.5247,292.1027
GM3(d34:1)+NH4,1170.74655,1153.72,1135.71,862.6249,844.6143,700.572,682.5615,538.5192,520.5087,292.1027
GM3(d34:2)+NH4,1168.73155,1151.705,1133.695,860.6099,842.5993,698.5571,680.5464,536.5042,518.4937,292.1027
GM3(d34:3)+NH4,1166.71555,1149.689,1131.679,858.5939,840.5833,696.541,678.5305,534.4882,516.4777,292.1027
GM3(d35:0)+NH4,1186.77855,1169.752,1151.742,878.6569,860.6463,716.6041,698.5934,554.5512,536.5406,292.1027
GM3(d35:1)+NH4,1184.76255,1167.736,1149.726,876.6409,858.6303,714.588,696.5775,552.5352,534.5247,292.1027
GM3(d35:2)+NH4,1182.74655,1165.72,1147.71,874.6249,856.6143,712.572,694.5615,550.5192,532.5087,292.1027
GM3(d35:3)+NH4,1180.73155,1163.705,1145.695,872.6099,854.5993,710.5571,692.5464,548.5042,530.4937,292.1027
GM3(d36:0)+NH4,1200.79355,1183.767,1165.757,892.6719,874.6613,730.619,712.6085,568.5662,550.5557,292.1027
GM3(d36:1)+NH4,1198.77855,1181.752,1163.742,890.6569,872.6463,728.6041,710.5934,566.5512,548.5406,292.1027
GM3(d36:2)+NH4,1196.76255,1179.736,1161.726,888.6409,870.6303,726.588,708.5775,564.5352,546.5247,292.1027
GM3(d36:3)+NH4,1194.74655,1177.72,1159.71,886.6249,868.6143,724.572,706.5615,562.5192,544.5087,292.1027
GM3(d37:0)+NH4,1214.80955,1197.783,1179.773,906.6879,888.6773,744.635,726.6245,582.5822,564.5717,292.1027
GM3(d37:1)+NH4,1212.79355,1195.767,1177.757,904.6719,886.6613,742.619,724.6085,580.5662,562.5557,292.1027
GM3(d37:2)+NH4,1210.77855,1193.752,1175.742,902.6569,884.6463,740.6041,722.5934,578.5512,560.5406,292.1027
GM3(d37:3)+NH4,1208.76255,1191.736,1173.726,900.6409,882.6303,738.588,720.5775,576.5352,558.5247,292.1027
GM3(d38:0)+NH4,1228.82455,1211.798,1193.788,920.7029,902.6923,758.65,740.6395,596.5972,578.5867,292.1027
