HexCer-NDS,[M+H]+,[M-C6H10O5+H]+,[M-Hex-H2O+H]+,[M-Hex-2H2O+H]+,[Sph-H2O+H]+,[Sph-2H2O+H]+,[FAA+H]+,[Sph-CH4O2+H]+
HexCer-NDS(d14:0/12:0)+H,590.4632,428.4103,410.3998,392.3892,228.2322,210.2216,200.2009,198.2216
HexCer-NDS(d14:0/12:1)+H,588.4475,426.3947,408.3841,390.3736,228.2322,210.2216,198.1853,198.2216
HexCer-NDS(d14:0/13:0)+H,604.4788,442.426,424.4154,406.4049,228.2322,210.2216,214.2166,198.2216
HexCer-NDS(d14:0/13:1)+H,602.4632,440.4103,422.3998,404.3892,228.2322,210.2216,212.2009,198.2216
HexCer-NDS(d14:0/14:0)+H,618.4945,456.4417,438.4311,420.4205,228.2322,210.2216,228.2322,198.2216
HexCer-NDS(d14:0/14:1)+H,616.4788,454.426,436.4154,418.4049,228.2322,210.2216,226.2166,198.2216
HexCer-NDS(d14:0/15:0)+H,632.5101,470.4573,452.4467,434.4362,228.2322,210.2216,242.2478,198.2216
HexCer-NDS(d14:0/15:1)+H,630.4945,468.4417,450.4311,432.4205,228.2322,210.2216,240.2322,198.2216
HexCer-NDS(d14:0/16:0)+H,646.5258,484.473,466.4624,448.4518,228.2322,210.2216,256.2635,198.2216
HexCer-NDS(d14:0/16:1)+H,644.5101,482.4573,464.4467,446.4362,228.2322,210.2216,254.2478,198.2216
HexCer-NDS(d14:0/16:2)+H,642.4945,480.4417,462.4311,444.4205,228.2322,210.2216,252.2322,198.2216
HexCer-NDS(d14:0/17:0)+H,660.5414,498.4886,480.478,462.4675,228.2322,210.2216,270.2791,198.2216
HexCer-NDS(d14:0/18:0)+H,674.5571,512.5043,494.4937,476.4831,228.2322,210.2216,284.2948,198.2216
HexCer-NDS(d14:0/18:1)+H,672.5414,510.4886,492.478,474.4675,228.2322,210.2216,282.2791,198.2216
HexCer-NDS(d14:0/18:2)+H,670.5258,508.473,490.4624,472.4518,228.2322,210.2216,280.2635,198.2216
HexCer-NDS(d14:0/19:0)+H,688.5728,526.5199,508.5093,490.4988,228.2322,210.2216,298.3105,198.2216
HexCer-NDS(d14:0/19:1)+H,686.5571,524.5043,506.4937,488.4831,228.2322,210.2216,296.2948,198.2216
HexCer-NDS(d14:0/20:0)+H,702.5884,540.5356,522.525,504.5144,228.2322,210.2216,312.3261,198.2216
HexCer-NDS(d14:0/20:1)+H,700.5728,538.5199,520.5093,502.4988,228.2322,210.2216,310.3105,198.2216
HexCer-NDS(d14:0/20:2)+H,698.5571,536.5043,518.4937,500.4831,228.2322,210.2216,308.2948,198.2216
HexCer-NDS(d14:0/21:0)+H,716.6041,554.5512,536.5406,518.5301,228.2322,210.2216,326.3417,198.2216
HexCer-NDS(d14:0/21:1)+H,714.5884,552.5356,534.525,516.5144,228.2322,210.2216,324.3261,198.2216
HexCer-NDS(d14:0/22:0)+H,730.6197,568.5668,550.5563,532.5457,228.2322,210.2216,340.3574,198.2216
HexCer-NDS(d14:0/22:1)+H,728.6041,566.5512,548.5406,530.5301,228.2322,210.2216,338.3417,198.2216
HexCer-NDS(d14:0/22:2)+H,726.5884,564.5356,546.525,528.5144,228.2322,210.2216,336.3261,198.2216
HexCer-NDS(d14:0/23:0)+H,744.6353,582.5825,564.572,546.5613,228.2322,210.2216,354.373,198.2216
HexCer-NDS(d14:0/23:1)+H,742.6197,580.5668,562.5563,544.5457,228.2322,210.2216,352.3574,198.2216
HexCer-NDS(d14:0/24:0)+H,758.651,596.5981,578.5876,560.577,228.2322,210.2216,368.3887,198.2216
HexCer-NDS(d14:0/24:1)+H,756.6353,594.5825,576.572,558.5613,228.2322,210.2216,366.373,198.2216
HexCer-NDS(d14:0/24:2)+H,754.6197,592.5668,574.5563,556.5457,228.2322,210.2216,364.3574,198.2216
