HBMP,[M+NH4]+,[M-SN3-H3O4P]+,[SN2+C3H4O2+H]+,[SN3+C3H4O2+H]+,[SN1+C3H4O2+H]+
HBMP(12:0_12:0_12:0)+NH4,810.586,439.3787,257.2112,257.2112,257.2112
HBMP(12:0_12:0_14:0)+NH4,838.6173,439.3787,257.2112,285.2424,257.2112
HBMP(12:0_12:0_14:1)+NH4,836.6017,439.3787,257.2112,283.2268,257.2112
HBMP(12:0_12:0_16:0)+NH4,866.6486,439.3787,257.2112,313.2737,257.2112
HBMP(12:0_12:0_16:1)+NH4,864.633,439.3787,257.2112,311.2581,257.2112
HBMP(12:0_12:0_16:2)+NH4,862.6173,439.3787,257.2112,309.2424,257.2112
HBMP(12:0_12:0_16:3)+NH4,860.6017,439.3787,257.2112,307.2268,257.2112
HBMP(12:0_12:0_16:4)+NH4,858.586,439.3787,257.2112,305.2112,257.2112
HBMP(12:0_12:0_18:0)+NH4,894.6799,439.3787,257.2112,341.3051,257.2112
HBMP(12:0_12:0_18:1)+NH4,892.6642,439.3787,257.2112,339.2894,257.2112
HBMP(12:0_12:0_18:2)+NH4,890.6486,439.3787,257.2112,337.2737,257.2112
HBMP(12:0_12:0_18:3)+NH4,888.633,439.3787,257.2112,335.2581,257.2112
HBMP(12:0_12:0_18:4)+NH4,886.6173,439.3787,257.2112,333.2424,257.2112
HBMP(12:0_12:0_18:5)+NH4,884.6017,439.3787,257.2112,331.2268,257.2112
HBMP(12:0_12:0_20:0)+NH4,922.7112,439.3787,257.2112,369.3363,257.2112
HBMP(12:0_12:0_20:1)+NH4,920.6956,439.3787,257.2112,367.3207,257.2112
HBMP(12:0_12:0_20:2)+NH4,918.6799,439.3787,257.2112,365.3051,257.2112
HBMP(12:0_12:0_20:3)+NH4,916.6642,439.3787,257.2112,363.2894,257.2112
HBMP(12:0_12:0_20:4)+NH4,914.6486,439.3787,257.2112,361.2737,257.2112
HBMP(12:0_12:0_20:5)+NH4,912.633,439.3787,257.2112,359.2581,257.2112
HBMP(12:0_12:0_22:0)+NH4,950.7425,439.3787,257.2112,397.3676,257.2112
HBMP(12:0_12:0_22:1)+NH4,948.7269,439.3787,257.2112,395.352,257.2112
HBMP(12:0_12:0_22:2)+NH4,946.7112,439.3787,257.2112,393.3363,257.2112
HBMP(12:0_12:0_22:3)+NH4,944.6956,439.3787,257.2112,391.3207,257.2112
HBMP(12:0_12:0_22:4)+NH4,942.6799,439.3787,257.2112,389.3051,257.2112
HBMP(12:0_12:0_22:5)+NH4,940.6642,439.3787,257.2112,387.2894,257.2112
HBMP(12:0_12:0_22:6)+NH4,938.6486,439.3787,257.2112,385.2737,257.2112
HBMP(12:0_14:0_12:0)+NH4,838.6173,467.41,285.2424,257.2112,257.2112
HBMP(12:0_14:0_14:0)+NH4,866.6486,467.41,285.2424,285.2424,257.2112
HBMP(12:0_14:0_14:1)+NH4,864.633,467.41,285.2424,283.2268,257.2112
HBMP(12:0_14:0_16:0)+NH4,894.6799,467.41,285.2424,313.2737,257.2112
HBMP(12:0_14:0_16:1)+NH4,892.6642,467.41,285.2424,311.2581,257.2112
HBMP(12:0_14:0_16:2)+NH4,890.6486,467.41,285.2424,309.2424,257.2112
