MGDG,[M+Na]+,NL_T1&Na,NL_T2&Na,NL_T1&T2&Na
MGDG(8:0_8:0)+Na,529.2983,385.1833,385.1833,243.084
MGDG(8:0_10:0)+Na,557.3296,413.2146,385.1833,243.084
MGDG(8:0_12:0)+Na,585.3609,441.2459,385.1833,243.084
MGDG(8:0_13:0)+Na,599.3766,455.2616,385.1833,243.084
MGDG(8:0_14:0)+Na,613.3922,469.2772,385.1833,243.084
MGDG(8:0_14:1)+Na,611.3766,467.2616,385.1833,243.084
MGDG(8:0_15:0)+Na,627.4079,483.2929,385.1833,243.084
MGDG(8:0_15:1)+Na,625.3922,481.2772,385.1833,243.084
MGDG(8:0_16:0)+Na,641.4235,497.3085,385.1833,243.084
MGDG(8:0_16:1)+Na,639.4079,495.2929,385.1833,243.084
MGDG(8:0_17:0)+Na,655.4392,511.3242,385.1833,243.084
MGDG(8:0_17:1)+Na,653.4235,509.3085,385.1833,243.084
MGDG(8:0_17:2)+Na,651.4079,507.2929,385.1833,243.084
MGDG(8:0_18:0)+Na,669.4548,525.3398,385.1833,243.084
MGDG(8:0_18:1)+Na,667.4392,523.3242,385.1833,243.084
MGDG(8:0_18:2)+Na,665.4235,521.3085,385.1833,243.084
MGDG(8:0_18:3)+Na,663.4079,519.2929,385.1833,243.084
MGDG(8:0_18:4)+Na,661.3922,517.2772,385.1833,243.084
MGDG(8:0_19:0)+Na,683.4705,539.3555,385.1833,243.084
MGDG(8:0_20:0)+Na,697.4861,553.3711,385.1833,243.084
MGDG(8:0_20:1)+Na,695.4705,551.3555,385.1833,243.084
MGDG(8:0_20:2)+Na,693.4548,549.3398,385.1833,243.084
MGDG(8:0_20:3)+Na,691.4392,547.3242,385.1833,243.084
MGDG(8:0_20:4)+Na,689.4235,545.3085,385.1833,243.084
MGDG(8:0_20:5)+Na,687.4079,543.2929,385.1833,243.084
MGDG(8:0_21:0)+Na,711.5018,567.3868,385.1833,243.084
MGDG(8:0_22:0)+Na,725.5174,581.4024,385.1833,243.084
MGDG(8:0_22:1)+Na,723.5018,579.3868,385.1833,243.084
MGDG(8:0_22:2)+Na,721.4861,577.3711,385.1833,243.084
MGDG(8:0_22:3)+Na,719.4705,575.3555,385.1833,243.084
MGDG(8:0_22:4)+Na,717.4548,573.3398,385.1833,243.084
MGDG(8:0_22:5)+Na,715.4392,571.3242,385.1833,243.084
MGDG(8:0_22:6)+Na,713.4235,569.3085,385.1833,243.084
MGDG(8:0_23:0)+Na,739.5331,595.4181,385.1833,243.084
MGDG(8:0_24:0)+Na,753.5487,609.4337,385.1833,243.084
MGDG(8:0_24:1)+Na,751.5331,607.4181,385.1833,243.084
MGDG(8:0_25:0)+Na,767.5644,623.4494,385.1833,243.084
MGDG(8:0_26:0)+Na,781.58,637.465,385.1833,243.084
MGDG(10:0_10:0)+Na,585.3609,413.2146,413.2146,243.084
MGDG(10:0_12:0)+Na,613.3922,441.2459,413.2146,243.084
MGDG(10:0_13:0)+Na,627.4079,455.2616,413.2146,243.084
MGDG(10:0_14:0)+Na,641.4235,469.2772,413.2146,243.084
MGDG(10:0_14:1)+Na,639.4079,467.2616,413.2146,243.084
MGDG(10:0_15:0)+Na,655.4392,483.2929,413.2146,243.084
MGDG(10:0_15:1)+Na,653.4235,481.2772,413.2146,243.084
MGDG(10:0_16:0)+Na,669.4548,497.3085,413.2146,243.084
MGDG(10:0_16:1)+Na,667.4392,495.2929,413.2146,243.084
MGDG(10:0_17:0)+Na,683.4705,511.3242,413.2146,243.084
MGDG(10:0_17:1)+Na,681.4548,509.3085,413.2146,243.084
MGDG(10:0_17:2)+Na,679.4392,507.2929,413.2146,243.084
MGDG(10:0_18:0)+Na,697.4861,525.3398,413.2146,243.084
MGDG(10:0_18:1)+Na,695.4705,523.3242,413.2146,243.084
MGDG(10:0_18:2)+Na,693.4548,521.3085,413.2146,243.084
MGDG(10:0_18:3)+Na,691.4392,519.2929,413.2146,243.084
MGDG(10:0_18:4)+Na,689.4235,517.2772,413.2146,243.084
MGDG(10:0_19:0)+Na,711.5018,539.3555,413.2146,243.084
MGDG(10:0_20:0)+Na,725.5174,553.3711,413.2146,243.084
MGDG(10:0_20:1)+Na,723.5018,551.3555,413.2146,243.084
MGDG(10:0_20:2)+Na,721.4861,549.3398,413.2146,243.084
