OxCL,[M+NH4]+,(sn1+sn2)+,(sn1'+sn2')+
OxCL((32:0)_(32:1(OH)))+NH4,1384.9854,551.5035,565.4828
OxCL((32:0)_(32:1(OOH)))+NH4,1400.9803,551.5035,581.4777
OxCL((32:0)_(32:2(OH)))+NH4,1382.9697,551.5035,563.4671
OxCL((32:0)_(32:2(OOH)))+NH4,1398.9646,551.5035,579.462
OxCL((32:0)_(32:2(OOOH)))+NH4,1414.9595,551.5035,595.4569
OxCL((32:0)_(32:2(OOOOH)))+NH4,1430.9545,551.5035,611.4519
OxCL((32:0)_(34:1(OH)))+NH4,1413.0167,551.5035,593.5141
OxCL((32:0)_(34:1(OOH)))+NH4,1429.0116,551.5035,609.509
OxCL((32:0)_(34:2(OH)))+NH4,1411.001,551.5035,591.4984
OxCL((32:0)_(34:2(OH)))+NH4,1411.001,551.5035,591.4984
OxCL((32:0)_(34:2(OOH)))+NH4,1426.9959,551.5035,607.4933
OxCL((32:0)_(34:2(OOOH)))+NH4,1442.9909,551.5035,623.4883
OxCL((32:0)_(34:2(OOOH)))+NH4,1442.9909,551.5035,623.4883
OxCL((32:0)_(34:2(OOOOH)))+NH4,1458.9858,551.5035,639.4832
OxCL((32:0)_(34:3(OH)))+NH4,1408.9854,551.5035,589.4828
OxCL((32:0)_(34:3(OOH)))+NH4,1424.9803,551.5035,605.4777
OxCL((32:0)_(34:3(OOOH)))+NH4,1440.9752,551.5035,621.4726
OxCL((32:0)_(34:3(OOOH)))+NH4,1440.9752,551.5035,621.4726
OxCL((32:0)_(34:3(OOOOH)))+NH4,1456.9701,551.5035,637.4675
OxCL((32:0)_(34:3(OOOOH)))+NH4,1456.9701,551.5035,637.4675
OxCL((32:0)_(34:3(OOOOOH)))+NH4,1472.965,551.5035,653.4624
OxCL((32:0)_(34:3(OOOOOOH)))+NH4,1488.96,551.5035,669.4574
OxCL((32:0)_(34:4(OH)))+NH4,1406.9697,551.5035,587.4671
OxCL((32:0)_(34:4(OOH)))+NH4,1422.9646,551.5035,603.462
OxCL((32:0)_(34:4(OOOH)))+NH4,1438.9595,551.5035,619.4569
OxCL((32:0)_(34:4(OOOOH)))+NH4,1454.9545,551.5035,635.4519
OxCL((32:0)_(34:4(OOOOOH)))+NH4,1470.9494,551.5035,651.4468
