OxLPE,[M+Na]+,PreCursor -43,PreCursor -141,M+Na-43-SN1-H acyl loss,phosphoethanolamine+Na
OxLPE(3:0(CHO))+Na,308.0495,265.0073,167.0304057,176.99139,164.00888
OxLPE(4:0(CHO))+Na,322.06515,279.02295,181.0460557,176.99139,164.00888
OxLPE(5:0(CHO))+Na,336.0808,293.0386,195.0617057,176.99139,164.00888
OxLPE(6:0(CHO))+Na,350.09645,307.05425,209.0773557,176.99139,164.00888
OxLPE(7:0(CHO))+Na,364.1121,321.0699,223.0930057,176.99139,164.00888
OxLPE(8:0(CHO))+Na,378.12775,335.08555,237.1086557,176.99139,164.00888
OxLPE(9:0(CHO))+Na,392.1434,349.1012,251.1243057,176.99139,164.00888
OxLPE(10:0(CHO))+Na,406.15905,363.11685,265.1399557,176.99139,164.00888
OxLPE(11:0(CHO))+Na,420.1747,377.1325,279.1556057,176.99139,164.00888
OxLPE(12:0(CHO))+Na,434.19035,391.14815,293.1712557,176.99139,164.00888
OxLPE(13:0(CHO))+Na,448.206,405.1638,307.1869057,176.99139,164.00888
OxLPE(14:0(CHO))+Na,462.22165,419.17945,321.2025557,176.99139,164.00888
OxLPE(15:0(CHO))+Na,476.2373,433.1951,335.2182057,176.99139,164.00888
OxLPE(6:1(CHO))+Na,348.08081,305.03861,207.0617157,176.99139,164.00888
OxLPE(7:1(CHO))+Na,362.09646,319.05426,221.0773657,176.99139,164.00888
OxLPE(8:1(CHO))+Na,376.11211,333.06991,235.0930157,176.99139,164.00888
OxLPE(9:1(CHO))+Na,390.12776,347.08556,249.1086657,176.99139,164.00888
OxLPE(9:2(CHO))+Na,388.11211,345.06991,247.0930157,176.99139,164.00888
OxLPE(10:1(CHO))+Na,404.14341,361.10121,263.1243157,176.99139,164.00888
OxLPE(10:2(CHO))+Na,402.12776,359.08556,261.1086657,176.99139,164.00888
OxLPE(11:1(CHO))+Na,418.15906,375.11686,277.1399657,176.99139,164.00888
OxLPE(11:2(CHO))+Na,416.14341,373.10121,275.1243157,176.99139,164.00888
OxLPE(12:1(CHO))+Na,432.17471,389.13251,291.1556157,176.99139,164.00888
OxLPE(12:2(CHO))+Na,430.15906,387.11686,289.1399657,176.99139,164.00888
OxLPE(12:3(CHO))+Na,428.14341,385.10121,287.1243157,176.99139,164.00888
OxLPE(13:1(CHO))+Na,446.19036,403.14816,305.1712657,176.99139,164.00888
OxLPE(13:2(CHO))+Na,444.17471,401.13251,303.1556157,176.99139,164.00888
OxLPE(13:3(CHO))+Na,442.15906,399.11686,301.1399657,176.99139,164.00888
OxLPE(14:1(CHO))+Na,460.20601,417.16381,319.1869157,176.99139,164.00888
OxLPE(14:2(CHO))+Na,458.19036,415.14816,317.1712657,176.99139,164.00888
OxLPE(14:3(CHO))+Na,456.17471,413.13251,315.1556157,176.99139,164.00888
OxLPE(15:1(CHO))+Na,474.22166,431.17946,333.2025657,176.99139,164.00888
OxLPE(15:2(CHO))+Na,472.20601,429.16381,331.1869157,176.99139,164.00888
OxLPE(15:3(CHO))+Na,470.19036,427.14816,329.1712657,176.99139,164.00888
OxLPE(15:4(CHO))+Na,468.17471,425.13251,327.1556157,176.99139,164.00888
OxLPE(16:1(CHO))+Na,488.23731,445.19511,347.2182157,176.99139,164.00888
OxLPE(16:2(CHO))+Na,486.22166,443.17946,345.2025657,176.99139,164.00888
OxLPE(16:3(CHO))+Na,484.20601,441.16381,343.1869157,176.99139,164.00888
OxLPE(16:4(CHO))+Na,482.19036,439.14816,341.1712657,176.99139,164.00888
OxLPE(17:4(CHO))+Na,496.20601,453.16381,355.1869157,176.99139,164.00888
OxLPE(18:4(CHO))+Na,510.22166,467.17946,369.2025657,176.99139,164.00888
OxLPE(18:5(CHO))+Na,508.20601,465.16381,367.1869157,176.99139,164.00888
OxLPE(19:4(CHO))+Na,524.23731,481.19511,383.2182157,176.99139,164.00888
OxLPE(19:5(CHO))+Na,522.22166,479.17946,381.2025657,176.99139,164.00888
OxLPE(3:0(COOH))+Na,324.04442,281.00222,183.0253257,176.99139,164.00888
OxLPE(4:0(COOH))+Na,338.06007,295.01787,197.0409757,176.99139,164.00888
OxLPE(5:0(COOH))+Na,352.07572,309.03352,211.0566257,176.99139,164.00888
OxLPE(6:0(COOH))+Na,366.09137,323.04917,225.0722757,176.99139,164.00888
OxLPE(7:0(COOH))+Na,380.10702,337.06482,239.0879257,176.99139,164.00888
OxLPE(8:0(COOH))+Na,394.12267,351.08047,253.1035757,176.99139,164.00888
OxLPE(9:0(COOH))+Na,408.13832,365.09612,267.1192257,176.99139,164.00888
OxLPE(10:0(COOH))+Na,422.15397,379.11177,281.1348757,176.99139,164.00888
OxLPE(11:0(COOH))+Na,436.16962,393.12742,295.1505257,176.99139,164.00888
OxLPE(12:0(COOH))+Na,450.18527,407.14307,309.1661757,176.99139,164.00888
OxLPE(13:0(COOH))+Na,464.20092,421.15872,323.1818257,176.99139,164.00888
OxLPE(14:0(COOH))+Na,478.21657,435.17437,337.1974757,176.99139,164.00888
OxLPE(15:0(COOH))+Na,492.23222,449.19002,351.2131257,176.99139,164.00888
OxLPE(6:1(COOH))+Na,364.07573,321.03353,223.0566357,176.99139,164.00888
OxLPE(7:1(COOH))+Na,378.09138,335.04918,237.0722857,176.99139,164.00888
OxLPE(8:1(COOH))+Na,392.10703,349.06483,251.0879357,176.99139,164.00888
OxLPE(9:1(COOH))+Na,406.12268,363.08048,265.1035857,176.99139,164.00888
OxLPE(9:2(COOH))+Na,404.10703,361.06483,263.0879357,176.99139,164.00888
OxLPE(10:1(COOH))+Na,420.13833,377.09613,279.1192357,176.99139,164.00888
OxLPE(10:2(COOH))+Na,418.12268,375.08048,277.1035857,176.99139,164.00888
OxLPE(11:1(COOH))+Na,434.15398,391.11178,293.1348857,176.99139,164.00888
OxLPE(11:2(COOH))+Na,432.13833,389.09613,291.1192357,176.99139,164.00888
OxLPE(12:1(COOH))+Na,448.16963,405.12743,307.1505357,176.99139,164.00888
OxLPE(12:2(COOH))+Na,446.15398,403.11178,305.1348857,176.99139,164.00888
OxLPE(12:3(COOH))+Na,444.13833,401.09613,303.1192357,176.99139,164.00888
OxLPE(13:1(COOH))+Na,462.18528,419.14308,321.1661857,176.99139,164.00888
OxLPE(13:2(COOH))+Na,460.16963,417.12743,319.1505357,176.99139,164.00888
OxLPE(13:3(COOH))+Na,458.15398,415.11178,317.1348857,176.99139,164.00888
OxLPE(14:1(COOH))+Na,476.20093,433.15873,335.1818357,176.99139,164.00888
OxLPE(14:2(COOH))+Na,474.18528,431.14308,333.1661857,176.99139,164.00888
OxLPE(14:3(COOH))+Na,472.16963,429.12743,331.1505357,176.99139,164.00888
OxLPE(15:1(COOH))+Na,490.21658,447.17438,349.1974857,176.99139,164.00888
OxLPE(15:2(COOH))+Na,488.20093,445.15873,347.1818357,176.99139,164.00888
OxLPE(15:3(COOH))+Na,486.18528,443.14308,345.1661857,176.99139,164.00888
OxLPE(15:4(COOH))+Na,484.16963,441.12743,343.1505357,176.99139,164.00888
OxLPE(16:1(COOH))+Na,504.23223,461.19003,363.2131357,176.99139,164.00888
OxLPE(16:2(COOH))+Na,502.21658,459.17438,361.1974857,176.99139,164.00888
OxLPE(16:3(COOH))+Na,500.20093,457.15873,359.1818357,176.99139,164.00888
OxLPE(16:4(COOH))+Na,498.18528,455.14308,357.1661857,176.99139,164.00888
OxLPE(17:4(COOH))+Na,512.20093,469.15873,371.1818357,176.99139,164.00888
OxLPE(18:4(COOH))+Na,526.21658,483.17438,385.1974857,176.99139,164.00888
OxLPE(18:5(COOH))+Na,524.20093,481.15873,383.1818357,176.99139,164.00888
OxLPE(19:4(COOH))+Na,540.23223,497.19003,399.2131357,176.99139,164.00888
OxLPE(19:5(COOH))+Na,538.21658,495.17438,397.1974857,176.99139,164.00888
OxLPE(20:4(Ke))+Na,538.25295,495.21075,397.2338557,176.99139,164.00888
OxLPE(20:4(OOH))+Na,556.26353,513.22133,415.2444357,176.99139,164.00888
OxLPE(20:4(OH))+Na,540.26861,497.22641,399.2495157,176.99139,164.00888
OxLPE(18:2(OOH))+Na,532.26353,489.22133,391.2444357,176.99139,164.00888
OxLPE(18:2(OH))+Na,516.26861,473.22641,375.2495157,176.99139,164.00888
OxLPE(14:1(OH))+Na,462.22169,419.17949,321.2025957,176.99139,164.00888
OxLPE(15:1(OH))+Na,476.23729,433.19509,335.2181957,176.99139,164.00888
OxLPE(16:1(OH))+Na,490.25299,447.21079,349.2338957,176.99139,164.00888
OxLPE(17:1(OH))+Na,504.26859,461.22639,363.2494957,176.99139,164.00888
OxLPE(17:2(OH))+Na,502.25299,459.21079,361.2338957,176.99139,164.00888
OxLPE(18:1(OH))+Na,518.28429,475.24209,377.2651957,176.99139,164.00888
OxLPE(18:3(OH))+Na,514.25299,471.21079,373.2338957,176.99139,164.00888
OxLPE(18:4(OH))+Na,512.23729,469.19509,371.2181957,176.99139,164.00888
OxLPE(20:1(OH))+Na,546.31559,503.27339,405.2964957,176.99139,164.00888
OxLPE(20:2(OH))+Na,544.29989,501.25769,403.2807957,176.99139,164.00888
OxLPE(20:3(OH))+Na,542.28429,499.24209,401.2651957,176.99139,164.00888
OxLPE(20:5(OH))+Na,538.25299,495.21079,397.2338957,176.99139,164.00888
OxLPE(22:1(OH))+Na,574.34689,531.30469,433.3277957,176.99139,164.00888
OxLPE(22:2(OH))+Na,572.33119,529.28899,431.3120957,176.99139,164.00888
OxLPE(22:3(OH))+Na,570.31559,527.27339,429.2964957,176.99139,164.00888
OxLPE(22:4(OH))+Na,568.29989,525.25769,427.2807957,176.99139,164.00888
OxLPE(22:5(OH))+Na,566.28429,523.24209,425.2651957,176.99139,164.00888
OxLPE(22:6(OH))+Na,564.26859,521.22639,423.2494957,176.99139,164.00888
OxLPE(24:1(OH))+Na,602.37819,559.33599,461.3590957,176.99139,164.00888
OxLPE(14:1(OO))+Na,478.21661,435.17441,337.1975157,176.99139,164.00888
OxLPE(15:1(OO))+Na,492.23221,449.19001,351.2131157,176.99139,164.00888
OxLPE(16:1(OO))+Na,506.24791,463.20571,365.2288157,176.99139,164.00888
OxLPE(17:1(OO))+Na,520.26351,477.22131,379.2444157,176.99139,164.00888
OxLPE(17:2(OO))+Na,518.24791,475.20571,377.2288157,176.99139,164.00888
OxLPE(18:1(OO))+Na,534.27921,491.23701,393.2601157,176.99139,164.00888
OxLPE(18:3(OO))+Na,530.24791,487.20571,389.2288157,176.99139,164.00888
OxLPE(18:4(OO))+Na,528.23221,485.19001,387.2131157,176.99139,164.00888
OxLPE(20:1(OO))+Na,562.31051,519.26831,421.2914157,176.99139,164.00888
OxLPE(20:2(OO))+Na,560.29481,517.25261,419.2757157,176.99139,164.00888
OxLPE(20:3(OO))+Na,558.27921,515.23701,417.2601157,176.99139,164.00888
OxLPE(20:5(OO))+Na,554.24791,511.20571,413.2288157,176.99139,164.00888
OxLPE(22:1(OO))+Na,590.34181,547.29961,449.3227157,176.99139,164.00888
OxLPE(22:2(OO))+Na,588.32611,545.28391,447.3070157,176.99139,164.00888
OxLPE(22:3(OO))+Na,586.31051,543.26831,445.2914157,176.99139,164.00888
OxLPE(22:4(OO))+Na,584.29481,541.25261,443.2757157,176.99139,164.00888
OxLPE(22:5(OO))+Na,582.27921,539.23701,441.2601157,176.99139,164.00888
OxLPE(22:6(OO))+Na,580.26351,537.22131,439.2444157,176.99139,164.00888
