OxPC,[M+H]+,M+H-PC,PC_head
OxPC(10:0(KeKe))+H,454.1837,271.11764,184.07332
OxPC(10:0(KeKeO))+H,470.17862,287.11256,184.07332
OxPC(10:0(KeOKeO))+H,486.17354,303.10748,184.07332
OxPC(10:1(KeKe))+H,452.16806,269.102,184.07332
OxPC(10:1(KeKeO))+H,468.16298,285.09692,184.07332
OxPC(10:1(KeOKeO))+H,484.1579,301.09184,184.07332
OxPC(11:0(Ke))+H,454.22009,271.15403,184.07332
OxPC(11:0(KeKe))+H,468.19935,285.13329,184.07332
OxPC(11:0(KeKeO))+H,484.19427,301.12821,184.07332
OxPC(11:0(KeO))+H,470.21501,287.14895,184.07332
OxPC(11:0(KeOKeO))+H,500.18919,317.12313,184.07332
OxPC(11:1(KeKe))+H,466.18371,283.11765,184.07332
OxPC(11:1(KeKeO))+H,482.17863,299.11257,184.07332
OxPC(11:1(KeOKeO))+H,498.17355,315.10749,184.07332
OxPC(12:0(Ke))+H,468.23574,285.16968,184.07332
OxPC(12:0(KeKe))+H,482.215,299.14894,184.07332
OxPC(12:0(KeKeO))+H,498.20992,315.14386,184.07332
OxPC(12:0(KeO))+H,484.23066,301.1646,184.07332
OxPC(12:0(KeOKeO))+H,514.20484,331.13878,184.07332
OxPC(12:1(KeKe))+H,480.19936,297.1333,184.07332
OxPC(12:1(KeKeO))+H,496.19428,313.12822,184.07332
OxPC(12:1(KeOKeO))+H,512.1892,329.12314,184.07332
OxPC(12:2(KeKe))+H,478.18372,295.11766,184.07332
OxPC(12:2(KeOKe))+H,494.17863,311.11257,184.07332
OxPC(12:2(KeOKeO))+H,510.17355,327.10749,184.07332
OxPC(13:0(Ke))+H,482.25139,299.18533,184.07332
OxPC(13:0(KeKe))+H,496.23065,313.16459,184.07332
OxPC(13:0(KeKeO))+H,512.22557,329.15951,184.07332
OxPC(13:0(KeO))+H,498.24631,315.18025,184.07332
OxPC(13:0(KeOKeO))+H,528.22049,345.15443,184.07332
OxPC(13:1(KeKe))+H,494.21501,311.14895,184.07332
OxPC(13:1(KeKeO))+H,510.20993,327.14387,184.07332
OxPC(13:1(KeOKeO))+H,526.20485,343.13879,184.07332
OxPC(13:2(KeKe))+H,492.19937,309.13331,184.07332
OxPC(13:2(KeOKe))+H,508.19428,325.12822,184.07332
OxPC(13:2(KeOKeO))+H,524.1892,341.12314,184.07332
OxPC(14:0(Ke))+H,496.26704,313.20098,184.07332
OxPC(14:0(KeKe))+H,510.2463,327.18024,184.07332
OxPC(14:0(KeKeO))+H,526.24122,343.17516,184.07332
OxPC(14:0(KeO))+H,512.26196,329.1959,184.07332
OxPC(14:0(KeOKeO))+H,542.23614,359.17008,184.07332
OxPC(14:1(Ke))+H,494.2514,311.18534,184.07332
OxPC(14:1(KeKe))+H,508.23066,325.1646,184.07332
OxPC(14:1(KeKeO))+H,524.22558,341.15952,184.07332
OxPC(14:1(KeO))+H,510.24632,327.18026,184.07332
OxPC(14:1(KeOKeO))+H,540.2205,357.15444,184.07332
OxPC(14:2(KeKe))+H,506.21501,323.14895,184.07332
OxPC(14:2(KeKeO))+H,522.20993,339.14387,184.07332
OxPC(14:2(KeOKeO))+H,538.20485,355.13879,184.07332
OxPC(15:0(Ke))+H,510.28269,327.21663,184.07332
OxPC(15:0(KeKe))+H,524.26195,341.19589,184.07332
OxPC(15:0(KeKeO))+H,540.25687,357.19081,184.07332
OxPC(15:0(KeO))+H,526.27761,343.21155,184.07332
OxPC(15:0(KeOKeO))+H,556.25179,373.18573,184.07332
OxPC(15:1(Ke))+H,508.26705,325.20099,184.07332
OxPC(15:1(KeKe))+H,522.24631,339.18025,184.07332
OxPC(15:1(KeKeO))+H,538.24123,355.17517,184.07332
OxPC(15:1(KeO))+H,524.26197,341.19591,184.07332
OxPC(15:1(KeOKeO))+H,554.23615,371.17009,184.07332
OxPC(15:2(KeKe))+H,520.23066,337.1646,184.07332
OxPC(15:2(KeKeO))+H,536.22558,353.15952,184.07332
OxPC(15:2(KeOKeO))+H,552.2205,369.15444,184.07332
OxPC(15:3(KeKe))+H,518.21502,335.14896,184.07332
OxPC(15:3(KeOKe))+H,534.20993,351.14387,184.07332
OxPC(15:3(KeOKeO))+H,550.20485,367.13879,184.07332
OxPC(16:0(Ke))+H,524.29834,341.23228,184.07332
OxPC(16:0(KeKe))+H,538.2776,355.21154,184.07332
OxPC(16:0(KeKeO))+H,554.27252,371.20646,184.07332
OxPC(16:0(KeO))+H,540.29326,357.2272,184.07332
OxPC(16:0(KeOKeO))+H,570.26744,387.20138,184.07332
OxPC(16:1(Ke))+H,522.2827,339.21664,184.07332
OxPC(16:1(KeKe))+H,536.26196,353.1959,184.07332
OxPC(16:1(KeKeO))+H,552.25688,369.19082,184.07332
OxPC(16:1(KeO))+H,538.27762,355.21156,184.07332
OxPC(16:1(KeOKeO))+H,568.2518,385.18574,184.07332
OxPC(16:2(KeKe))+H,534.24631,351.18025,184.07332
OxPC(16:2(KeKeO))+H,550.24123,367.17517,184.07332
OxPC(16:2(KeOKeO))+H,566.23615,383.17009,184.07332
